Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
BIAŁOSTOCKIE;AUGUSTOWSKI; 26 982 ; 132 349 ; 43 759 ; 84 431 ; 876 227 ; -   ; 4 046 ; 24 ; 7 ; 1 063 ; 1 648 ; 12 057 ; 1 175 ; 3 679 ; 2 359 ; 224 ; 197 ; 20 ; -   ; 2 260 
BIAŁOSTOCKIE;BIAŁOSTOCKI; 37 341 ; 375 139 ; 58 035 ; 165 663 ; 1 613 844 ; -   ; 4 813 ; 78 ; -   ; 2 252 ; 4 169 ; 26 493 ; 412 ; 5 669 ; 3 193 ; 92 ; 179 ; 647 ; -   ; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 110 273 ; 440 664 ; 74 730 ; 223 538 ; 2 245 964 ; -   ; 7 901 ; 2 865 ; -   ; 1 491 ; 4 123 ; 35 466 ; 1 822 ; 14 958 ; 6 739 ; 662 ; 636 ; 1 258 ; -   ; -   
BIAŁOSTOCKIE;GRODZIEŃSKI; 30 761 ; 299 844 ; 65 042 ; 120 363 ; 1 385 858 ; -   ; 14 505 ; 720 ; 30 ; 1 260 ; 1 982 ; 18 502 ; 392 ; 5 372 ; 3 233 ; 602 ; 492 ; 38 ; -   ; 284 
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 43 449 ; 225 512 ; 20 108 ; 52 183 ; 916 211 ; 8 627 ; 15 684 ; 1 955 ; -   ; 3 305 ; 1 653 ; 14 966 ; 535 ; 2 410 ; 1 743 ; 55 ; 34 ; 572 ; -   ; -   
BIAŁOSTOCKIE;OSTROŁĘCKI; 43 124 ; 399 090 ; 26 602 ; 71 860 ; 1 431 306 ; 21 690 ; 20 706 ; 4 199 ; 70 ; 2 414 ; 1 219 ; 17 676 ; 194 ; 7 465 ; 4 040 ; 155 ; 123 ; 404 ; -   ; -   
BIAŁOSTOCKIE;SOKÓLSKI; 20 897 ; 337 356 ; 55 671 ; 163 066 ; 957 241 ; -   ; 10 419 ; -   ; -   ; 824 ; 2 184 ; 21 287 ; 1 531 ; 8 318 ; 5 286 ; 656 ; 481 ; 223 ; -   ; -   
BIAŁOSTOCKIE;SUWALSKI; 34 339 ; 216 135 ; 50 214 ; 236 452 ; 860 280 ; -   ; 2 416 ; -   ; -   ; 1 286 ; 729 ; 23 280 ; 2 721 ; 4 777 ; 3 589 ; 501 ; 332 ; 61 ; -   ; -   
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 43 100 ; 206 038 ; 29 814 ; 87 273 ; 978 889 ; -   ; 3 918 ; 418 ; -   ; 2 927 ; 6 460 ; 18 783 ; 36 ; 1 319 ; 931 ; 72 ; 64 ; 413 ; -   ; -   
