Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
BIAŁOSTOCKIE;AUGUSTOWSKI; 25 975 ; 136 196 ; 26 006 ; 101 049 ; 878 666 ; -   ;;
BIAŁOSTOCKIE;BIAŁOSTOCKI; 47 616 ; 402 717 ; 59 530 ; 166 421 ; 1 583 740 ; -   ;;
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 131 348 ; 606 260 ; 72 176 ; 175 789 ; 2 522 992 ; -   ;;
BIAŁOSTOCKIE;GRODZIEŃSKI; 66 476 ; 559 266 ; 108 674 ; 253 492 ; 2 489 236 ; -   ;;
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 56 243 ; 280 872 ; 25 347 ; 83 399 ; 1 296 831 ; 22 137 ;;
BIAŁOSTOCKIE;OSTROŁĘCKI; 40 193 ; 361 195 ; 18 520 ; 74 708 ; 1 482 651 ; 7 224 ;;
BIAŁOSTOCKIE;SOKÓLSKI; 13 774 ; 362 576 ; 38 139 ; 156 969 ; 1 273 664 ; -   ;;
BIAŁOSTOCKIE;SUWALSKI; 32 360 ; 238 101 ; 49 514 ; 240 678 ; 540 649 ;X;;
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 38 561 ; 199 354 ; 25 674 ; 86 614 ; 1 259 745 ;X;;
BIAŁOSTOCKIE;WOŁKOWYSKI; 53 035 ; 577 886 ; 89 076 ; 225 863 ; 2 426 013 ;X;;
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 80 207 ; 270 072 ; 34 272 ; 101 844 ; 1 196 585 ; 4 738 ;;
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 118 732 ; 627 236 ; 46 630 ; 210 957 ; 3 057 057 ; -   ;;
KIELECKIE;BĘDZIŃSKI; 5 521 ; 104 645 ; 11 854 ; 17 054 ; 623 295 ; X ;;
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 29 753 ; 586 786 ; 34 394 ; 111 356 ; 2 589 645 ; 9 855 ;;
KIELECKIE;IŁŻECKI; 60 769 ; 405 357 ; 151 522 ; 245 221 ; 2 132 195 ; 7 727 ;;
KIELECKIE;JĘDRZEJOWSKI; 188 551 ; 320 718 ; 108 145 ; 111 863 ; 2 083 818 ; 1 519 ;;
KIELECKIE;KIELECKI; 61 469 ; 362 818 ; 56 581 ; 104 564 ; 2 180 162 ; -   ;;
KIELECKIE;KONECKI; 15 501 ; 321 553 ; 26 238 ; 65 306 ; 2 349 424 ; -   ;;
KIELECKIE;KOZIENICKI; 49 051 ; 430 667 ; 99 753 ; 176 861 ; 1 949 800 ; 23 371 ;;
KIELECKIE;MIECHOWSKI; 303 996 ; 346 435 ; 159 150 ; 243 183 ; 1 977 616 ; 121 367 ;;
KIELECKIE;OLKUSKI; 72 938 ; 341 942 ; 69 725 ; 124 608 ; 1 805 648 ; -   ;;
KIELECKIE;OPATOWSKI; 193 786 ; 353 811 ; 157 651 ; 272 153 ; 2 572 823 ; 297 640 ;;
KIELECKIE;OPOCZYŃSKI; 38 072 ; 522 037 ; 50 266 ; 144 482 ; 2 664 152 ;X;;
KIELECKIE;PIŃCZOWSKI; 204 960 ; 275 311 ; 119 476 ; 133 408 ; 1 397 874 ; 271 336 ;;
KIELECKIE;RADOM (MIASTO);;;;;;;;
KIELECKIE;RADOMSKI; 70 464 ; 743 855 ; 129 406 ; 227 961 ; 3 216 065 ; -   ;;
KIELECKIE;SANDOMIERSKI; 161 831 ; 240 090 ; 128 309 ; 163 257 ; 1 808 772 ; 205 219 ;;
KIELECKIE;SOSNOWIEC;;;;;;;;
KIELECKIE;STOPNICKI; 162 010 ; 390 191 ; 106 411 ; 156 402 ; 2 259 172 ; 17 857 ;;
KIELECKIE;WŁOSZCZOWSKI; 143 735 ; 388 096 ; 38 312 ; 86 696 ; 1 892 861 ; 1 281 ;;
KIELECKIE;ZAWIERCIAŃSKI; 20 056 ; 204 455 ; 22 362 ; 33 049 ; 1 267 942 ;X;;
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 17 836 ; 111 149 ; 8 883 ; 106 136 ; 936 097 ; 3 271 ;;
KRAKOWSKIE;BOCHEŃSKI; 88 301 ; 115 624 ; 42 427 ; 89 819 ; 892 980 ; 451 ;;
KRAKOWSKIE;BRZESKI (BRZESKO); 94 527 ; 169 063 ; 53 709 ; 87 485 ; 1 378 776 ; 1 802 ;;
KRAKOWSKIE;CHRZANOWSKI; 19 841 ; 129 200 ; 8 986 ; 48 464 ; 720 670 ; X ;;
KRAKOWSKIE;DĄBROWSKI; 89 910 ; 141 761 ; 37 440 ; 63 982 ; 611 199 ; 5 789 ;;
KRAKOWSKIE;GORLICKI; 65 098 ; 97 151 ; 46 834 ; 129 745 ; 786 139 ; X ;;
KRAKOWSKIE;JASIELSKI; 77 219 ; 117 332 ; 40 980 ; 105 697 ; 1 270 272 ; 1 441 ;;
KRAKOWSKIE;KRAKOWSKI; 131 989 ; 220 183 ; 41 471 ; 155 362 ; 1 214 056 ; 15 875 ;;
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 46 190 ; 55 498 ; 35 905 ; 95 934 ; 769 776 ; X ;;
KRAKOWSKIE;MIELECKI; 59 622 ; 154 771 ; 30 129 ; 88 813 ; 1 131 544 ; 434 ;;
KRAKOWSKIE;MYŚLENICKI; 61 253 ; 105 941 ; 36 485 ; 137 191 ; 814 408 ; 814 408 ;;
KRAKOWSKIE;NOWOSĄDECKI; 75 651 ; 119 832 ; 79 272 ; 170 662 ; 1 352 273 ; 1 352 273 ;;
KRAKOWSKIE;NOWOTARSKI; 2 288 ; 68 622 ; 84 070 ; 275 089 ; 961 178 ; 961 178 ;;
KRAKOWSKIE;ROPCZYCKI; 98 964 ; 200 489 ; 58 982 ; 117 748 ; 1 693 633 ; 1 693 633 ;;
KRAKOWSKIE;TARNOWSKI; 79 795 ; 135 849 ; 37 240 ; 97 817 ; 1 260 963 ; 1 260 963 ;;
KRAKOWSKIE;WADOWICKI; 70 069 ; 142 450 ; 26 125 ; 171 144 ; 1 439 761 ; 1 439 761 ;;
KRAKOWSKIE;ŻYWIECKI; 18 377 ; 71 340 ; 22 022 ; 136 884 ; 1 126 835 ; 1 126 835 ;;
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 71 484 ; 525 759 ; 37 719 ; 199 462 ; 3 242 109 ;X;;
LUBELSKIE;BIŁGORAJSKI; 45 844 ; 211 480 ; 47 585 ; 131 179 ; 974 633 ;X;;
LUBELSKIE;CHEŁMSKI; 233 386 ; 399 032 ; 144 985 ; 131 482 ; 1 697 915 ; 143 995 ;;
LUBELSKIE;GARWOLIŃSKI; 60 833 ; 422 691 ; 101 310 ; 190 670 ; 2 339 319 ; 115 ;;
LUBELSKIE;HRUBIESZOWSKI; 338 799 ; 258 800 ; 145 996 ; 201 587 ; 1 406 481 ; 300 476 ;;
LUBELSKIE;JANOWSKI; 151 338 ; 426 429 ; 165 741 ; 284 032 ; 2 591 408 ; 52 934 ;;
LUBELSKIE;KRASNOSTAWSKI; 284 686 ; 288 956 ; 139 115 ; 173 416 ; 1 420 903 ; 185 197 ;;
LUBELSKIE;LUBARTOWSKI; 66 639 ; 390 974 ; 44 700 ; 119 695 ; 1 772 667 ; 33 281 ;;
LUBELSKIE;LUBELSKI; 332 092 ; 437 483 ; 198 066 ; 270 071 ; 2 371 714 ; 544 549 ;;
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;
LUBELSKIE;PUŁAWSKI; 101 835 ; 326 349 ; 142 960 ; 142 394 ; 1 835 009 ; 286 926 ;;
LUBELSKIE;RADZYŃSKI; 83 304 ; 307 701 ; 21 410 ; 166 918 ; 2 181 532 ; 8 475 ;;
LUBELSKIE;SIEDLECKI; 101 555 ; 473 029 ; 29 547 ; 215 680 ; 2 497 064 ; 11 580 ;;
LUBELSKIE;SOKOŁOWSKI; 105 233 ; 305 924 ; 39 126 ; 107 599 ; 1 742 598 ; 221 661 ;;
LUBELSKIE;TOMASZOWSKI; 194 600 ; 190 981 ; 114 952 ; 130 782 ; 1 280 900 ; 231 099 ;;
LUBELSKIE;WĘGROWSKI; 52 547 ; 244 349 ; 26 550 ; 110 719 ; 1 453 489 ; 39 642 ;;
LUBELSKIE;WŁODAWSKI; 68 292 ; 400 458 ; 34 395 ; 155 822 ; 1 944 769 ; 9 065 ;;
LUBELSKIE;ZAMOJSKI; 229 493 ; 230 350 ; 119 530 ; 169 492 ; 1 393 563 ; 167 041 ;;
LUBELSKIE;ŁUKOWSKI; 56 023 ; 525 630 ; 40 892 ; 197 856 ; 2 723 767 ; -   ;;
LWOWSKIE;BRZOZOWSKI; 69 884 ; 99 005 ; 54 278 ; 87 914 ; 661 671 ; 661 671 ;;
LWOWSKIE;BÓBRECKI; 104 613 ; 76 683 ; 30 120 ; 65 247 ; 1 180 852 ; 1 180 852 ;;
LWOWSKIE;DOBROMILSKI; 53 452 ; 89 921 ; 19 238 ; 82 722 ; 833 513 ; 833 513 ;;
LWOWSKIE;DROHOBYCKI; 41 619 ; 120 678 ; 29 418 ; 123 340 ; 1 147 533 ; 1 147 533 ;;
LWOWSKIE;GRÓDECKI; 58 280 ; 123 256 ; 30 577 ; 85 706 ; 800 750 ; 800 750 ;;
LWOWSKIE;JAROSŁAWSKI; 135 296 ; 257 167 ; 52 693 ; 113 585 ; 1 262 214 ; 1 262 214 ;;
LWOWSKIE;JAWOROWSKI; 29 416 ; 144 514 ; 30 826 ; 70 437 ; 943 007 ; 943 007 ;;
LWOWSKIE;KOLBUSZOWSKI; 23 174 ; 173 476 ; 32 859 ; 53 524 ; 892 350 ; 892 350 ;;
LWOWSKIE;KROŚNIEŃSKI; 72 871 ; 126 980 ; 45 110 ; 82 522 ; 876 216 ; 876 216 ;;
LWOWSKIE;LESKI; 23 699 ; 63 682 ; 18 875 ; 212 304 ; 669 192 ; 669 192 ;;
LWOWSKIE;LUBACZOWSKI; 51 311 ; 131 930 ; 31 030 ; 98 457 ; 943 610 ; 943 610 ;;
LWOWSKIE;LWOWSKI; 157 147 ; 158 049 ; 45 644 ; 140 868 ; 1 256 259 ; 1 256 259 ;;
LWOWSKIE;LWÓW (MIASTO);;;;;;;;
LWOWSKIE;MOŚCISKI; 76 362 ; 125 279 ; 29 932 ; 57 812 ; 959 363 ; 7 096 ;;
LWOWSKIE;NIŻAŃSKI; 39 738 ; 121 318 ; 27 737 ; 43 933 ; 899 995 ; 2 509 ;;
LWOWSKIE;PRZEMYSKI; 131 609 ; 150 747 ; 37 025 ; 74 212 ; 1 159 980 ; 70 520 ;;
LWOWSKIE;PRZEWORSKI; 78 873 ; 111 315 ; 14 924 ; 50 871 ; 520 080 ; 302 909 ;;
LWOWSKIE;RAWSKI (RAWA RUSKA); 121 560 ; 188 735 ; 92 832 ; 104 288 ; 1 322 095 ; 22 700 ;;
LWOWSKIE;RUDECKI; 69 785 ; 87 467 ; 34 549 ; 58 531 ; 1 053 971 ; 31 167 ;;
LWOWSKIE;RZESZOWSKI; 132 187 ; 240 131 ; 70 086 ; 125 725 ; 1 463 774 ; 17 696 ;;
LWOWSKIE;SAMBORSKI; 84 693 ; 172 444 ; 47 265 ; 103 050 ; 1 276 731 ; 3 553 ;;
LWOWSKIE;SANOCKI; 54 900 ; 79 385 ; 55 064 ; 157 442 ; 995 972 ; 7 899 ;;
LWOWSKIE;SOKALSKI; 234 182 ; 177 353 ; 78 685 ; 96 146 ; 1 427 361 ; 55 169 ;;
LWOWSKIE;TARNOBRZESKI; 48 322 ; 130 454 ; 43 447 ; 55 120 ; 1 152 919 ; 31 322 ;;
LWOWSKIE;TURCZAŃSKI; 5 435 ; 53 312 ; 8 601 ; 221 998 ; 940 881 ; X ;;
LWOWSKIE;ŁAŃCUCKI; 65 262 ; 163 101 ; 38 387 ; 93 963 ; 1 145 311 ; 62 202 ;;
LWOWSKIE;ŻÓŁKIEWSKI; 101 943 ; 118 074 ; 34 984 ; 58 644 ; 736 801 ; 1 006 ;;
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI; 33 602 ; 387 682 ; 97 935 ; 199 403 ; 2 031 752 ;X;;
NOWOGRÓDZKIE;LIDZKI; 8 872 ; 533 304 ; 114 592 ; 235 613 ; 1 883 999 ;X;;
NOWOGRÓDZKIE;NIEŚWIESKI; 38 402 ; 350 784 ; 87 633 ; 245 963 ; 1 947 810 ;X;;
NOWOGRÓDZKIE;NOWOGRÓDZKI; 51 797 ; 374 248 ; 87 680 ; 248 838 ; 1 343 057 ;X;;
NOWOGRÓDZKIE;STOŁPECKI; 28 890 ; 303 799 ; 62 478 ; 137 215 ; 1 299 280 ;X;;
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE); 12 346 ; 212 989 ; 58 807 ; 85 095 ; 932 656 ;X;;
NOWOGRÓDZKIE;SŁONIMSKI; 28 118 ; 360 840 ; 66 845 ; 144 990 ; 1 597 547 ;X;;
NOWOGRÓDZKIE;WOŁOŻYŃSKI; 11 120 ; 212 807 ; 75 636 ; 119 092 ; 1 050 518 ;X;;
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.); 91 797 ; 655 124 ; 99 467 ; 201 706 ; 3 352 337 ; X ;;
POLESKIE;DROHICKI; 20 482 ; 216 835 ; 30 848 ; 109 414 ; 1 636 532 ; X ;;
POLESKIE;IWACEWICKI; 6 017 ; 222 161 ; 26 952 ; 75 849 ; 1 250 810 ; X ;;
POLESKIE;KOBRYŃSKI; 37 860 ; 356 383 ; 39 517 ; 99 641 ; 1 611 334 ; X ;;
POLESKIE;KOSZYRSKI; 4 712 ; 223 164 ; 26 229 ; 48 209 ; 1 029 410 ; X ;;
POLESKIE;PIŃSKI; 14 299 ; 454 360 ; 33 429 ; 161 063 ; 1 992 958 ; X ;;
POLESKIE;PRUŻAŃSKI; 26 910 ; 387 981 ; 42 033 ; 135 882 ; 1 555 408 ; X ;;
POLESKIE;STOLIŃSKI; 10 261 ; 258 952 ; 15 831 ; 48 206 ; 1 239 060 ; X ;;
POLESKIE;ŁUNINIECKI; 4 957 ; 177 103 ; 9 563 ; 42 197 ; 1 463 073 ; X ;;
POMORSKIE;BRODNICKI; 44 535 ; 301 908 ; 81 582 ; 40 175 ; 1 194 455 ; 102 437 ;;
POMORSKIE;CHEŁMIŃSKI; 131 255 ; 188 105 ; 100 627 ; 44 166 ; 671 743 ; 669 312 ;;
POMORSKIE;CHOJNICKI; 16 146 ; 302 488 ; 39 704 ; 73 705 ; 1 033 345 ; 3 967 ;;
POMORSKIE;DZIAŁDOWSKI; 6 592 ; 157 962 ; 35 060 ; 25 322 ; 1 029 798 ; 2 876 ;;
POMORSKIE;GDYNIA (MIASTO);;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;
POMORSKIE;GRUDZIĄDZKI; 136 102 ; 167 430 ; 100 426 ; 62 128 ; 765 722 ; 310 207 ;;
POMORSKIE;KARTUSKI; 5 505 ; 259 641 ; 15 790 ; 116 460 ; 1 323 398 ; X ;;
POMORSKIE;KOŚCIERSKI; 16 497 ; 254 153 ; 13 601 ; 54 126 ; 919 861 ; X ;;
POMORSKIE;LUBAWSKI; 28 137 ; 234 163 ; 77 728 ; 50 955 ; 1 144 184 ; 22 916 ;;
POMORSKIE;MORSKI; 16 043 ; 191 401 ; 19 636 ; 76 075 ; 900 697 ; 1 989 ;;
POMORSKIE;STAROGARDZKI; 36 531 ; 209 515 ; 46 068 ; 36 546 ; 874 816 ; 87 406 ;;
POMORSKIE;SĘPOLEŃSKI; 13 895 ; 199 748 ; 38 752 ; 54 275 ; 686 028 ; 31 220 ;;
POMORSKIE;TCZEWSKI; 111 953 ; 115 987 ; 81 188 ; 50 198 ; 670 612 ; 441 547 ;;
POMORSKIE;TORUŃ (MIASTO);;;;;;;;
POMORSKIE;TORUŃSKI; 124 295 ; 230 548 ; 88 055 ; 42 138 ; 863 364 ; 679 874 ;;
POMORSKIE;TUCHOLSKI; 20 711 ; 215 569 ; 51 376 ; 37 024 ; 600 746 ; 41 768 ;;
POMORSKIE;WĄBRZESKI; 98 701 ; 206 843 ; 84 386 ; 36 029 ; 778 497 ; 230 163 ;;
POMORSKIE;ŚWIECKI; 64 374 ; 368 724 ; 91 101 ; 62 786 ; 1 536 139 ; 197 962 ;;
POZNAŃSKIE;BYDGOSKI; 77 325 ; 297 635 ; 100 071 ; 60 656 ; 875 296 ; 175 089 ;;
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;;
POZNAŃSKIE;CHODZIESKI; 7 591 ; 201 180 ; 23 482 ; 29 075 ; 636 720 ; 25 320 ;;
POZNAŃSKIE;CZARNKOWSKI; 13 001 ; 176 836 ; 14 304 ; 32 859 ; 674 498 ; 28 758 ;;
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI; 49 258 ; 411 972 ; 82 587 ; 65 714 ; 805 374 ; 308 586 ;;
