Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
BIAŁOSTOCKIE;AUGUSTOWSKI; 2 631 ; 14 996 ; 3 796 ; 11 266 ; 8 783 ; -   ; 1 131 ; 8 ; 1 ; 119 ; 199 ; 1 640 ; 136 ; 612 ; 44 ; 5 ; -   ; 111 
BIAŁOSTOCKIE;BIAŁOSTOCKI; 4 102 ; 33 264 ; 5 050 ; 15 048 ; 15 554 ; -   ; 1 210 ; 7 ; -   ; 186 ; 407 ; 2 782 ; 49 ; 1 073 ; 43 ; 144 ; -   ; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 11 461 ; 51 681 ; 7 542 ; 22 566 ; 23 801 ; -   ; 1 598 ; 253 ; -   ; 150 ; 1 001 ; 4 119 ; 199 ; 2 169 ; 150 ; 243 ; -   ; -   
BIAŁOSTOCKIE;GRODZIEŃSKI; 6 144 ; 49 277 ; 10 146 ; 22 642 ; 19 449 ; -   ; 4 480 ; 24 ; 3 ; 398 ; 373 ; 3 408 ; 81 ; 1 219 ; 135 ; 9 ; -   ; 38 
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 5 305 ; 26 289 ; 1 985 ; 5 136 ; 9 780 ; 37 ; 1 825 ; 150 ; -   ; 352 ; 238 ; 1 492 ; 45 ; 563 ; 14 ; 86 ; -   ; -   
BIAŁOSTOCKIE;OSTROŁĘCKI; 4 372 ; 33 935 ; 2 111 ; 5 232 ; 15 237 ; 90 ; 2 509 ; 288 ; 3 ; 198 ; 100 ; 2 114 ; 19 ; 1 442 ; 43 ; 53 ; -   ; -   
BIAŁOSTOCKIE;SOKÓLSKI; 2 540 ; 36 508 ; 5 111 ; 21 236 ; 12 896 ; -   ; 1 914 ; -   ; -   ; 151 ; 290 ; 2 520 ; 142 ; 1 463 ; 123 ; 46 ; -   ; -   
BIAŁOSTOCKIE;SUWALSKI; 3 650 ; 26 995 ; 5 026 ; 26 711 ; 10 032 ; -   ; 545 ; -   ; -   ; 160 ; 107 ; 3 781 ; 488 ; 1 165 ; 99 ; 19 ; -   ; -   
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 47 131 ; 20 607 ; 2 500 ; 8 164 ; 9 979 ; -   ; 643 ; 29 ; -   ; 312 ; 660 ; 2 195 ; 6 ; 285 ; 18 ; 58 ; -   ; -   
BIAŁOSTOCKIE;WOŁKOWYSKI; 65 891 ; 61 615 ; 11 561 ; 28 735 ; 21 419 ; -   ; 5 249 ; 10 ; 1 ; 199 ; 528 ; 1 975 ; 102 ; 914 ; 172 ; 110 ; -   ; 158 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 8 502 ; 24 080 ; 3 472 ; 8 513 ; 10 117 ; 39 ; 106 ; 32 ; 2 ; 662 ; 1 110 ; 1 848 ; 16 ; 711 ; 67 ; 31 ; -   ; -   
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 11 135 ; 56 747 ; 4 158 ; 19 432 ; 23 525 ; 61 ; 2 331 ; 217 ; -   ; 316 ; 718 ; 3 627 ; 68 ; 783 ; 53 ; 270 ; -   ; -   
KIELECKIE;BĘDZIŃSKI; 670 ; 9 393 ; 1 428 ; 1 400 ; 7 295 ; -   ; 7 ; -   ; -   ; 58 ; 15 ; 11 ; 1 ; -   ; 1 ; -   ; -   ; -   
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 2 114 ; 50 754 ; 3 047 ; 8 021 ; 20 818 ; 34 ; 160 ; 188 ; 8 ; 217 ; 158 ; 130 ; 77 ; 54 ; -   ; 62 ; 4 ; -   
KIELECKIE;IŁŻECKI; 5 667 ; 35 873 ; 13 976 ; 18 022 ; 16 293 ; 47 ; 2 360 ; 768 ; -   ; 302 ; 66 ; 402 ; 180 ; 223 ; 76 ; 372 ; 18 ; -   
