Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
BIAŁOSTOCKIE;AUGUSTOWSKI; 28 664 ; 155 917 ; 34 726 ; 87 114 ; 1 107 123 ; X   ; 5 917 ; 8 
BIAŁOSTOCKIE;BIAŁOSTOCKI; 51 720 ; 429 305 ; 86 815 ; 200 570 ; 2 125 117 ; X   ; 2 607 ; 64 
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 149 787 ; 633 819 ; 85 811 ; 203 068 ; 2 654 582 ; X   ; 5 948 ; 3 387 
BIAŁOSTOCKIE;GRODZIEŃSKI; 69 429 ; 618 256 ; 133 553 ; 273 289 ; 2 844 721 ; X   ; 19 590 ; 231 
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 68 847 ; 309 620 ; 33 801 ; 85 931 ; 1 476 036 ; 6 444 ; 10 604 ; 998 
BIAŁOSTOCKIE;OSTROŁĘCKI; 51 250 ; 333 998 ; 17 710 ; 66 218 ; 1 700 103 ; 10 920 ; 17 565 ; 2 420 
BIAŁOSTOCKIE;SOKÓLSKI; 27 858 ; 427 217 ; 53 621 ; 184 570 ; 2 444 784 ; X   ; 6 631 ; X   
BIAŁOSTOCKIE;SUWALSKI; 38 876 ; 230 987 ; 46 278 ; 179 155 ; 1 229 730 ; X   ; 2 154 ; 3 
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 56 801 ; 239 758 ; 36 779 ; 89 257 ; 1 440 515 ; X   ; 5 807 ; 846 
BIAŁOSTOCKIE;WOŁKOWYSKI; 50 389 ; 496 166 ; 91 577 ; 184 021 ; 2 536 887 ; X   ; 15 520 ; 201 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 98 977 ; 263 679 ; 36 968 ; 94 042 ; 1 113 576 ; 6 013 ; 581 ; 329 
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 143 757 ; 670 579 ; 56 175 ; 244 789 ; 3 125 386 ; X   ; 14 735 ; 1 878 
KIELECKIE;BĘDZIŃSKI; 6 546 ; 116 107 ; 16 391 ; 20 338 ; 685 500 ; X   ; 55 ; 10 
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 26 480 ; 589 316 ; 37 650 ; 115 709 ; 2 568 610 ; 7 255 ; 2 036 ; 5 078 
KIELECKIE;IŁŻECKI; 60 169 ; 385 779 ; 136 930 ; 209 235 ; 1 759 719 ; X   ; 10 825 ; 3 278 
KIELECKIE;JĘDRZEJOWSKI; 181 041 ; 304 118 ; 89 975 ; 115 250 ; 1 762 433 ; 1 755 ; 228 ; 4 307 
KIELECKIE;KIELECKI; 60 841 ; 334 329 ; 56 950 ; 98 889 ; 2 163 942 ; X   ; 2 019 ; 3 161 
KIELECKIE;KONECKI; 20 257 ; 332 896 ; 27 096 ; 69 533 ; 2 123 266 ; X   ; 657 ; 2 536 
KIELECKIE;KOZIENICKI; 50 029 ; 424 855 ; 104 328 ; 188 126 ; 1 971 910 ; 21 921 ; 19 595 ; 8 231 
KIELECKIE;MIECHOWSKI; 265 932 ; 284 859 ; 145 434 ; 242 640 ; 1 785 300 ; 85 975 ; 158 ; 7 087 
KIELECKIE;OLKUSKI; 61 600 ; 410 719 ; 95 595 ; 150 421 ; 2 202 415 ; X   ; 1 306 ; 77 
KIELECKIE;OPATOWSKI; 207 510 ; 322 557 ; 144 675 ; 293 320 ; 1 955 530 ; 223 339 ; 1 694 ; 4 893 
