Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
BIAŁOSTOCKIE;AUGUSTOWSKI; 2 904 ; 15 995 ; 3 770 ; 11 557 ; 8 956 ; -   ; 1 075 ;  
BIAŁOSTOCKIE;BIAŁOSTOCKI; 4 433 ; 35 607 ; 6 098 ; 15 433 ; 17 081 ; -   ; 782 ;  
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 13 260 ; 58 099 ; 5 451 ; 21 089 ; 28 355 ; -   ; 152 411 ;  
BIAŁOSTOCKIE;GRODZIEŃSKI; 7 341 ; 54 109 ; 10 453 ; 23 629 ; 23 043 ; -   ; 3 766 ;  
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 5 423 ; 26 747 ; 2 210 ; 6 324 ; 10 602 ; 32 ; 1 251 ;  
BIAŁOSTOCKIE;OSTROŁĘCKI; 4 128 ; 37 176 ; 1 625 ; 4 921 ; 14 455 ; 39 ; 2 033 ;  
BIAŁOSTOCKIE;SOKÓLSKI; 2 458 ; 37 055 ; 4 902 ; 19 798 ; 13 397 ; -   ; 1 357 ;  
BIAŁOSTOCKIE;SUWALSKI; 3 783 ; 27 963 ; 5 435 ; 25 322 ; 11 193 ; -   ; 469 ;  
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 4 373 ; 22 217 ; 3 074 ; 7 156 ; 10 444 ; -   ; 614 ;  
BIAŁOSTOCKIE;WOŁKOWYSKI; 6 793 ; 67 294 ; 11 364 ; 29 339 ; 23 817 ; -   ; 4 152 ;  
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 7 674 ; 24 566 ; 3 348 ; 8 674 ; 10 057 ; 108 ; 106 ;  
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 11 128 ; 57 303 ; 4 451 ; 16 092 ; 27 263 ; -   ; 1 631 ;  
KIELECKIE;BĘDZIŃSKI; 532 ; 10 068 ; 1 120 ; 1 713 ; 6 690 ; -   ; 9 ;  
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 2 170 ; 50 237 ; 2 571 ; 7 861 ; 21 409 ; 35 ; 150 ;  
KIELECKIE;IŁŻECKI; 5 326 ; 35 985 ; 13 396 ; 18 351 ; 16 853 ; 142 ; 2 638 ;  
KIELECKIE;JĘDRZEJOWSKI; 13 381 ; 24 474 ; 7 669 ; 8 352 ; 14 448 ; 13 ; 33 ;  
KIELECKIE;KIELECKI; 5 477 ; 30 771 ; 5 517 ; 8 490 ; 20 583 ; -   ; 287 ;  
KIELECKIE;KONECKI; 1 627 ; 30 150 ; 2 288 ; 5 427 ; 20 649 ; -   ; 110 ;  
KIELECKIE;KOZIENICKI; 4 097 ; 38 455 ; 8 509 ; 12 773 ; 15 379 ; 153 ; 1 846 ;  
KIELECKIE;MIECHOWSKI; 18 896 ; 22 096 ; 9 709 ; 14 894 ; 13 118 ; 544 ; 42 ;  
KIELECKIE;OLKUSKI; 4 791 ; 26 875 ; 5 909 ; 9 019 ; 17 791 ; -   ; 136 ;  
KIELECKIE;OPATOWSKI; 13 746 ; 26 140 ; 11 253 ; 20 503 ; 16 129 ; 1 563 ; 174 ;  
KIELECKIE;OPOCZYŃSKI; 3 218 ; 46 936 ; 4 282 ; 11 086 ; 19 501 ; -   ; 654 ;  
KIELECKIE;PIŃCZOWSKI; 14 286 ; 18 834 ; 8 259 ; 8 318 ; 10 093 ; 1 443 ; 11 ;  
KIELECKIE;RADOM (MIASTO);;;;;;;;
KIELECKIE;RADOMSKI; 5 870 ; 57 648 ; 8 980 ; 17 240 ; 22 914 ; -   ; 942 ;  
KIELECKIE;SANDOMIERSKI; 10 808 ; 17 363 ; 8 360 ; 10 458 ; 11 854 ; 1 064 ; 40 ;  
KIELECKIE;SOSNOWIEC;;;;;;;;
KIELECKIE;STOPNICKI; 13 015 ; 31 883 ; 8 251 ; 12 105 ; 18 035 ; 146 ; 91 ;  
KIELECKIE;WŁOSZCZOWSKI; 8 684 ; 23 550 ; 2 460 ; 5 270 ; 12 846 ; 7 ; 30 ;  
KIELECKIE;ZAWIERCIAŃSKI; 1 782 ; 20 515 ; 2 203 ; 3 307 ; 11 252 ; -   ; 140 ;  
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 1 097 ; 8 130 ; 765 ; 7 263 ; 7 492 ; 14 ; -   ;  
KRAKOWSKIE;BOCHEŃSKI; 8 052 ; 10 972 ; 3 398 ; 6 879 ; 7 687 ; 2 ; 2 ;  
KRAKOWSKIE;BRZESKI (BRZESKO); 8 498 ; 13 731 ; 4 259 ; 7 325 ; 9 870 ; 9 ; 7 ;  
KRAKOWSKIE;CHRZANOWSKI; 1 366 ; 11 989 ; 860 ; 3 951 ; 8 907 ; -   ; 4 ;  
KRAKOWSKIE;DĄBROWSKI; 9 095 ; 12 061 ; 3 483 ; 5 545 ; 6 467 ; 31 ; 7 ;  
KRAKOWSKIE;GORLICKI; 5 985 ; 9 087 ; 4 686 ; 12 775 ; 8 492 ; -   ; 6 ;  
KRAKOWSKIE;JASIELSKI; 8 489 ; 12 543 ; 4 116 ; 10 372 ; 9 414 ; 9 ; 36 ;  
KRAKOWSKIE;KRAKOWSKI; 10 140 ; 16 573 ; 3 066 ; 9 895 ; 11 281 ; 105 ; 10 ;  
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 5 872 ; 6 283 ; 3 960 ; 9 433 ; 7 225 ; -   ; -   ;  
KRAKOWSKIE;MIELECKI; 7 070 ; 14 185 ; 2 980 ; 7 840 ; 10 796 ; 2 ; 111 ;  
KRAKOWSKIE;MYŚLENICKI; 6 165 ; 9 479 ; 3 230 ; 11 481 ; 9 730 ; -   ; -   ;  
KRAKOWSKIE;NOWOSĄDECKI; 7 349 ; 11 194 ; 8 224 ; 18 606 ; 12 286 ; -   ; -   ;  
KRAKOWSKIE;NOWOTARSKI; 296 ; 6 541 ; 8 944 ; 29 254 ; 14 160 ; -   ; -   ;  
KRAKOWSKIE;ROPCZYCKI; 9 714 ; 20 739 ; 4 368 ; 8 502 ; 13 336 ; 73 ; 45 ;  
KRAKOWSKIE;TARNOWSKI; 8 269 ; 13 339 ; 2 805 ; 8 513 ; 8 910 ; 18 ; 19 ;  
KRAKOWSKIE;WADOWICKI; 5 839 ; 12 771 ; 1 387 ; 13 400 ; 12 891 ; 98 ; -   ;  
KRAKOWSKIE;ŻYWIECKI; 1 195 ; 6 066 ; 2 162 ; 12 823 ; 10 474 ; -   ; -   ;  
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 7 147 ; 38 259 ; 3 448 ; 15 774 ; 20 520 ; -   ; 999 ;  
LUBELSKIE;BIŁGORAJSKI; 4 835 ; 20 967 ; 4 700 ; 11 023 ; 9 773 ; -   ; 4 492 ;  
LUBELSKIE;CHEŁMSKI; 17 284 ; 30 165 ; 10 364 ; 9 773 ; 16 893 ; 578 ; 1 675 ;  
LUBELSKIE;GARWOLIŃSKI; 5 269 ; 38 993 ; 8 177 ; 13 283 ; 19 453 ; 1 ; 1 805 ;  
LUBELSKIE;HRUBIESZOWSKI; 24 774 ; 18 150 ; 10 220 ; 13 462 ; 10 895 ; 1 664 ; 1 616 ;  
LUBELSKIE;JANOWSKI; 10 045 ; 27 627 ; 10 355 ; 17 419 ; 15 372 ; 327 ; 4 250 ;  
LUBELSKIE;KRASNOSTAWSKI; 22 429 ; 21 555 ; 8 961 ; 11 868 ; 12 545 ; 1 108 ; 2 094 ;  
LUBELSKIE;LUBARTOWSKI; 5 450 ; 32 736 ; 3 224 ; 8 291 ; 14 007 ; 201 ; 5 742 ;  
LUBELSKIE;LUBELSKI; 26 831 ; 32 802 ; 14 105 ; 18 681 ; 18 785 ; 2 961 ; 2 382 ;  
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;
LUBELSKIE;PUŁAWSKI; 8 661 ; 27 912 ; 10 824 ; 9 736 ; 14 822 ; 1 719 ; 3 689 ;  
LUBELSKIE;RADZYŃSKI; 8 816 ; 24 607 ; 1 668 ; 13 332 ; 14 785 ; 78 ; 2 016 ;  
LUBELSKIE;SIEDLECKI; 9 011 ; 40 403 ; 2 285 ; 16 619 ; 20 920 ; 55 ; 220 ;  
LUBELSKIE;SOKOŁOWSKI; 8 246 ; 23 175 ; 2 896 ; 8 286 ; 14 162 ; 998 ; 163 ;  
LUBELSKIE;TOMASZOWSKI; 16 749 ; 16 913 ; 9 498 ; 10 615 ; 10 556 ; 1 335 ; 1 689 ;  
LUBELSKIE;WĘGROWSKI; 5 066 ; 22 073 ; 2 344 ; 7 900 ; 13 708 ; 146 ; 469 ;  
LUBELSKIE;WŁODAWSKI; 7 264 ; 36 145 ; 3 228 ; 12 471 ; 14 373 ; 30 ; 4 619 ;  
LUBELSKIE;ZAMOJSKI; 17 940 ; 18 052 ; 8 485 ; 11 973 ; 11 640 ; 1 363 ; 1 688 ;  
LUBELSKIE;ŁUKOWSKI; 4 751 ; 42 691 ; 2 980 ; 13 893 ; 18 928 ; -   ; 2 645 ;  
LWOWSKIE;BRZOZOWSKI; 6 559 ; 9 997 ; 3 900 ; 6 006 ; 6 103 ; 28 ; 9 ;  
LWOWSKIE;BÓBRECKI; 10 622 ; 7 196 ; 3 281 ; 6 480 ; 8 806 ; 13 141 ; 532 ;  
LWOWSKIE;DOBROMILSKI; 6 319 ; 10 216 ; 2 176 ; 9 288 ; 7 717 ; 22 ; 16 ;  
LWOWSKIE;DROHOBYCKI; 4 540 ; 10 201 ; 2 822 ; 9 836 ; 9 876 ; -   ; 69 ;  
LWOWSKIE;GRÓDECKI; 5 787 ; 9 868 ; 2 846 ; 7 171 ; 6 979 ; 46 ; 992 ;  
LWOWSKIE;JAROSŁAWSKI; 11 361 ; 23 133 ; 4 798 ; 9 854 ; 10 893 ; 969 ; 477 ;  
LWOWSKIE;JAWOROWSKI; 3 569 ; 14 995 ; 3 578 ; 7 967 ; 8 652 ; 2 ; 960 ;  
LWOWSKIE;KOLBUSZOWSKI; 2 796 ; 16 065 ; 3 152 ; 5 064 ; 8 826 ; -   ; 641 ;  
LWOWSKIE;KROŚNIEŃSKI; 7 817 ; 12 278 ; 4 158 ; 7 384 ; 8 101 ; 16 ; 54 ;  
LWOWSKIE;LESKI; 3 235 ; 9 054 ; 2 563 ; 24 787 ; 10 595 ; -   ; -   ;  
LWOWSKIE;LUBACZOWSKI; 5 819 ; 13 360 ; 2 788 ; 9 586 ; 8 331 ; -   ; 1 964 ;  
