region,district,territory_date,centroid_lon,centroid_lat
białostockie,augustowski,20.02.1921,778387.4730995839,669300.6910032681
nowogródzkie,baranowicki,20.02.1921,974078.6457987281,598739.422844633
kieleckie,będziński,20.02.1921,518983.9478260066,290411.63018470566
krakowskie,bialski (Biała Krakowska),20.02.1921,510918.683446509,219619.87786825822
lubelskie,bialski (Biała Podlaska),20.02.1921,796390.3104746639,463959.46563745354
białostockie,białostocki,20.02.1921,771437.5263380116,602110.5061904159
białostockie,białowieski,20.02.1921,826026.7336750088,547657.3263392168
białostockie,bielski (Bielsk Podlaski),20.02.1921,773680.9447484517,540662.7314446217
śląskie,bielski (Bielsko),20.02.1921,493808.52614941593,220691.5818648075
śląskie,Bielsko,20.02.1921,502878.29183913465,217440.2301240785
lubelskie,biłgorajski,20.02.1921,762818.3971773688,296950.84516959597
warszawskie,błoński,20.02.1921,608623.7079460392,469746.096127024
krakowskie,bocheński,20.02.1921,600263.2557036388,234082.3089470436
stanisławowskie,bohorodczański,20.02.1921,896516.9731000244,110688.93073373921
tarnopolskie,borszczowski,20.02.1921,1021443.6611249846,121078.33305333566
lwowskie,bóbrecki,20.02.1921,881615.3146540612,200664.06279474875
wileńskie,brasławski,14.04.1922,991816.8579619193,886113.2313173609
pomorskie,brodnicki,20.02.1921,531779.4736123246,601490.0455625701
tarnopolskie,brodzki,20.02.1921,938347.8454588284,260624.6242916839
krakowskie,brzeski (Brzesko),20.02.1921,622222.6259589384,235110.5105724368
poleskie,brzeski (Brześć n.Bug.),20.02.1921,825666.4295714275,480588.0344952821
łódzkie,brzeziński,20.02.1921,552902.8629623952,434223.24193578697
tarnopolskie,brzeżański,20.02.1921,937373.0941229326,197070.40481642625
lwowskie,brzozowski,20.02.1921,723701.7250748866,212663.3451414877
tarnopolskie,buczacki,20.02.1921,960079.7684604985,148646.02493763133
poznańskie,bydgoski,20.02.1921,430941.7728705458,593374.7972624926
poznańskie,Bydgoszcz,20.02.1921,434975.36083546886,584742.8290169905
pomorskie,chełmiński,20.02.1921,466872.0668563195,602377.7304809086
lubelskie,chełmski,20.02.1921,809475.2660647503,375296.1126222561
poznańskie,chodzieski,20.02.1921,362532.77573654574,572548.0970667304
pomorskie,chojnicki,20.02.1921,411083.24950495263,665397.3936132644
krakowskie,chrzanowski,20.02.1921,531774.3718195357,252382.7586714052
warszawskie,ciechanowski,20.02.1921,609390.0714348218,558221.9049232664
lwowskie,cieszanowski,20.02.1921,795491.2653824775,270013.3837240833
śląskie,cieszyński,20.02.1921,485888.406370033,206245.26105141843
poznańskie,czarnkowski,20.02.1921,326618.62039370585,556543.2286877286
kieleckie,częstochowski,20.02.1921,503564.3673776161,331919.9900958451
tarnopolskie,czortkowski,20.02.1921,992710.5487807334,147394.2550026724
krakowskie,dąbrowski,20.02.1921,640536.1910637969,263422.5501897776
