District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Ziemniaki jadalne,Siano koniczyny,Siano łąkowe,Słoma,koń roboczy (cena minimalna),koń roboczy (cena maksymalna),krowa dojna (cena minimalna),krowa dojna (cena maksymalna),Unnamed: 17
AUGUSTOWSKI,53.67,45.63,42.14,44.0,45.6,10.95,11.89,9.63,6.0,259.0,405.0,311.0,498.0,0.0
BIAŁOSTOCKI,48.33,41.3,35.79,40.94,38.4,10.99,11.34,9.11,4.75,213.0,471.0,307.0,575.0,0.0
BIELSKI (BIELSK PODLASKI),53.89,42.4,39.13,42.6,34.33,11.6,16.2,10.33,5.8,215.0,450.0,325.0,535.0,0.0
GRODZIEŃSKI,52.157436034714166,45.465238835514214,42.37729621095756,45.365948075882166,43.320558427462004,10.941841711451554,14.009926184081799,10.27659362191684,5.897871122143578,277.0212193734105,530.2126564351297,292.90774091453795,496.4537981602338,0.0
ŁOMŻYŃSKI,81.18696150042727,63.61697764686359,61.07251031754784,63.70208385807171,65.88222332015769,16.41311014662621,20.249635198348713,14.062403148334468,7.47531378969348,394.6805590538114,721.5242444006853,517.5599172439986,815.0348655214977,0.0
OSTROŁĘCKI,77.29303849957273,55.583022353136414,54.627489682452165,56.07791614192829,61.2377766798423,15.456889853373788,14.790364801651288,10.417596851665532,6.144686210306521,350.3194409461886,697.4757555993147,449.4400827560014,764.9651344785023,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),50.62,38.27,37.54,36.71,42.57,12.19,11.09,8.7,4.25,234.0,531.0,306.0,638.0,0.0
SOKÓLSKI,53.13,44.5,41.2,44.4,40.14,10.63,9.42,7.4,4.54,285.0,515.0,300.0,480.0,0.0
SUWALSKI,55.0,43.2,41.88,43.0,45.0,12.78,12.07,10.25,6.17,235.0,405.0,300.0,440.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),52.8,43.78,42.5,41.57,44.0,10.0,11.81,9.83,4.47,285.0,425.0,314.0,484.0,0.0
WOŁKOWYSKI,51.67,43.0,40.06,42.0,37.62,10.0,13.5,9.93,6.9,336.0,609.0,324.0,526.0,0.0
WYSOKOMAZOWIECKI,50.82,40.0,37.6,40.75,0.0,11.56,13.27,10.0,5.75,260.0,503.0,309.0,647.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,54.14,42.0,40.0,40.0,0.0,16.75,26.8,19.4,14.0,313.0,625.0,364.0,686.0,0.0
CZĘSTOCHOWSKI,51.25,41.7,40.25,41.67,48.0,15.56,17.63,14.89,10.18,218.0,460.0,302.0,534.0,0.0
IŁŻECKI,51.695025320996976,39.891995388186075,38.662215076203346,39.659046550402344,41.8057364819782,11.760673812216929,11.498976755674768,10.11288249092171,5.6083348911885995,238.74472902204522,522.6368999332774,282.8675972630343,494.02255872833183,0.0
JĘDRZEJOWSKI,49.93957791778038,39.09622617825638,38.21514939277846,39.016398463932845,0.0,14.925399589723828,15.38869259549449,12.44673480371645,9.13340264211023,197.09906426396873,479.2349350133646,284.1307804907729,586.3085479842188,0.0
KIELECKI,51.64,40.73,38.66,40.6,46.0,13.96,14.42,12.5,8.92,232.0,519.0,267.0,463.0,0.0
KONECKI,52.679105358505254,41.75911118093902,38.98747818671308,41.17620293238254,0.20159240390739855,15.209584452561566,16.64768604379124,12.542931288214765,9.735268284081807,296.20022956299346,547.0911692001386,310.40334533519234,529.2250409590879,0.0
KOZIENICKI,51.86,38.0,35.43,36.57,0.0,13.38,11.25,8.5,6.03,275.0,556.0,313.0,594.0,0.0
MIECHOWSKI,49.98042208221962,41.423773821743616,38.674850607221536,41.86360153606715,0.0,13.78460041027617,22.19130740450551,17.193265196283548,8.686597357889768,252.90093573603127,599.7650649866354,333.86921950922704,787.6914520157811,0.0
OLKUSKI,51.05,41.25,38.37,41.29,0.0,17.89,24.29,19.17,15.22,268.0,513.0,303.0,599.0,0.0
OPATOWSKI,50.0,39.0,36.38,38.25,40.0,12.62,13.33,11.67,6.07,222.0,485.0,296.0,519.0,0.0
OPOCZYŃSKI,49.40089464149475,38.62088881906097,36.11252181328692,37.993797067617464,43.468407596092604,17.160415547438433,10.28231395620876,9.257068711785235,7.604731715918192,258.79977043700654,450.9088307998614,302.59665466480766,479.77495904091217,0.0
PIŃCZOWSKI,51.40999999826782,40.5599999986334,37.93999999872167,38.16999999871393,0.0,13.119999999557942,16.04999999945922,13.119999999557942,6.859999999768863,304.9999999897235,520.9999999824457,387.999999986927,615.9999999792449,0.0
RADOMSKI,50.6771233771221,40.13932878781496,38.19584303872124,39.553353185073135,48.831300228485354,14.043881945712387,11.719512054836486,10.508495809170048,7.6176828356437145,346.702231622246,722.7032433815832,371.1178817364887,600.6249928103698,0.0
SANDOMIERSKI,52.86,41.57,37.58,39.92,0.0,12.08,12.75,10.88,5.0,250.0,423.0,315.0,506.0,0.0
STOPNICKI,52.750000001732175,42.5000000013666,41.63000000127833,40.13000000128608,0.0,14.330000000442057,14.330000000540778,12.000000000442057,8.250000000231136,250.0000000102765,444.00000001755427,300.000000013073,488.0000000207551,0.0
WŁOSZCZOWSKI,52.62,41.69,40.6,40.92,53.0,14.08,13.0,9.94,8.33,254.0,429.0,312.0,504.0,0.0
ZAWIERCIAŃSKI,52.21,41.0,40.36,40.78,0.0,18.46,24.73,19.45,13.69,229.0,554.0,284.0,629.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.9367792423356134,0.7419854858352999,0.7060596679079946,0.7311535809325947,0.9026587418920923,0.25960465416816575,0.21663809805410217,0.19425216125517827,0.1408147637351664,6.408877067433855,13.359349380002966,6.860206438379902,11.102702525272736,0.0
BIALSKI (BIAŁA KRAKOWSKA),75.17045274726355,69.88444470452019,60.060120348565036,60.57730755039613,0.0,28.371970088409874,52.078358552243664,41.73920936326309,19.524880956677734,427.21121302705546,789.9349379808672,442.7087106417042,753.560563577205,0.0
BOCHEŃSKI,49.4,41.3,37.7,37.8,0.0,13.5,31.64,23.91,11.73,191.0,382.0,273.0,523.0,0.0
BRZESKI (BRZESKO),51.18,40.5,39.5,38.73,0.0,14.64,31.53,22.83,10.31,212.0,439.0,297.0,535.0,0.0
