District,Pszenica (za q = 100kg),Żyto (za q = 100kg),Jęczmień browarniany (za q = 100kg),Jęczmień innych gatunków (za q = 100kg),Owies (za q = 100kg),Gryka (za q = 100kg),Groch (za q = 100kg),Ziemniaki jadalne (za q = 100kg),Ziemniaki fabryczne (za q = 100kg),Siano koniczyny (za q = 100kg),Siano łąkowe (za q = 100kg),Słoma (za q = 100kg)
AUGUSTOWSKI,36.5,16.5,19.0,17.67,16.75,21.0,20.0,4.43,3.0,7.8,5.55,3.45
BIAŁOSTOCKI,34.38,16.3,19.0,16.11,17.89,20.0,20.3,6.11,5.0,9.64,7.03,3.94
BIELSKI (BIELSK PODLASKI),29.75,15.0,20.5,18.43,17.88,16.0,16.5,6.43,5.0,9.07,5.89,3.09
GRODZIEŃSKI,30.234036321120218,14.695032431940206,17.097868816081778,16.958861752536396,17.197159575757052,19.739003023444003,22.41985353467634,5.0042542876336915,2.8595738786478235,8.727657775456377,6.4439703029251305,3.7432616397577414
ŁOMŻYŃSKI,48.62670033733524,24.488848781152186,8.936152176853057,27.868067207886558,26.71487602771193,28.96735375102029,31.709194207079904,7.700207578485355,6.456732630207856,13.247506130255331,10.976799131963588,5.919854079339485
OSTROŁĘCKI,45.573299662664766,21.461151218847814,24.983847823146945,23.51193279211344,24.075123972288065,33.14264624897971,35.3608057929201,6.859792421514645,4.873267369792144,12.84249386974467,10.14320086803641,5.240145920660516
OSTROWSKI (OSTRÓW MAZOWIECKA),31.78,15.33,0.0,18.67,21.0,23.8,20.67,5.22,0.0,7.0,6.33,4.25
SOKÓLSKI,32.0,15.13,19.0,17.4,17.83,18.75,22.17,4.82,3.9,7.54,4.36,4.04
SUWALSKI,31.11,14.6,17.8,17.33,16.86,29.0,17.8,4.89,3.5,4.94,4.15,3.22
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),32.07,16.57,19.17,17.0,17.21,24.75,21.75,4.45,3.67,8.0,5.87,3.44
WOŁKOWYSKI,30.9,14.95,19.09,17.77,20.8,20.55,21.4,4.8,4.0,8.61,6.27,4.09
WYSOKOMAZOWIECKI,30.94,14.89,17.5,17.1,17.21,24.0,20.0,5.47,0.0,9.67,7.28,4.02
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,37.0,17.4,20.0,20.0,20.0,0.0,0.0,8.67,0.0,12.67,8.0,6.25
CZĘSTOCHOWSKI,32.18,15.85,17.71,17.0,19.11,0.0,0.0,6.84,5.0,8.86,7.31,3.94
IŁŻECKI,30.339714314603697,13.884980075458337,16.235630325748502,15.536534382168309,15.487124389319458,22.106938796145496,30.33604581560211,6.4964821088459574,0.02050274850237791,8.802559803714729,7.043168856558964,4.592125268168034
JĘDRZEJOWSKI,31.062099153188274,15.856499868703086,18.307588400931674,17.21678570630268,18.257314310082748,0.0,30.8,6.683524025200468,5.2,7.91402130431209,6.2929210253328325,4.041636713926439
KIELECKI,32.69,16.06,17.5,16.08,18.5,0.0,32.5,8.11,6.0,11.31,9.14,5.33
KONECKI,35.217720561599194,16.60109052026961,0.0791228258065677,19.277691782866075,19.0211251214365,0.1257932907368127,0.14176557645972543,6.632313872849823,4.67,12.686624302254746,8.934622006624812,5.439434486385394
KOZIENICKI,31.42,12.92,15.43,15.0,17.45,27.33,32.0,6.64,3.25,11.5,7.8,4.86
MIECHOWSKI,30.88790084681172,16.593500131296913,19.37241159906832,17.32321429369732,18.672685689917248,0.0,0.0,8.99647597479953,0.0,10.26597869568791,7.457078974667167,4.17836328607356
OLKUSKI,31.75,16.0,20.13,18.2,18.72,0.0,42.14,9.0,6.25,10.13,7.55,5.19
OPATOWSKI,29.75,15.55,17.78,14.75,15.21,0.0,34.43,7.17,0.0,8.43,7.07,3.91
OPOCZYŃSKI,31.852279438400807,15.328909479730388,17.060877174193433,16.752308217133923,19.648874878563497,27.124206709263188,30.568234423540275,6.967686127150176,0.0,10.053375697745254,7.465377993375189,4.190565513614606
PIŃCZOWSKI,29.849999998994253,16.299999999450797,16.999999999427214,16.789999999434286,16.999999999427214,0.0,38.99999999868596,7.879999999734496,0.0,8.179999999724387,7.179999999758081,4.249999999856803
RADOMSKI,29.750343182869667,14.89959716055049,19.00309277198079,17.195600657422208,17.312843389177356,21.25024513062119,27.03421989720866,7.249508913526862,4.074184928491511,10.444373353854736,8.578259873418578,4.396602440818178
SANDOMIERSKI,30.75,15.83,18.25,16.43,16.11,0.0,33.75,8.09,5.5,10.0,8.33,5.29
STOPNICKI,31.450000001005748,15.800000000549202,18.000000000572786,16.250000000565713,20.000000000572786,0.0,40.00000000131404,6.9800000002655045,0.0,8.170000000275612,7.7100000002419184,4.140000000143196
WŁOSZCZOWSKI,30.94,15.11,17.5,17.0,19.88,0.0,0.0,6.53,5.33,8.67,7.27,4.23
ZAWIERCIAŃSKI,34.0,16.59,17.75,16.57,19.83,0.0,0.0,9.94,0.0,13.15,9.94,6.15
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
