District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
AUGUSTOWSKI,20.4,15.2,16.0,15.2,13.5,0.0,20.25,5.4,4.0,6.02,4.64,3.93
BIAŁOSTOCKI,20.08,14.73,15.66,15.2,15.64,18.0,16.71,3.84,0.0,6.1,4.73,4.04
BIELSKI (BIELSK PODLASKI),23.45,15.5,16.0,15.78,15.72,16.0,18.66,4.15,0.0,7.75,5.23,3.72
GRODZIEŃSKI,21.75,15.11,13.78,13.62,15.0,14.83,19.0,4.31,3.3,6.91,5.73,4.54
ŁOMŻYŃSKI,20.5,13.75,15.33,14.89,15.63,17.5,17.0,3.47,2.5,6.31,5.33,3.76
OSTROŁĘCKI,21.61,13.89,17.0,15.36,14.58,16.2,18.63,3.1,2.2,7.19,5.61,3.66
OSTROWSKI (OSTRÓW MAZOWIECKA),22.38,13.77,17.5,17.75,17.0,18.5,21.2,3.76,0.0,7.5,6.0,4.5
SOKÓLSKI,20.42,14.7,15.83,14.18,15.06,15.3,18.3,4.49,3.3,6.48,5.05,4.1
SUWALSKI,19.55,13.08,15.0,13.5,12.4,0.0,16.71,4.32,3.33,5.19,4.4,3.63
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),22.75,13.78,14.5,14.5,14.33,12.67,16.6,3.28,2.75,6.54,4.83,3.98
WOŁKOWYSKI,21.58,15.63,15.33,14.3,15.72,15.0,17.91,4.28,3.6,7.06,5.18,3.98
WYSOKOMAZOWIECKI,22.73,14.33,14.33,14.11,15.83,0.0,21.0,4.25,4.0,7.4,6.51,4.78
BIAŁYSTOK (MIASTO),20.08,14.73,15.66,15.2,15.64,0.0,16.71,3.84,0.0,6.1,4.73,4.04
BĘDZIŃSKI,24.8,20.5,18.0,16.5,22.0,0.0,27.67,6.83,0.0,13.0,8.25,7.83
CZĘSTOCHOWSKI,25.88,15.8,16.67,16.22,16.82,24.33,25.0,3.95,0.0,9.5,7.77,5.32
IŁŻECKI,23.545361358129764,15.543831871382594,14.925368885374073,13.319063238932783,12.1907553343182,19.89359736748061,24.196129237855143,4.673381681689398,3.518920702946026,11.078528608568668,9.31060778016857,6.598149059598491
JĘDRZEJOWSKI,25.26009828999112,15.906527277787978,16.73657818037421,15.646429388199078,16.206527277787977,23.0,25.150963633957012,4.621840324271356,4.0,11.573567096619586,8.902568622812787,6.702043934616272
KIELECKI,25.5,16.69,18.0,16.25,15.44,0.0,26.0,4.13,4.0,10.25,8.63,6.83
KONECKI,22.20301779113199,15.176658903421636,16.063104377408155,15.891673334467663,17.06176565981866,0.07386028079959644,26.112313789490887,4.015418333616916,0.013064037166428621,13.743069776241263,9.86466816930031,6.888990160213842
KOZIENICKI,23.95,14.95,14.22,14.17,13.63,18.56,23.0,3.88,3.57,8.2,7.08,5.41
MIECHOWSKI,25.77990171000888,16.66347272221202,16.79342181962579,16.413570611800925,16.66347272221202,0.0,27.989036366042985,4.698159675728644,0.0,9.106432903380414,6.557431377187213,5.217956065383728
OLKUSKI,25.95,16.9,18.5,15.94,16.28,21.0,26.0,5.26,4.3,10.87,8.27,6.47
OPATOWSKI,23.27,15.77,14.4,14.11,13.42,20.0,26.4,4.0,0.0,9.8,8.75,5.92
OPOCZYŃSKI,20.056982208868007,14.373341096578363,13.606895622591844,13.298326665532336,13.318234340181338,15.926139719200403,24.21768621050911,3.324581666383084,2.8169359628335715,9.286930223758736,7.475331830699689,6.251009839786159
PIŃCZOWSKI,25.05,16.58,16.57,15.39,16.28,0.0,28.4,4.94,3.0,8.31,6.63,4.69
RADOMSKI,23.914638641870237,14.686168128617405,16.174631114625928,14.070936761067216,14.2892446656818,18.52640263251939,25.303870762144854,3.016618318310602,2.441079297053974,10.131471391431333,7.819392219831429,4.921850940401509
SANDOMIERSKI,24.38,15.38,13.75,13.27,12.82,0.0,26.4,4.06,4.0,8.0,6.5,4.42
STOPNICKI,24.67,16.11,16.0,15.89,15.33,0.0,28.0,3.84,3.0,8.4,7.0,4.8
WŁOSZCZOWSKI,26.06,15.44,16.29,15.25,17.23,24.5,27.0,3.79,3.5,9.75,7.42,6.29
ZAWIERCIAŃSKI,25.6,17.31,17.5,17.38,19.27,0.0,27.67,5.38,4.17,11.56,8.27,6.96
CZĘSTOCHOWA (MIASTO),25.88,15.8,16.67,16.22,16.82,0.0,25.0,3.95,0.0,9.5,7.77,5.32
SOSNOWIEC,24.8,20.5,18.0,16.5,22.0,0.0,27.67,6.83,0.0,13.0,8.25,7.83
RADOM (MIASTO),24.1,14.8,16.3,14.18,14.4,0.0,25.5,3.04,0.0,10.21,7.88,4.96
BIALSKI (BIAŁA KRAKOWSKA),26.6,20.43,23.0,22.75,21.0,0.0,30.0,6.33,3.25,11.37,8.0,7.2
BOCHEŃSKI,25.0,18.3,18.67,17.78,17.82,0.0,27.0,5.45,0.0,10.85,8.33,5.7
BRZESKI (BRZESKO),25.63,17.65,18.0,16.94,17.58,0.0,25.75,5.56,4.0,9.35,6.19,5.97
CHRZANOWSKI,25.9,19.8,18.75,19.71,20.2,0.0,28.0,6.77,0.0,10.72,8.7,6.78
DĄBROWSKI,25.37,16.84,15.4,15.38,15.06,0.0,20.8,4.45,3.0,7.94,6.13,3.81
GORLICKI,29.13,21.53,22.0,21.38,20.57,0.0,28.0,5.43,4.0,10.8,7.97,6.39
JASIELSKI,26.89,19.15,19.56,18.89,19.79,0.0,27.0,4.64,4.0,11.22,8.43,6.16
KRAKOWSKI,28.31,18.9,21.0,19.07,19.31,0.0,28.0,5.88,4.0,9.79,7.18,5.78
KRAKÓW (MIASTO),28.31,18.9,21.0,19.07,19.31,0.0,28.0,5.88,0.0,9.79,7.18,5.78
LIMANOWSKI,27.36,22.75,24.33,21.14,22.27,0.0,26.33,6.42,4.83,9.86,8.36,6.0
MIELECKI,24.56,16.89,16.75,15.4,15.13,0.0,24.5,3.99,3.25,8.3,6.17,5.8
MYŚLENICKI,28.77,21.42,21.67,20.08,21.17,0.0,26.0,6.62,4.5,9.82,7.5,5.96
NOWOSĄDECKI,26.07,21.28,21.8,20.87,21.6,0.0,26.0,7.75,0.0,10.6,8.0,6.39
NOWOTARSKI,30.0,24.55,21.67,23.33,20.93,0.0,30.0,7.68,0.0,12.09,10.1,8.9
TARNOWSKI,26.05,18.21,18.71,17.72,17.0,0.0,25.75,5.0,4.33,9.16,6.82,5.7
WADOWICKI,26.67,19.84,18.75,18.6,20.29,0.0,28.0,6.53,0.0,9.91,7.61,6.64
ŻYWIECKI,28.67,24.71,22.0,20.5,21.86,0.0,30.0,8.9,6.0,11.6,9.38,7.33
DĘBICKI,25.2,17.26,17.22,17.0,17.62,0.0,25.67,4.17,3.5,8.7,7.18,5.2
BIALSKI (BIAŁA PODLASKA),23.609999999856957,16.099999999902458,17.499999999893973,15.599999999905485,15.469999999906275,17.669999999892948,19.999999999878828,4.029999999975584,3.3699999999795827,8.53999999994826,5.809999999964799,4.7699999999711
BIŁGORAJSKI,23.25,16.44,17.13,15.88,16.89,17.67,24.25,5.17,0.0,8.63,7.44,4.69
CHEŁMSKI,23.0,14.38,14.2,13.69,14.57,16.78,21.25,4.46,4.0,6.94,5.78,3.89
GARWOLIŃSKI,25.38,15.47,15.2,14.38,14.46,19.6,23.0,4.15,3.9,8.8,6.9,4.7
HRUBIESZOWSKI,21.92,14.64,13.75,13.5,14.08,17.38,18.0,4.95,3.9,6.57,5.78,3.17
JANOWSKI,24.54,15.14,14.89,13.42,14.29,17.44,23.0,4.75,4.0,9.3,8.1,5.2
KRASNOSTAWSKI,22.16,15.05,14.0,13.75,14.79,18.0,25.0,4.68,4.0,6.1,5.0,3.1
LUBARTOWSKI,24.06,15.9,16.1,14.67,14.22,19.0,25.25,4.75,4.5,8.56,6.81,4.65
LUBELSKI,24.56,15.31,14.89,13.91,14.07,14.8,18.0,4.63,3.5,8.57,6.75,5.06
ŁUKOWSKI,24.59,15.25,15.71,14.69,14.5,18.0,20.75,3.45,3.33,8.79,6.62,5.0
PUŁAWSKI,23.2,14.67,16.0,14.83,14.16,21.33,23.0,4.9,0.0,7.33,6.67,4.0
RADZYŃSKI,25.07,15.8,16.83,16.09,15.62,17.5,19.83,4.09,3.79,7.65,5.45,4.68
SIEDLECKI,23.05,14.8,15.5,14.69,14.26,20.5,21.5,3.39,2.9,7.54,6.09,4.23
SOKOŁOWSKI,22.63,14.38,14.83,14.0,14.42,0.0,20.0,3.33,0.0,5.4,5.0,4.14
TOMASZOWSKI,23.4,14.4,15.0,13.0,13.2,17.0,24.67,3.88,2.5,7.75,6.8,4.75
WĘGROWSKI,24.2,15.64,17.5,15.78,15.22,18.75,15.75,3.83,3.0,8.61,7.11,4.5
WŁODAWSKI,24.69,16.0,16.86,15.27,15.0,17.9,19.57,3.65,3.26,7.2,5.5,3.89
ZAMOJSKI,22.87,15.47,14.0,13.73,14.18,18.4,25.5,5.32,4.0,6.94,5.56,3.92
LUBLIN (MIASTO),24.56,15.31,14.89,13.91,14.07,0.0,18.0,4.63,0.0,8.57,6.75,5.06
BÓBRECKI,24.33,17.5,17.0,16.5,15.5,16.5,20.0,4.35,4.0,7.89,6.4,4.75
BRZOZOWSKI,27.45,19.92,19.0,19.86,19.78,0.0,23.0,5.5,4.0,10.13,8.63,6.43
DOBROMILSKI,28.442623834903586,20.210420602893887,18.766822497657298,20.025058911977034,18.166269309225427,1.4843969423016228,30.598581322478672,4.81058151408157,3.719234009939932,7.778983360944255,5.810784793991994,5.355494036951209
DROHOBYCKI,27.319428671715606,18.383514822611176,18.701046412520448,17.503696351676275,16.190186829538206,16.784303215384323,26.844634231952348,4.104100365065028,0.11583555181060767,8.151765421696133,5.669880747447632,4.517830564915117
GRÓDECKI,25.13,16.5,15.0,15.0,16.5,18.0,19.0,4.75,0.0,6.7,5.3,4.4
JAROSŁAWSKI,23.32,16.95,17.13,16.36,15.93,18.25,24.25,4.02,3.72,7.42,6.38,4.54
JAWOROWSKI,22.0604440553683,15.66071748239354,14.626323566619625,14.307329403563681,14.452357567573761,15.680114561678945,22.62092172359807,3.9248900830218423,3.383517963682674,7.704685436954031,6.080643040136052,3.837924957455464
KOLBUSZOWSKI,24.11,16.3,17.33,16.75,14.7,16.0,23.0,4.17,0.0,9.0,6.92,5.71
KROŚNIEŃSKI,26.33,20.73,19.5,18.33,20.21,19.0,27.0,5.31,3.5,12.8,10.91,8.0
LESKI,23.67,18.0,19.0,16.0,16.67,0.0,29.0,4.25,0.0,7.0,5.5,4.0
LWOWSKI,25.45,16.42,17.0,15.44,15.67,18.0,20.67,5.0,3.6,7.85,5.95,4.11
LWÓW (MIASTO),25.45,16.42,17.0,15.44,15.67,0.0,20.67,5.0,0.0,7.85,5.95,4.11
ŁAŃCUCKI,24.1,17.3,16.0,15.71,16.44,19.0,26.33,4.06,4.0,7.94,6.13,5.17
MOŚCISKI,24.79,17.33,16.0,15.5,15.88,17.0,21.0,4.03,3.25,7.17,5.73,3.91
NIŻAŃSKI,26.2,16.0,16.5,15.5,17.89,21.0,25.0,6.01,0.0,9.25,7.63,5.88
PRZEMYSKI,24.22,17.21,17.44,17.07,16.27,0.0,26.43,4.22,3.25,7.65,6.19,3.93
PRZEWORSKI,23.82,16.5,16.67,16.4,16.33,21.0,26.33,4.39,3.0,8.43,6.95,4.7
RAWSKI (RAWA RUSKA),23.27,15.92,15.2,14.89,15.42,19.2,22.6,5.23,3.5,7.93,6.0,4.7
RUDECKI,24.2,15.6,15.0,13.75,14.4,18.0,19.0,3.88,3.0,7.0,5.15,4.0
RZESZOWSKI,24.56,17.5,17.33,17.0,18.06,21.0,23.0,4.36,3.67,10.64,8.17,5.73
SAMBORSKI,21.73794749338081,15.676064574494939,15.402131089822255,14.801244736346689,15.163543861236368,17.231299842314055,18.556784445568983,3.6053181208534024,2.54493043824946,7.0692512173596125,5.929334458560375,4.126675398133674
SANOCKI,26.8,19.83,19.0,18.4,18.9,0.0,27.0,7.11,0.0,12.0,9.22,7.0
SOKALSKI,22.03530126051405,14.356182316057556,13.22514929323063,12.89774499714915,13.453340166257114,15.457451311967983,16.07257453490894,3.8792448414502445,8.006523240537973,6.9449396138495425,5.546030348774135,2.976402691649804
TARNOBRZESKI,22.67,15.58,16.0,15.2,14.6,17.67,26.33,5.14,0.0,8.55,7.17,4.58
ŻÓŁKIEWSKI,23.0,18.0,14.0,14.0,14.57,16.75,18.0,4.7,4.0,6.8,5.2,4.0
LUBACZOWSKI,25.3295559446317,16.829282517606458,15.503676433380374,15.492670596436318,15.997642432426236,17.869885438321052,22.44907827640193,4.9251099169781565,4.116482036317326,8.265314563045969,7.039356959863947,5.462075042544536
TURCZAŃSKI,27.5,20.5,18.0,17.4,16.63,0.0,21.0,6.33,0.0,6.63,6.0,3.67
BRZEZIŃSKI,23.25,14.7,16.0,14.0,14.89,0.0,23.2,3.62,0.0,10.5,7.86,5.33
ŁASKI,22.74,14.4,17.83,15.09,15.61,19.0,24.33,3.57,2.46,9.07,6.94,4.6
ŁĘCZYCKI,22.45,14.82,16.67,14.63,15.67,20.0,22.33,3.08,2.0,9.67,6.93,4.31
ŁÓDZKI,23.18,14.92,16.25,15.33,15.6,22.0,23.2,3.96,3.03,12.5,9.27,5.91
ŁÓDŹ (MIASTO),23.18,14.92,16.25,15.33,15.6,0.0,23.2,3.96,0.0,12.5,9.27,5.91
PIOTRKOWSKI,23.0,14.6,16.5,15.6,17.18,0.0,25.17,2.95,2.0,8.29,6.5,4.63
RADOMSZCZAŃSKI,26.11,15.45,16.5,15.31,15.4,22.4,25.17,3.17,2.83,8.9,6.61,4.6
SIERADZKI,23.81467621960094,14.923236464961393,16.10531599737596,15.194087747891018,15.48342743667491,20.09351831061537,22.93580103099961,3.289994653877384,2.5084663710828745,8.621540133739314,6.265651682418252,3.841638584595558
WIELUŃSKI,23.21,15.0,15.0,15.0,15.5,22.0,20.0,3.57,2.5,5.9,5.83,4.0
POŁUDNIOWO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
PÓŁNOCNO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
PRASKO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
ŚRÓDMIEJSKO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
BARANOWICKI,22.46,15.47,15.5,14.5,15.38,15.44,20.4,4.43,4.0,6.76,5.16,4.06
BRASŁAWSKI,15.12,10.6,13.0,10.89,9.26,9.0,10.25,2.77,2.4,3.61,2.68,1.98
LIDZKI,20.0,15.29,15.0,14.0,14.47,15.86,17.86,5.19,4.35,7.13,5.6,5.46
NIEŚWIESKI,21.06,14.37,14.29,14.19,14.53,15.78,19.71,4.84,4.2,5.48,4.62,3.93
NOWOGRÓDZKI,21.245494380663576,14.518328482174457,14.118245734984125,14.115018594561185,13.802536178851232,14.712287937280237,21.142325167370675,5.507236235649304,0.027306572809490188,7.046669415347129,5.2792221682172675,4.4459950277943285
SŁONIMSKI,21.94,15.82,15.67,15.44,16.26,16.46,20.25,5.27,4.8,7.69,5.44,4.04
STOŁPECKI,19.834505619336426,14.181671517825544,14.171754265015874,13.784981405438815,13.487463821148769,13.457712062719764,17.057674832629324,4.462763764350695,3.27269342719051,5.593330584652872,4.700777831782733,4.314004972205672
WOŁOŻYŃSKI,19.08,13.76,15.0,13.25,13.15,16.5,18.14,4.71,3.5,6.47,5.15,4.2
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),20.5,14.83,15.5,14.33,14.45,14.2,17.67,5.52,0.0,6.73,5.36,3.6
BRZESKI (BRZEŚĆ N.BUG.),23.300000000143044,16.500000000097543,16.000000000106027,15.380000000094515,14.780000000093727,16.200000000107057,19.660000000121173,4.280000000024416,2.0417641070981196e-11,7.250000000051741,5.060000000035201,3.5900000000288994
DROHICKI,21.73,16.0,15.67,15.61,15.25,14.13,16.83,3.47,2.58,4.88,3.82,2.51
KOBRYŃSKI,21.94,17.7,16.75,16.33,16.89,16.0,19.8,4.16,3.6,6.6,4.18,3.41
KOSZYRSKI,20.8,17.14,16.5,15.75,15.29,17.0,19.5,3.15,3.0,6.88,4.8,2.48
ŁUNINIECKI,21.26503749130978,15.361063176795406,18.20053278031005,15.938500813491444,16.43471297208559,15.174240704669396,16.72838455535311,4.4945628400689,0.03475901525374153,5.763836268398698,3.823225954866832,3.0893000673453015
PIŃSKI,23.52496250869022,16.958936823204592,17.79946721968995,16.731499186508557,16.39528702791441,15.465759295330605,20.27161544464689,3.9554371599311007,3.0852409847462585,5.666163731601302,3.8367740451331676,2.6006999326546985
