District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
AUGUSTOWSKI,35438.0,31356.0,1725.0,467.0,212.0,489.0,70.0,285.0,368.0,466.0
BIAŁOSTOCKI,92518.5186359262,53067.29270038258,16682.142247512296,5675.773225504761,3760.0884425672875,3446.7162768345956,713.7627158743255,2582.031929707831,4362.524536183256,2228.1865613592663
BIELSKI (BIELSK PODLASKI),84843.0,74001.0,4887.0,1687.0,494.0,1157.0,38.0,712.0,1041.0,826.0
GRODZIEŃSKI,82452.03970604796,61841.26382162769,7317.728984881846,3145.5312651432414,1425.8153083161915,2170.4960055565425,539.1488248020139,1540.9925894893659,2504.1129579202193,1966.9499483108464
ŁOMŻYŃSKI,73226.35529460962,57811.00437889356,5031.175780786757,2096.474625348773,497.4395983629121,2199.3470104346607,360.37587163803744,1127.708935864099,2362.396790950936,1740.4323023298862
OSTROŁĘCKI,56355.64470539038,49718.99562110644,2444.8242192132434,887.5253746512271,783.5604016370879,719.6529895653395,162.62412836196256,391.2910641359011,660.6032090490639,586.5676976701137
OSTROWSKI (OSTRÓW MAZOWIECKA),49256.0,41068.0,3025.0,1362.0,506.0,685.0,131.0,514.0,949.0,1016.0
SOKÓLSKI,54053.782417485054,49404.69332021967,1869.2316946648616,731.6992516014324,243.89975053381082,546.7752604180102,37.98438737821644,293.87920761041136,459.81100510472527,465.8085399539174
SUWALSKI,49919.0,41227.0,2468.0,1210.0,336.0,1218.0,267.0,675.0,1360.0,1158.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),29762.0,24588.0,1803.0,625.0,246.0,544.0,35.0,349.0,633.0,939.0
WOŁKOWYSKI,66993.0,58422.0,2526.0,1045.0,1567.0,883.0,339.0,784.0,921.0,506.0
WYSOKOMAZOWIECKI,39224.0,33694.0,2065.0,867.0,901.0,513.0,20.0,374.0,317.0,473.0
BIAŁYSTOK (MIASTO),1328.6989465887445,762.0139793977486,239.62605782284197,81.52752289380659,54.011806898901916,49.5084627473941,10.252896747458045,37.08886268175777,62.66445871201913,32.00489868681655
BĘDZIŃSKI,50542.64971070696,14401.232958768858,24693.887373440197,2847.6633081332893,1927.362279641556,1713.353730418269,135.9243488310067,1942.1436509092305,1737.4537922677382,1143.6282682968153
CZĘSTOCHOWSKI,109194.21003616277,66542.30901726383,22301.029404937883,5706.161692495753,2458.1738939212805,2818.9530849624352,330.55174534135244,2878.432897568187,4106.057226059708,2052.541073612343
IŁŻECKI,75675.7218453882,64967.192965884286,6126.538459846939,1337.8315240222457,422.2255374600667,702.2275523799326,49.01243430575018,597.245196378625,496.44930514031813,976.9988699700417
JĘDRZEJOWSKI,52814.98209492767,45178.09666136498,2529.480873700908,1529.809351121041,682.2192726791402,661.391166797252,26.052860378007022,900.4013473144978,718.3602336871589,589.1703278846893
