District,Total population
AUGUSTOWSKI,62384.0
BIAŁOSTOCKI,184146.376503375
BIELSKI (BIELSK PODLASKI),147095.0
GRODZIEŃSKI,149375.99751324012
ŁOMŻYŃSKI,137981.80653776243
OSTROŁĘCKI,101375.19346223757
OSTROWSKI (OSTRÓW MAZOWIECKA),94457.0
SOKÓLSKI,90226.91427124549
SUWALSKI,90116.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),58178.0
WOŁKOWYSKI,115261.0
WYSOKOMAZOWIECKI,70975.0
BIAŁYSTOK (MIASTO),2644.7092253795304
BĘDZIŃSKI,124173.80134152147
CZĘSTOCHOWSKI,229038.23176349804
IŁŻECKI,138190.70038674763
JĘDRZEJOWSKI,100377.48237287684
KIELECKI,179866.0
KONECKI,145521.82052986795
KOZIENICKI,124257.0
MIECHOWSKI,149299.51762712316
OLKUSKI,136239.0
OPATOWSKI,162600.0
OPOCZYŃSKI,122005.17947013203
PIŃCZOWSKI,120401.99999594325
RADOMSKI,188917.55769795956
SANDOMIERSKI,111863.0
STOPNICKI,140624.00000405675
WŁOSZCZOWSKI,90723.0
ZAWIERCIAŃSKI,253967.04131564315
CZĘSTOCHOWA (MIASTO),5853.768249995775
SOSNOWIEC,8291.157329341539
RADOM (MIASTO),3492.188087457289
BIALSKI (BIAŁA KRAKOWSKA),105791.72743131619
BOCHEŃSKI,108375.0
BRZESKI (BRZESKO),96197.0
CHRZANOWSKI,116668.0
DĄBROWSKI,63717.0
GORLICKI,93000.91139677743
JASIELSKI,104436.5135452838
KRAKOWSKI,133320.72380762955
KRAKÓW (MIASTO),183706.0
LIMANOWSKI,78126.0
MIELECKI,72840.0
MYŚLENICKI,103663.266248197
NOWOSĄDECKI,158121.25613345008
NOWOTARSKI,102527.02771957529
TARNOWSKI,118055.83246977247
WADOWICKI,141272.68469460332
ŻYWIECKI,108899.57009867865
DĘBICKI,104091.4864547162
BIALSKI (BIAŁA PODLASKA),93718.90630587064
BIŁGORAJSKI,91016.0
CHEŁMSKI,121475.0
GARWOLIŃSKI,137777.0
HRUBIESZOWSKI,103905.51754115705
JANOWSKI,131502.0
KRASNOSTAWSKI,117080.0
LUBARTOWSKI,96243.0
LUBELSKI,139900.00039931742
ŁUKOWSKI,123273.0
PUŁAWSKI,149021.0
RADZYŃSKI,88381.0
SIEDLECKI,129005.21303632359
SOKOŁOWSKI,76392.88065725988
TOMASZOWSKI,92642.03347355057
WĘGROWSKI,82771.99999735491
WŁODAWSKI,76718.0
ZAMOJSKI,142716.44898529237
LUBLIN (MIASTO),94411.99960068258
BÓBRECKI,83281.0
BRZOZOWSKI,79107.0
DOBROMILSKI,86574.56021798226
DROHOBYCKI,167991.7666219479
GRÓDECKI,72258.00008274493
JAROSŁAWSKI,137727.0003434904
JAWOROWSKI,78140.21859163026
KOLBUSZOWSKI,67082.0
KROŚNIEŃSKI,104288.05444626992
LESKI,92576.0
LWOWSKI,149551.0
LWÓW (MIASTO),219388.0
ŁAŃCUCKI,89142.0
MOŚCISKI,84076.0
NIŻAŃSKI,60925.0
PRZEMYSKI,146596.0
PRZEWORSKI,57628.0
RAWSKI (RAWA RUSKA),106607.0
RUDECKI,73463.0
RZESZOWSKI,175550.94555373007
SAMBORSKI,138410.67316006985
SANOCKI,102167.0
SOKALSKI,98590.36275820811
TARNOBRZESKI,71492.0
ŻÓŁKIEWSKI,90560.99999942239
LUBACZOWSKI,84058.78098213441
TURCZAŃSKI,76645.0
BRZEZIŃSKI,125529.0
ŁASKI,149404.0
ŁĘCZYCKI,122422.0
ŁÓDZKI,109634.0
ŁÓDŹ (MIASTO),451974.0
PIOTRKOWSKI,197285.00001288086
RADOMSZCZAŃSKI,169846.99998711914
SIERADZKI,156362.2195911502
WIELUŃSKI,181361.0
POŁUDNIOWO-WARSZAWSKI,54216.25618471563
PÓŁNOCNO-WARSZAWSKI,52346.13704459818
PRASKO-WARSZAWSKI,60264.650032786405
ŚRÓDMIEJSKO-WARSZAWSKI,14797.95673789977
BARANOWICKI,123374.33817520124
BRASŁAWSKI,134491.2727759099
LIDZKI,108153.42074135774
NIEŚWIESKI,91151.80365159441
NOWOGRÓDZKI,128796.1615405963
SŁONIMSKI,79147.2650356468
STOŁPECKI,148195.7539930192
WOŁOŻYŃSKI,28523.207724524324
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),69959.86782293441
BRZESKI (BRZEŚĆ N.BUG.),116772.99972249981
DROHICKI,63060.30562924475
KOBRYŃSKI,76321.53629126184
KOSZYRSKI,66793.91491024732
ŁUNINIECKI,105976.6336497146
PIŃSKI,105885.23803132269
PRUŻAŃSKI,64393.000128642416
STOLIŃSKI,104803.64154347844
IWACEWICKI,48853.0
BRODNICKI,63945.64862592716
CHEŁMIŃSKI,46393.469078164715
CHOJNICKI,70537.73625339747
GRUDZIĄDZ (MIASTO),33516.0
GRUDZIĄDZKI,43055.02512771835
KARTUSKI,63211.02306176318
KOŚCIERSKI,49456.99369671096
LUBAWSKI,58495.0
SĘPOLEŃSKI,27876.0
STAROGARDZKI,70244.56430074421
ŚWIECKI,85653.54247508358
TCZEWSKI,53734.7928813164
TORUŃ (MIASTO),40523.645606976104
TORUŃSKI,53152.88531485917
TUCHOLSKI,35633.34733098421
WĄBRZESKI,44794.32624635449
MORSKI,67999.83108334258
GDYNIA (MIASTO),3692.168916657416
BYDGOSKI,52597.2625030077
BYDGOSZCZ (MIASTO),87665.7374969923
INOWROCŁAWSKI,72763.29929305226
INOWROCŁAW (MIASTO),2631.7007069477368
SZUBIŃSKI,46089.0
WYRZYSKI,62531.0
LIPNOWSKI,93417.99999939265
NIESZAWSKI,101987.0
RYPIŃSKI,77421.82563920184
WŁOCŁAWSKI,124821.0
CHODZIESKI,41742.0
CZARNKOWSKI,35586.0
GNIEŹNIEŃSKI,85094.19688814114
GOSTYŃSKI,55128.09592598762
JAROCIŃSKI,86089.57905310983
KĘPIŃSKI,92752.0
KOŚCIAŃSKI,83377.9546641156
KROTOSZYŃSKI,76609.36003683193
LESZCZYŃSKI,55343.238855422904
MIĘDZYCHODZKI,30131.0
MOGILEŃSKI,88811.00000047164
NOWOTOMYSKI,86045.0
OBORNICKI,57192.62661488894
OSTROWSKI (OSTRÓW WIELKOPOLSKI),95054.62932674409
POZNAŃ (MIASTO),169422.0
RAWICKI,49746.395906606616
SZAMOTULSKI,66056.0
ŚREDZKI,49812.000001295666
ŚREMSKI,58147.74623085553
WĄGROWIECKI,54377.89346133149
WOLSZTYŃSKI,48661.0
WRZESIŃSKI,43115.587252851416
ŻNIŃSKI,41062.999998572
POZNAŃSKI,92782.2850354127
GNIEZNO (MIASTO),1446.4107473609195
KALISKI,179110.29437480913
KOLSKI,115508.0
KONIŃSKI,191921.0
TURECKI,102411.48603404069
DOLIŃSKI,97851.55721384876
HORODEŃSKI,83670.0
KAŁUSKI,85039.99548332585
KOŁOMYJSKI,163166.02605739492
KOSOWSKI (KOSÓW HUCULSKI),77221.0
NADWÓRNIAŃSKI,112887.56184129912
ROHATYŃSKI,109534.0
STANISŁAWOWSKI,159936.13711152013
STRYJSKI,129029.46674669068
ŚNIATYŃSKI,79224.0
TŁUMACKI,102817.67870420295
ŻYDACZOWSKI,72162.97603946055
BIELSKI (BIELSKO),0.0
BIELSKO (MIASTO),0.0
CIESZYŃSKI,0.0
TARNOGÓRSKI,0.0
KATOWICE (MIASTO),0.0
KATOWICKI,0.0
LUBLINIECKI,0.0
PSZCZYŃSKI,0.0
RYBNICKI,0.0
ŚWIĘTOCHŁOWICKI,0.0
CHORZÓW,0.0
BORSZCZOWSKI,93485.7576971921
BRODZKI,78483.14040077725
BRZEŻAŃSKI,89199.96044344746
BUCZACKI,116660.0
CZORTKOWSKI,72128.1902958663
KAMIONECKI,68840.15889986015
PODHAJECKI,79870.04855575542
PRZEMYŚLAŃSKI,79599.0
RADZIECHOWSKI,68508.0
SKAŁACKI,82921.86501657419
TARNOPOLSKI,129755.28554818471
TREMBOWELSKI,80690.1519549835
ZALESZCZYCKI,65254.37649036427
ZBARASKI,65390.0
ZBOROWSKI,68313.85959922275
ZŁOCZOWSKI,107963.47834250935
KOPYCZYNIECKI,81632.96479988906
BŁOŃSKI,115594.0
CIECHANOWSKI,68398.0
GOSTYNIŃSKI,84815.0
GRÓJECKI,127136.55382783555
KUTNOWSKI,99403.0
ŁOWICKI,94795.99999997306
MAKOWSKI (MAKÓW MAZOWIECKI),58303.0
MIŃSKI,95897.00000264509
MŁAWSKI,88860.0
PŁOCKI,109751.0
PŁOŃSKI,74426.0
PRZASNYCKI,56312.0
PUŁTUSKI,106511.0
RADZYMIŃSKI,72609.0
RAWSKI (RAWA MAZOWIECKA),83487.0
SIERPECKI,69853.17436140552
SKIERNIEWICKI,63476.00000002692
SOCHACZEWSKI,63976.0
WARSZAWSKI,0.0
DZIAŁDOWSKI,23727.0
DUBIEŃSKI,180778.4310643459
HOROCHOWSKI,79381.03080549883
KOWELSKI,169708.0
KRZEMIENIECKI,221935.99991003834
LUBOMELSKI,56264.0
ŁUCKI,211024.41640935116
RÓWIEŃSKI,149405.50900513073
