District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,539.0,15500.0,2765.0,10148.0,7604.0
BIAŁOSTOCKI,1086.5723841003849,26809.07999373498,3835.205307825019,14167.676811455616,10178.718712089387
BIELSKI (BIELSK PODLASKI),2121.0,26826.0,8711.0,21198.0,15488.0
GRODZIEŃSKI,3122.694390427871,62501.5473731808,6285.10508470856,22712.761265830697,16982.69152746528
ŁOMŻYŃSKI,4562.387718809916,28613.62631780874,4003.2740501044027,14267.360340922492,13715.224622653539
OSTROŁĘCKI,3002.612281190084,29775.37368219126,2742.7259498955973,8651.639659077508,12802.775377346461
OSTROWSKI (OSTRÓW MAZOWIECKA),2716.0,21682.0,2093.0,12090.0,7537.0
SOKÓLSKI,433.821687424893,29235.983211528273,5510.734937265979,14855.893821448755,11836.135024880548
SUWALSKI,765.0,32705.0,3936.0,16408.0,15862.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1594.0,12014.0,1970.0,7040.0,6589.0
WOŁKOWYSKI,1291.0,48012.0,7539.0,22482.0,13607.0
WYSOKOMAZOWIECKI,2883.0,18972.0,3265.0,14868.0,9882.0
BIAŁYSTOK (MIASTO),15.605928474722052,384.93679473674666,55.059754909001214,203.4293670956282,146.14626303006497
BĘDZIŃSKI,847.3581746273396,6672.50379072306,1659.6909260334505,3325.80853522676,5790.120192874491
CZĘSTOCHOWSKI,2904.760027607972,25708.930140196047,6601.284117764304,14674.937366630009,20144.154887655317
IŁŻECKI,4126.350470444174,31076.161554280665,10451.67921722667,18441.641523675822,17112.64235874248
JĘDRZEJOWSKI,8645.682686414933,22715.790405002946,9578.570309166873,12139.285294724214,14289.708880784538
KIELECKI,3039.0,25579.0,5262.0,11322.0,13286.0
KONECKI,1623.876500255224,15936.260681574327,3822.0288287484796,8514.870103913967,10329.45174528937
KOZIENICKI,1571.0,28714.0,7457.0,15629.0,11064.0
MIECHOWSKI,14507.317313585067,17335.209594997054,14220.429690833125,16045.714705275786,12021.291119215462
OLKUSKI,1967.0,13616.0,9531.0,12943.0,13220.0
OPATOWSKI,7142.0,21629.0,13898.0,19423.0,12440.0
OPOCZYŃSKI,2992.123499744776,28518.739318425673,4749.97117125152,13125.129896086033,14975.54825471063
PIŃCZOWSKI,7495.999999747434,17407.999999413467,8492.999999713842,9687.999999673579,10602.999999642749
RADOMSKI,5434.92371543042,35601.9243705841,8083.533439823465,20197.60240050611,18011.913402279108
