District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
AUGUSTOWSKI,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁOSTOCKI,0.0,0.0,18.732575701549163,0.986249398872052,9.858385404040636,0.0,0.0,0.0,28.590961105589795,0.986249398872052,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
GRODZIEŃSKI,0.0,0.0,3.9716303852818706,2.978722788961403,4.964537981602338,0.0,0.0,0.0,8.936168366884209,2.978722788961403,0.0,0.0,0.0,0.0,0.0,0.0
ŁOMŻYŃSKI,0.0,0.0,5.567374741387495,2.0,0.0,0.0,0.0,0.0,5.567374741387495,2.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROŁĘCKI,0.0,0.0,4.432625258612505,0.0,0.0,0.0,0.0,0.0,4.432625258612505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKÓLSKI,0.0,0.0,3.998356566128046,0.9995891415320115,0.0,0.0,0.0,0.0,3.998356566128046,0.9995891415320115,0.0,0.0,0.0,0.0,0.0,0.0
SUWALSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WOŁKOWYSKI,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.269067732322794,0.014161459595936527,0.14161459595936526,0.0,0.0,0.0,0.4106823282821593,0.014161459595936527,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,0.32133415799292364,0.0,27.634737587391434,0.32133415799292364,0.6426683159858473,0.0,0.0,0.0,28.598740061370204,0.32133415799292364,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWSKI,3.4919017927923e-11,0.0,21.451735687913942,5.850473368646985,1.9501577896071933,0.9750788947686776,0.0,0.0,23.401893477556055,6.825552263415662,0.0,0.0,0.0,0.0,0.0,0.0
IŁŻECKI,0.0,0.0,2.004914729639564,0.01965891855825596,1.413067307316745e-18,0.0,0.0,0.0,2.004914729639564,0.01965891855825596,0.0,0.0,0.0,0.0,0.0,0.0
JĘDRZEJOWSKI,0.0,0.0,2.0011746750668227,1.0,1.0,0.0,0.0,0.0,3.0011746750668227,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KIELECKI,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
KONECKI,0.0,0.0,4.004616267549975,0.0,0.0,0.0,0.0,0.0,4.004616267549975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOZIENICKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIECHOWSKI,0.0,0.0,2.998825324933177,0.0,0.0,0.0,0.0,0.0,2.998825324933177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLKUSKI,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OPATOWSKI,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPOCZYŃSKI,0.0,0.0,0.9953837324500252,0.0,0.0,0.0,0.0,0.0,0.9953837324500252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIŃCZOWSKI,0.0,0.0,0.0,0.0,3.9999999998652265,0.0,0.0,0.0,3.9999999998652265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOMSKI,0.0,0.0,0.976626004569707,3.906504018278828,0.0,0.0,0.0,0.0,0.976626004569707,3.906504018278828,0.0,0.0,0.0,0.0,0.0,0.0
SANDOMIERSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOPNICKI,0.0,0.0,0.0,0.0,1.347735371844003e-10,0.0,0.0,0.0,1.347735371844003e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁOSZCZOWSKI,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAWIERCIAŃSKI,0.6572101723347009,0.0,56.52007482078428,0.6572101723347009,1.3144203446694018,0.0,0.0,0.0,58.49170533778838,0.6572101723347009,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.5482643150890921,0.1495266313879342,0.04984221046264474,0.02492110523132237,0.0,0.0,0.5981065255517368,0.17444773661925658,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.021455669637456366,0.0,1.8451875888212474,0.021455669637456366,0.04291133927491273,0.0,0.0,0.0,1.9095545977336166,0.021455669637456366,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.018053174837841846,0.07221269935136738,0.0,0.0,0.0,0.0,0.018053174837841846,0.07221269935136738,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),0.0,0.0,20.32412416512706,10.949749761464874,1.474874880732437,0.0,5.0,0.0,26.798999045859496,10.949749761464874,0.0,0.0,0.0,0.0,20.0,0.0
BOCHEŃSKI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0
BRZESKI (BRZESKO),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
CHRZANOWSKI,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0
DĄBROWSKI,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GORLICKI,0.0,0.0,2.722858129489806,0.0,0.0,0.0,0.0,0.0,2.722858129489806,0.0,0.0,0.0,0.0,0.0,33.06000690642864,0.0
