District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIR.1,Kategoria VIIPR.1
AUGUSTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,28.0,3.0,222.0,48.0
BIAŁOSTOCKI,0.9858385404040635,0.0,3.943354161616254,0.0,14.787578106060952,0.0,69.99453636868851,0.0,72.95246284836868,3.943354161616254,59.157297018199614,4.929192702020318,175.51952432178615,2.9595699135521327,1405.9384659013547,81.83528117370497
BIELSKI (BIELSK PODLASKI),0.0,1.0,2.0,0.0,2.0,0.0,12.0,1.0,16.0,0.0,19.0,5.0,72.0,4.0,691.0,99.0
GRODZIEŃSKI,0.0,0.0,0.9929075963204677,0.0,1.9858151926409353,0.9929075963204677,27.801412696973095,0.0,20.85105952272982,0.0,32.765950678575436,0.9929075963204677,68.51062414611226,4.964537981602338,1342.4110702252722,160.85103060391577
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,1.0,0.0,6.567374741387495,0.0,11.836873706937478,0.0,20.836873706937478,1.0,74.0496190519124,2.0,1023.0209193128986,86.37587163803744
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.43262525861250434,0.0,9.163126293062522,1.0,10.163126293062522,0.0,50.9503809480876,0.0,485.9790806871014,29.624128361962555
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,14.0,1.0,46.0,2.0,672.0,24.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995891415320115,0.0,16.993015406044197,0.0,97.95973587013712,4.997945707660057,322.8672927148397,25.9893176798323
SUWALSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,30.0,0.0,533.0,69.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,11.0,0.0,15.0,0.0,388.0,15.0
WOŁKOWYSKI,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,3.0,31.0,2.0,66.0,13.0,383.0,41.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,2.0,29.0,1.0,303.0,32.0
BIAŁYSTOK (MIASTO),0.014161459595936527,0.0,0.05664583838374611,0.0,0.2124218939390479,0.0,1.0054636313114935,0.0,1.047948010099303,0.05664583838374611,0.8496875757561916,0.07080729797968263,2.520739808076702,0.042484378787809585,20.194241383805487,1.1754011464627316
BĘDZIŃSKI,1.2853366319716946,0.0,2.570673263943389,0.0,3.2133415799292364,0.0,12.853366319716946,0.6426683159858473,24.421396007462196,0.9640024739787709,20.886720269540035,1.2853366319716946,42.094774697073,2.570673263943389,699.5444619505947,327.4395069947892
CZĘSTOCHOWSKI,8.775710053057775,0.0,4.87539447412274,0.0,11.700946737573322,0.0,41.9283924764499,6.9838035855846e-11,64.35520705738656,5.850473368716822,105.30852063728692,3.9003155792143867,222.31798801183288,15.601262316578193,1596.2041508123439,206.71672572654214
IŁŻECKI,0.0,0.0,2.0,0.0,2.0,0.0,5.132697700268228,1.413067307316745e-18,7.162186078105612,1.0,25.348945804409045,0.00982945927912798,86.90922498331933,2.034403107476948,404.8141251636042,34.26048067089689
JĘDRZEJOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0015662334224302,0.0,17.00665649204533,0.0,24.015270775868697,0.0,87.01996947613598,3.0,300.2157486539398,19.014096100801872
KIELECKI,0.0,0.0,1.0,0.0,3.0,0.0,17.0,1.0,28.0,1.0,38.0,2.0,48.0,0.0,1264.0,170.0
KONECKI,0.0,0.0,1.0,0.0,6.004616267549975,0.0,29.0184650701999,1.0,28.092325350999495,1.0046162675499748,45.04616267549975,1.0046162675499748,83.48470809274735,2.0092325350999496,947.6526237828909,34.198499504648915
KOZIENICKI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,37.0,0.0,158.0,7.0,818.0,75.0
MIECHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,3.9984337665775693,0.0,16.99334350795467,0.0,38.9847292241313,0.0,50.98003052386401,0.0,550.7842513460602,35.98590389919812
OLKUSKI,0.0,1.0,1.0,0.0,6.0,1.0,7.0,0.0,5.0,1.0,23.0,0.0,89.0,0.0,277.0,46.0
OPATOWSKI,2.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,20.0,0.0,34.0,3.0,97.0,1.0,802.0,64.0
OPOCZYŃSKI,0.0,0.0,0.0,0.0,0.9953837324500252,0.0,3.981534929800101,0.0,19.907674649000505,0.9953837324500252,9.953837324500252,0.9953837324500252,104.51529190725265,1.9907674649000504,356.347376217109,42.801500495351085
PIŃCZOWSKI,0.0,0.0,0.0,0.0,0.9999999999663066,0.0,1.9999999999326132,0.0,4.999999999831533,0.0,10.999999999629372,0.0,43.99999999851749,1.9999999999326132,686.9999999768527,75.9999999974393
RADOMSKI,0.0,0.0,0.0,0.0,0.0,0.0,26.36890212338209,0.0,32.228658150800335,0.0,69.3404463244492,1.953252009139414,180.6758108453958,6.83638203198795,1155.3485634059634,51.761178242194475
SANDOMIERSKI,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,28.0,0.0,124.0,1.0,476.0,46.0
STOPNICKI,0.0,0.0,0.0,0.0,3.369338429610008e-11,0.0,1.0000000000673868,0.0,16.000000000168466,0.0,63.000000000370626,1.0,80.0000000014825,2.000000000067387,241.00000002314735,53.0000000025607
WŁOSZCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,33.0,0.0,65.0,2.0,520.0,12.0
ZAWIERCIAŃSKI,2.6288406893388037,0.0,5.257681378677607,0.0,6.572101723347009,0.0,26.288406893388036,1.3144203446694018,49.94797309743727,1.9716305170041029,42.71866120175556,2.6288406893388037,86.09453257584582,5.257681378677607,1430.746545172644,669.6971656090602
CZĘSTOCHOWA (MIASTO),0.22428994708190134,0.0,0.12460552615661186,0.0,0.2990532627758684,0.0,1.071607524946862,0.0,1.6447929452672765,0.1495266313879342,2.691479364982816,0.09968442092528948,5.682011992741501,0.3987376837011579,40.79584926367472,5.283274309040342
SOSNOWIEC,0.08582267854982546,0.0,0.17164535709965092,0.0,0.21455669637456365,0.0,0.8582267854982546,0.04291133927491273,1.6306308924466837,0.0643670089123691,1.3946185264346638,0.08582267854982546,2.8106927225067837,0.17164535709965092,46.70899280074251,21.863327360568036
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.48743572062172985,0.0,0.5957547696487809,0.0,1.2817754134867712,0.03610634967568369,3.3398373450007415,0.1263722238648929,21.356905833166905,0.9568182664056178
BIALSKI (BIAŁA KRAKOWSKA),0.47487488073243694,0.0,7.474874880732437,0.0,10.474874880732436,0.0,48.37437440366219,0.0,34.74874880732437,0.0,42.74874880732437,0.0,108.72112130270554,3.0,1064.5077096875636,32.59799809171899
BOCHEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,8.0,1.0,30.0,1.0,409.0,17.0
BRZESKI (BRZESKO),2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,8.0,0.0,8.0,0.0,283.0,6.0
CHRZANOWSKI,5.0,0.0,3.0,0.0,5.0,0.0,22.0,0.0,49.0,2.0,21.0,0.0,56.0,1.0,1009.0,30.0
