District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,660.0,18720.0,2800.0,10100.0,7600.0
BIAŁOSTOCKI,1163.4825811567493,28857.686171089,4182.1740470403665,15582.411815404032,11637.948335924208
BIELSKI (BIELSK PODLASKI),2120.0,31160.0,8600.0,18500.0,14600.0
GRODZIEŃSKI,3117.7298524462685,67537.57470171821,6652.480895347133,25219.85294653988,19262.407368617074
ŁOMŻYŃSKI,4756.593168121865,32570.546545838544,3948.22443105249,14341.835612128718,14222.685301793714
OSTROŁĘCKI,3553.4068318781347,30189.453454161456,2251.77556894751,8458.164387871282,12777.314698206286
OSTROWSKI (OSTRÓW MAZOWIECKA),2700.0,21900.0,2100.0,12100.0,7500.0
SOKÓLSKI,469.8068965200454,29317.949521133898,5397.781364272862,14993.837122980172,12294.946440843742
SUWALSKI,800.0,32550.0,3800.0,16500.0,17500.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1730.0,13970.0,2000.0,7100.0,6600.0
WOŁKOWYSKI,1330.0,48530.0,8000.0,22200.0,14400.0
WYSOKOMAZOWIECKI,2870.0,20570.0,3300.0,13500.0,9800.0
BIAŁYSTOK (MIASTO),16.7105223232051,414.3643077771028,60.04458868677087,223.75106161579714,167.10522323205103
BĘDZIŃSKI,870.8155681608231,7371.405584357668,1703.0710373624952,3438.2754905242828,6137.482417664842
CZĘSTOCHOWSKI,3208.0095638835796,28833.08291911084,6581.782539873645,14528.675532426929,20281.64101185545
IŁŻECKI,4216.14636168248,33510.075693993625,10641.283728972337,18595.837227971497,17490.922498331933
JĘDRZEJOWSKI,9275.744161076764,25496.77395955201,9725.481816978507,12506.343245360842,15204.855323609534
KIELECKI,4050.0,29340.0,5310.0,10800.0,13700.0
KONECKI,1613.387175894927,17171.627088433226,3821.9272708623803,8460.47310490467,10773.398654044599
KOZIENICKI,1700.0,31710.0,7500.0,15400.0,11500.0
MIECHOWSKI,14664.255838923236,17293.226040447986,13994.518183021493,16193.656754639156,12395.144676390464
OLKUSKI,2030.0,17470.0,9590.0,12700.0,12600.0
OPATOWSKI,7300.0,24750.0,13800.0,19500.0,13200.0
OPOCZYŃSKI,2886.6128241050733,30538.372911566774,4728.07272913762,13039.52689509533,15826.601345955401
PIŃCZOWSKI,7149.999999759092,17179.999999421147,8329.999999719334,9799.999999669804,10799.999999636111
RADOMSKI,5195.650344310841,35783.57680743407,8203.658438385539,19044.207089109288,18067.58108453958
SANDOMIERSKI,7340.0,16340.0,9900.0,12700.0,9400.0
STOPNICKI,7000.000000240908,19900.000000578853,12800.000000280666,14800.000000330196,13500.000000363889
WŁOSZCZOWSKI,5970.0,14270.0,5700.0,7600.0,11500.0
ZAWIERCIAŃSKI,1781.0395670270395,15076.401353358038,3483.2139133739147,7032.1488439813,12552.714291592787
CZĘSTOCHOWA (MIASTO),81.99043621105059,736.9170816902025,168.217460311426,371.3244679467033,518.3589888115052
SOSNOWIEC,58.14486471750675,492.19306148324904,113.71504907851873,229.5756651207831,409.80329007541656
