District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,8909.0,172782.0,36140.0,90660.0,488400.0
BIAŁOSTOCKI,17643.37471038472,350185.5725512859,48707.45578568085,209884.5869417471,1311285.2803080243
BIELSKI (BIELSK PODLASKI),24562.0,376850.0,105320.0,211680.0,1422400.0
GRODZIEŃSKI,38030.34675426655,610888.3844513603,87723.38613491332,129336.14349670411,1830325.86305715
ŁOMŻYŃSKI,52487.7937325853,337087.49088791956,40471.74004678763,202233.77869483765,2000778.747639276
OSTROŁĘCKI,43141.2062674147,337026.50911208044,34308.25995321237,103696.22130516234,1596821.252360724
OSTROWSKI (OSTRÓW MAZOWIECKA),33210.0,205240.0,25530.0,134320.0,444200.0
SOKÓLSKI,6763.22013160559,378836.2879275001,84265.36463114856,190811.57122704567,1731088.4753051375
SUWALSKI,9840.0,354590.0,51000.0,165330.0,2246400.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),21641.0,175489.0,27000.0,80820.0,785300.0
WOŁKOWYSKI,14163.0,447738.0,83120.0,97260.0,1428800.0
WYSOKOMAZOWIECKI,37613.0,250250.0,43180.0,123030.0,829100.0
BIAŁYSTOK (MIASTO),253.40515800968822,5028.139521214031,699.1795831705782,3013.8418312072117,18826.244386838018
BĘDZIŃSKI,11058.715047326466,89226.78365484306,29231.768352616262,48968.112336541635,516319.72506302973
CZĘSTOCHOWSKI,42035.65115467943,325781.6593830695,95704.96860361706,229475.06710018188,1984383.0587998435
IŁŻECKI,67004.87129424483,399426.5753819505,173189.02984906922,271566.29089370073,1998837.3423782312
JĘDRZEJOWSKI,121619.5685334028,279690.3086187351,149961.76348942367,156339.71385043682,1262153.506891487
KIELECKI,42520.0,258044.0,63927.0,100260.0,1514700.0
KONECKI,18041.684812617335,165266.59800706958,34537.33038279255,81046.06959991831,758065.4869397463
KOZIENICKI,21490.0,328724.0,87080.0,209660.0,1105400.0
MIECHOWSKI,200577.4314665972,205019.69138126486,198522.23651057633,229030.28614956318,1413046.493108513
OLKUSKI,23295.0,174563.0,113794.0,190350.0,1355600.0
OPATOWSKI,93010.0,300600.0,211440.0,309810.0,2077500.0
OPOCZYŃSKI,26238.315187382665,316882.40199293045,53330.66961720745,165183.93040008168,1329434.5130602536
PIŃCZOWSKI,89769.99999697534,203716.9999931361,102740.9999965383,124839.99999579373,1432399.9999517377
RADOMSKI,55018.225967434446,318454.3010660718,83267.13314961322,199964.17443564752,1318933.4191713894
SANDOMIERSKI,88456.0,187558.0,124500.0,167310.0,1231300.0
STOPNICKI,82740.00000302466,231710.0000068639,145340.0000034617,209140.0000042063,1579500.0000482623
WŁOSZCZOWSKI,82006.0,186269.0,92430.0,132400.0,1016500.0
ZAWIERCIAŃSKI,22617.88808089873,182491.49181321042,59786.40937728774,100152.25816208507,1056005.3049073974
CZĘSTOCHOWA (MIASTO),1074.3488465223074,8326.340626626654,2446.031399559522,5864.932905139406,50716.94125626415
SOSNOWIEC,738.3968705730608,5957.724522250333,1951.8222669194056,3269.6294960519754,34474.96997346489
RADOM (MIASTO),1017.0256044898204,5886.707038424118,1539.2136866743958,3696.387548048118,24380.812618505413
BIALSKI (BIAŁA KRAKOWSKA),20253.481558420557,66028.66896506131,30158.433767818664,138351.2916989776,431648.6504674217
BOCHEŃSKI,39780.0,96440.0,35690.0,87400.0,715400.0
BRZESKI (BRZESKO),55404.0,87400.0,60228.0,101360.0,921500.0
CHRZANOWSKI,10258.0,70231.0,27840.0,69440.0,658000.0
DĄBROWSKI,44049.0,58125.0,25989.0,69410.0,592800.0
