District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR
AUGUSTOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,32.0,1.0,381.0,28.0
BIAŁOSTOCKI,0.0,0.0,3.943354161616254,0.0,10.844223944444698,0.0,33.51851037373816,0.9858385404040635,52.24985349988335,3.9437650200842422,25.636321493653526,1.972498797744104,104.51285447074234,3.944175878552231,1393.1652941567727,108.45661949082658
BIELSKI (BIELSK PODLASKI),1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,18.0,0.0,62.0,2.0,1030.0,85.0
GRODZIEŃSKI,0.0,0.0,0.0,0.0,0.9929075963204677,0.0,15.886521541127482,0.0,22.836874715370755,0.0,30.780135485934498,2.978722788961403,69.50353174243274,1.9858151926409353,1677.02093018527,171.7730141634409
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,1.0,0.0,4.567374741387495,0.0,11.702124224162487,1.0,18.538997931099964,0.0,55.780120086362416,4.134749482774991,1162.6166708645737,55.91486956913741
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.43262525861250434,0.0,6.297875775837513,0.0,13.461002068900035,0.0,38.219879913637584,1.8652505172250087,582.3833291354263,41.08513043086259
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,15.0,0.0,56.0,3.0,828.0,22.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995891415320115,0.9995891415320115,10.995480556852126,1.999178283064023,33.986030812088394,1.999178283064023,426.8245634341689,34.9856199536204
SUWALSKI,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,7.0,0.0,41.0,1.0,649.0,58.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,0.0,19.0,0.0,445.0,26.0
WOŁKOWYSKI,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,17.0,1.0,26.0,3.0,75.0,6.0,488.0,28.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,36.0,1.0,353.0,21.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.05664583838374611,0.0,0.1557760555553018,0.0,0.48148962626184194,0.014161459595936527,0.7505573585846359,0.05664583838374611,0.3681979494943497,0.028322919191873054,1.5011147171692718,0.05664583838374611,20.010142409058314,1.557760555553018
BĘDZIŃSKI,8.033353949823091,0.0,2.570673263943389,0.0,7.06935147584432,0.32133415799292364,13.817368793695717,0.0,20.565386111547113,0.0,20.24405195355419,0.9640024739787709,45.308116277002235,2.892007421936313,856.6768652091345,57.51881428073333
CZĘSTOCHOWSKI,7.800631159022396,0.0,0.9750788950480297,0.0,3.9003155798429288,0.9750788948035967,48.7539447399354,0.0,63.38012816219886,1.9501577895373552,71.18075932031336,5.850473368716822,179.41451664236027,12.67602563230708,1832.1732433634393,105.30852064126769
IŁŻECKI,0.0,0.0,1.413067307316745e-18,0.0,0.014744188918691968,0.0,5.147441889186919,0.0,7.1965891855825594,0.00982945927912798,26.255565941257327,6.019658918558256,101.69297687917852,0.03440310747694792,606.7895515154064,51.447240397200325
JĘDRZEJOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0007831167112151,0.0,13.005873375334113,0.0,17.010572075601406,4.000391558355608,65.0211441512028,2.000783116711215,336.16053892579913,20.004307141911685
KIELECKI,0.0,0.0,1.0,0.0,2.0,0.0,16.0,0.0,27.0,3.0,35.0,7.0,66.0,5.0,1277.0,47.0
KONECKI,0.0,0.0,1.0,0.0,2.0092325350999496,0.0,19.0184650701999,0.004616267549974778,32.092325350999495,0.0,33.23542964504871,1.0,78.62781238679656,3.0323138728498233,802.3450639153872,43.20773203974886
