District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Proso,Kukurydza,Mieszanki zbóż na ziarno (jęczmień i owies),Mieszanki zbóż na ziarno (inne),Groch,"Fasola, Bób, Soczewica","Peluszka, wyka, bobik",Łubin,Seradela,Koniczyna,Pozostałe pastawne oraz mieszanki,Ziemniaki,Buraki Cukrowe,Len,Konopie,Rzepak i rzepik ozimy i jary,Chmiel,Cykoria
AUGUSTOWSKI,1564.0,14500.0,3181.0,11125.0,774.0,0.0,0.0,61.0,90.0,1533.0,158.0,370.0,1481.0,121.0,960.0,404.0,6913.0,0.0,565.0,37.0,3.0,0.0,0.0
BIAŁOSTOCKI,3055.0,27591.0,5185.0,10128.0,798.0,21.0,1.0,328.0,169.0,3442.0,165.0,1490.0,4545.0,2181.0,2253.0,884.0,15525.0,0.0,1496.0,162.0,175.0,1.0,0.0
BIELSKI (BIELSK PODLASKI),6737.0,51043.0,6117.0,15366.0,1885.0,69.0,0.0,349.0,451.0,4915.0,97.0,3130.0,4646.0,2902.0,1404.0,727.0,17908.0,0.0,2147.0,120.0,126.0,1.0,0.0
GRODZIEŃSKI,3879.289978824067,47128.359059350994,9802.976698471977,14006.947461292837,2279.715841151794,8.936168366884209,5.957445577922806,245.24817629115552,155.88649262231343,3353.0489527742193,166.80847618183856,590.7800198106783,7180.707736589622,2296.595270289242,3137.588004372678,498.43961335287474,17054.180874400354,0.0,1207.3756371256886,147.9432318517497,35.744673467536835,0.0,0.0
ŁOMŻYŃSKI,6519.500580193614,43881.20653864487,3906.223623730675,14832.552974276385,1907.111892597519,210.6948281911367,1.0,274.8864927588499,326.68785508683715,3637.1459507972013,8.0,1678.0420000901604,3550.99092785898,2839.140592336533,1744.7582319872852,764.7723396602473,18945.659054156833,0.0,1038.6516978504346,763.7517432760749,200.70196275979936,0.0,0.0
OSTROŁĘCKI,4010.499419806386,33031.79346135513,3076.776376269325,6535.447025723615,2154.888107402481,649.3051718088633,0.0,170.11350724115013,223.31214491316283,3009.8540492027987,11.0,979.9579999098396,2710.00907214102,3100.859407663467,1297.2417680127148,376.2276603397527,17164.340945843167,229.0,1292.3483021495654,90.24825672392511,108.29803724020063,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),3267.0,25036.0,1996.0,4614.0,1445.0,104.0,0.0,324.0,281.0,1131.0,64.0,959.0,1882.0,2840.0,1666.0,180.0,8762.0,272.0,536.0,19.0,100.0,0.0,0.0
SOKÓLSKI,1094.0,33028.0,3708.0,13716.0,1116.0,10.0,4.0,108.0,98.0,2406.0,243.0,805.0,4351.0,1760.0,1406.0,562.0,10433.0,0.0,1217.0,112.0,98.0,0.0,0.0
SUWALSKI,1645.0,25735.0,4122.0,21684.0,750.0,1.0,0.0,151.0,142.0,3182.0,898.0,487.0,1256.0,516.0,2590.0,46.0,10046.0,0.0,1146.0,109.0,2.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),3134.0,18922.0,2646.0,8392.0,1315.0,63.0,0.0,475.0,219.0,2887.0,1.0,459.0,1714.0,878.0,824.0,120.0,8940.0,0.0,351.0,15.0,98.0,0.0,0.0
WOŁKOWYSKI,3927.0,57181.0,12480.0,20669.0,2910.0,3.0,0.0,193.0,361.0,2956.0,77.0,944.0,7096.0,3028.0,2655.0,310.0,21644.0,0.0,1512.0,288.0,21.0,0.0,0.0
WYSOKOMAZOWIECKI,6182.0,28494.0,3117.0,9191.0,47.0,17.0,0.0,502.0,544.0,1913.0,40.0,1996.0,2062.0,841.0,2689.0,613.0,9422.0,115.0,786.0,30.0,105.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,334.0,9074.0,1014.0,1218.0,2.0,0.0,0.0,84.0,55.0,1.0,0.0,31.0,549.0,74.0,183.0,123.0,6613.0,0.0,0.0,0.0,10.0,0.0,0.0
CZĘSTOCHOWSKI,978.0,41441.0,2345.0,6866.0,71.0,52.0,1.0,177.0,339.0,67.0,6.0,392.0,6901.0,3827.0,1133.0,268.0,20357.0,47.0,15.0,0.0,88.0,10.0,0.0
IŁŻECKI,3943.8739868091866,33621.57282108358,12119.655528468382,17733.197673368497,1891.6348850134113,434.0497372230007,0.0,428.575023367829,227.22607756341995,474.2535510213914,152.4226667490025,654.7106208778708,4621.765667440317,1982.3334163720865,3922.1495066323046,121.9141397129589,15038.739768445363,252.20150391522213,217.5972871328583,68.17201553738474,465.96097712618604,22.191674455942994,0.0
JĘDRZEJOWSKI,11026.643570619593,20217.44509057352,7154.363526314891,7804.177184577843,6.005090258622898,300.0830103713888,3.032890901871037,232.07948634618833,175.0775285544103,321.03915583556073,42.02427661804767,2421.797212812017,4161.171502559756,2261.138611657885,4667.571795319853,791.6977569896927,12689.750777528587,0.5928193503898793,11.01644545093552,2.010180517245797,137.0512941445846,1.0,0.0011746750668227461
KIELECKI,4177.0,27813.0,6508.0,6400.0,143.0,105.0,0.0,49.0,31.0,166.0,5.0,129.0,2107.0,619.0,1377.0,61.0,21863.0,0.0,213.0,23.0,10.0,0.0,0.0
KONECKI,903.3877581383042,25337.736107116612,2715.060568713846,4854.662388546006,110.00807638423903,126.72648406369056,0.03231387284982344,49.29544112319839,91.0923253509995,46.747835343095915,3.0738602807995963,136.15695309669914,2893.264832301012,1418.256190345183,320.5100933963254,45.28620858809844,17979.825080717543,0.0,143.42181040539222,2.0230813377498738,17.595498513946747,0.027697605299848667,0.0
KOZIENICKI,3014.0,34337.0,7925.0,11811.0,2892.0,620.0,0.0,179.0,96.0,141.0,59.0,382.0,5029.0,4463.0,1791.0,63.0,11719.0,978.0,207.0,32.0,121.0,35.0,0.0
MIECHOWSKI,16960.356429380405,19006.554909426475,11139.636473685108,13216.822815422156,12.9949097413771,211.91698962861116,83.96710909812896,202.92051365381164,197.92247144558968,99.96084416443924,61.97572338195233,2035.2027871879827,437.82849744024384,353.8613883421149,9118.428204680147,1781.3022430103072,12128.249222471411,1513.40718064961,41.98355454906448,25.9898194827542,130.9487058554154,0.0,2.998825324933177
OLKUSKI,3513.0,22085.0,7507.0,8554.0,172.0,0.0,1.0,276.0,117.0,48.0,3.0,725.0,2699.0,332.0,3444.0,127.0,15945.0,0.0,6.0,5.0,18.0,0.0,0.0
OPATOWSKI,10913.0,23015.0,11788.0,19220.0,239.0,503.0,0.0,218.0,184.0,470.0,40.0,1704.0,3034.0,1496.0,7226.0,1106.0,14972.0,1386.0,120.0,35.0,426.0,16.0,0.0
OPOCZYŃSKI,1808.6122418616958,38971.263892883384,4109.939431286154,9630.337611453993,432.991923615761,372.2735159363094,6.967686127150176,63.70455887680161,19.907674649000505,161.25216465690409,15.926139719200403,33.84304690330086,5447.735167698988,2642.743809654817,972.4899066036746,61.71379141190156,16134.174919282459,0.0,306.57818959460775,4.976918662250126,128.40450148605325,5.972302394700151,0.0
PIŃCZOWSKI,11609.999999608819,18930.99999936215,9682.999999673748,7570.999999744908,71.99999999757408,1077.9999999636786,6.999999999764146,186.99999999369933,211.999999992857,179.9999999939352,85.99999999710236,1948.9999999343315,461.99999998443366,123.99999999582202,5282.999999821998,1079.9999999636111,10509.999999645883,2997.9999998989874,2.99999999989892,7.999999999730453,125.99999999575464,10.999999999629372,43.99999999851749
RADOMSKI,2359.528427040412,46811.6376510352,9271.11066138023,14744.122790988868,1318.4451061691045,804.7398277654386,0.0,114.26524253465573,44.92479621020652,646.5264150251461,83.9898363929948,737.3526334501288,8696.854570693242,5630.2489163443615,2811.7062671561866,181.6524368499655,16838.98557079089,40.04166618735799,317.4034514851548,34.18191015993975,389.6737758233131,38.08841417821858,0.0
SANDOMIERSKI,8847.0,16122.0,8938.0,10399.0,74.0,1021.0,4.0,157.0,99.0,315.0,102.0,1387.0,1836.0,591.0,4396.0,293.0,11151.0,1125.0,36.0,45.0,155.0,16.0,0.0
STOPNICKI,9396.000000391181,26993.00000063785,9263.000000326254,10416.000000255093,43.00000000242592,1722.0000000363216,1.0000000002358538,299.00000000630064,205.000000007143,519.0000000060649,152.00000000289762,1202.0000000656685,3213.0000000155665,870.000000004178,4324.000000178002,271.0000000363889,15328.000000354117,330.00000010101274,2.00000000010108,4.000000000269547,78.00000000424536,3.7062722725710084e-10,1.4825089090284034e-09
