District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki Cukrowe
AUGUSTOWSKI,20051.0,165032.0,38275.0,136011.0,734875.0,0.0
BIAŁOSTOCKI,30222.0,293161.0,48971.0,97538.0,1624136.0,0.0
BIELSKI (BIELSK PODLASKI),56018.0,472296.0,52042.0,139111.0,1243657.0,0.0
GRODZIEŃSKI,33527.51080495323,446664.44674274395,103814.44664088282,131874.01531289922,2018958.4482061125,0.0
ŁOMŻYŃSKI,73093.8469038532,518859.3088896518,52428.453432599585,183078.84256367115,2005600.5144158874,0.0
OSTROŁĘCKI,44172.153096146794,346778.6911103482,40077.546567400415,102857.15743632885,1449175.4855841126,33860.0
OSTROWSKI (OSTRÓW MAZOWIECKA),33095.0,252185.0,20973.0,45435.0,789520.0,41285.0
SOKÓLSKI,13158.0,394514.0,42901.0,150015.0,1468990.0,0.0
SUWALSKI,17302.0,223648.0,40419.0,252489.0,997951.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),37010.0,201482.0,32658.0,110888.0,1073092.0,0.0
WOŁKOWYSKI,34879.0,495625.0,112602.0,151406.0,3560204.0,0.0
WYSOKOMAZOWIECKI,65564.0,301236.0,33984.0,106374.0,1015784.0,29025.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,4357.0,129460.0,14717.0,20045.0,615875.0,0.0
CZĘSTOCHOWSKI,12854.0,434815.0,25174.0,73392.0,2155519.0,10998.0
IŁŻECKI,58355.30167191054,413641.38173233677,181483.90885423077,305399.58921341604,2185982.5771746226,44793.016563791985
JĘDRZEJOWSKI,124900.97182500044,219865.09630936116,88701.35701181032,100172.02250969782,1124376.921942858,142.69561153407113
KIELECKI,42029.0,300461.0,72968.0,75191.0,2692098.0,0.0
KONECKI,9231.670980486473,249103.8199938324,24578.546207888325,45115.20414561547,1727820.2322980599,0.0
KOZIENICKI,32216.0,335983.0,110645.0,150836.0,1189162.0,152532.0
MIECHOWSKI,275641.0281749995,298934.90369063884,194931.64298818965,211947.97749030215,1638761.0780571417,364287.3043884659
OLKUSKI,59278.0,252635.0,90152.0,104370.0,1356164.0,0.0
OPATOWSKI,167194.0,333247.0,192995.0,377754.0,2113207.0,317660.0
OPOCZYŃSKI,22785.329019513527,471749.1800061676,50358.45379211167,145159.79585438452,1961592.7677019401,0.0
PIŃCZOWSKI,173841.99999414268,285218.99999039003,162086.99999453875,135861.99999542235,1130470.9999619105,646501.9999782172
RADOMSKI,29072.20290403104,517726.0476644794,112255.34621725127,178164.9053876471,2400183.41435864,5765.99993097955
SANDOMIERSKI,133566.0,210204.0,135495.0,162932.0,1678646.0,281528.0
