District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Ogółem R,Ogółem PR,Handel jarmarczny - hurt R,Handel jarmarczny - hurt PR,Handel jarmarczny - detal R,Handel jarmarczny - detal PR,Karty rejestracyjne R,Karty rejestracyjne PR
AUGUSTOWSKI,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,108.0,6.0
BIAŁOSTOCKI,8.872586343423597,1.9716858540941327,17.745172686847194,2.9575287811411988,9.858429270470664,1.9716858540941327,0.0,0.0,36.476188300741455,6.900900489329464,0.0,0.0,0.0,0.0,353.9176108098968,24.646073176176657
BIELSKI (BIELSK PODLASKI),0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,83.0,5.0
GRODZIEŃSKI,0.0,0.0,9.929075963204676,2.978722788961403,5.957445577922806,1.9858151926409353,10.921983559525144,0.0,26.808505100652628,4.964537981602338,0.0,0.0,0.0,0.0,247.23399148379644,55.60282539394619
ŁOMŻYŃSKI,0.0,0.0,10.567374741387496,0.0,3.0,0.0,1.0,0.0,14.567374741387496,0.0,0.0,0.0,0.0,0.0,120.47510974186224,4.702124224162487
OSTROŁĘCKI,0.0,0.0,1.4326252586125043,0.0,1.0,0.0,0.0,0.0,2.4326252586125046,0.0,0.0,0.0,0.0,0.0,73.52489025813776,1.297875775837513
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,7.0
SOKÓLSKI,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0
SUWALSKI,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,120.0,5.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,126.0,14.0
WOŁKOWYSKI,0.0,0.0,16.0,1.0,3.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,196.0,15.0
WYSOKOMAZOWIECKI,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
BIAŁYSTOK (MIASTO),0.1274136565764031,0.028314145905867356,0.2548273131528062,0.042471218858801035,0.14157072952933678,0.028314145905867356,0.0,0.0,0.5238116992585461,0.09909951067053574,0.0,0.0,0.0,0.0,5.08238919010319,0.35392682382334195
BĘDZIŃSKI,0.0,0.0,25.31003421479599,0.9374086746220738,6.561860722354517,0.0,30.934486262528434,2.8122260238662213,62.806381199678945,3.749634698488295,0.0,0.0,0.0,0.0,289.6592804582208,1.8748173492441476
CZĘSTOCHOWSKI,0.0,0.0,19.50157789537355,0.0,3.9003155790747104,0.0,10.725867842455454,0.9750788947686776,34.127761316903715,0.9750788947686776,0.0,0.0,0.0,0.0,223.29306690202716,2.9252366843060327
IŁŻECKI,0.0,0.0,3.04914729639564,1.009829459279128,0.014744188918691972,0.0,0.029488377837383933,0.004914729639563988,3.093379863151716,1.014744188918692,0.0,0.0,0.0,0.0,7.516046612154219,5.65226922926698e-18
JĘDRZEJOWSKI,0.0,0.0,3.001957791778038,0.0,1.0011746750668227,0.0,0.0,0.0,4.0031324668448605,0.0,0.0,0.0,0.0,0.0,38.02036103449159,1.0
KIELECKI,0.0,0.0,5.0,2.0,5.0,0.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,57.0,4.0
KONECKI,0.0,0.0,6.009232535099949,0.009232535099949556,0.0,0.0,3.0,1.0046162675499748,9.00923253509995,1.0138488026499244,0.0,0.0,0.0,0.0,89.0553952105997,3.0046162675499746
KOZIENICKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MIECHOWSKI,0.0,0.0,4.998042208221961,0.0,2.998825324933177,0.0,0.0,0.0,7.996867533155139,0.0,0.0,0.0,0.0,0.0,51.9796389655084,0.0
OLKUSKI,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,84.0,7.0
OPATOWSKI,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
OPOCZYŃSKI,0.0,0.0,1.9907674649000504,1.9907674649000504,0.0,0.0,0.0,0.9953837324500252,1.9907674649000504,2.9861511973500754,0.0,0.0,0.0,0.0,11.944604789400302,0.9953837324500252
PIŃCZOWSKI,0.0,0.0,4.999999999831533,0.0,3.9999999998652265,0.0,0.0,0.0,8.99999999969676,0.0,0.0,0.0,0.0,0.0,143.99999999514816,9.999999999663066
RADOMSKI,0.0,0.0,9.76626004569707,1.953252009139414,2.9298780137091214,0.0,5.859756027418243,0.976626004569707,18.555894086824434,2.9298780137091214,0.0,0.0,0.0,0.0,102.54573047981924,0.0
SANDOMIERSKI,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0
