District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR,R,PR
AUGUSTOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,18.0,3.0,306.0,13.0,338.0,16.0
BIAŁOSTOCKI,0.0,0.0,0.9858429270470663,0.9858429270470663,5.9150575622823975,2.9575287811411988,37.46203122778852,7.886743416376531,52.24967513349451,7.886743416376531,41.40540293597679,10.84427219751773,86.75417758014184,8.872586343423597,1605.9381281596711,128.1595805161186,1830.7103155264022,167.59329759800127
BIELSKI (BIELSK PODLASKI),0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,9.0,2.0,21.0,1.0,48.0,2.0,1015.0,50.0,1103.0,56.0
GRODZIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,14.893613944807015,0.0,28.794320293293563,2.978722788961403,30.780135485934498,1.9858151926409353,69.50353174243274,6.950353174243274,1199.432376355125,74.46806972403508,1343.4039778215927,86.38296087988068
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,1.0,0.0,6.134749482774991,0.0,8.567374741387496,0.0,23.673747413874956,3.5673747413874954,35.94324637942494,4.0,808.0564306918488,34.94324637942494,883.3755487093113,42.51062112081243
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,2.8652505172250087,0.0,2.4326252586125046,0.0,16.326252586125044,1.4326252586125043,24.05675362057506,1.0,507.94356930815115,18.05675362057506,553.6244512906887,20.489378879187566
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,1.0,19.0,21.0,18.0,0.0,487.0,24.0,539.0,46.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9.0,1.0,20.0,1.0,450.0,22.0,483.0,24.0
SUWALSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,10.0,0.0,36.0,1.0,408.0,24.0,462.0,25.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,16.0,0.0,11.0,1.0,428.0,25.0,458.0,27.0
WOŁKOWYSKI,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,14.0,0.0,33.0,9.0,81.0,10.0,525.0,22.0,658.0,42.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,15.0,1.0,474.0,10.0,502.0,15.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.014157072952933678,0.014157072952933678,0.08494243771760207,0.042471218858801035,0.5379687722114798,0.11325658362346942,0.7503248665054849,0.11325658362346942,0.5945970640232144,0.15572780248227044,1.2458224198581636,0.1274136565764031,23.061871840328962,1.840419483881378,26.28968447359784,2.406702401998725
BĘDZIŃSKI,18.748173492441474,0.0,5.624452047732443,0.0,14.99853879395318,0.0,37.49634698488295,0.9374086746220738,49.68265975496991,2.8122260238662213,55.30711180270235,4.6870433731103684,119.05090167700337,14.061130119331107,1532.6631830070905,161.23429203499668,1833.5713675607763,183.73210022592647
CZĘSTOCHOWSKI,7.800631158149421,0.0,0.9750788947686776,0.0,6.825552263380743,0.0,46.80378694889652,1.9501577895373552,72.15583821288214,3.9003155790747104,64.35520705473272,4.875394473843388,180.38959553220536,16.57634121106752,1267.602563199281,116.03438847747263,1646.9082532642965,143.33659753099562
IŁŻECKI,0.00491472963956399,0.0,1.413067307316745e-18,0.0,0.024573648197819948,0.0,3.1179535113495356,0.019658918558255953,9.152356618826484,0.014744188918691966,21.270310130176018,1.014744188918692,53.45706985647945,4.039317837116512,272.2807295160602,13.265395400536455,359.3079080107291,18.353860534048607
JĘDRZEJOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,3.0015662334224302,0.0,7.004307141911683,1.0003915583556076,17.010180517245796,0.0003915583556075821,48.01801168435795,1.0011746750668227,287.1472259417084,18.004307141911685,362.18129151864633,20.00626493368972
KIELECKI,1.0,0.0,1.0,0.0,4.0,0.0,23.0,1.0,33.0,1.0,35.0,3.0,89.0,5.0,840.0,91.0,1026.0,101.0
KONECKI,1.0,0.0,2.0,0.0,5.009232535099949,0.0,14.032313872849823,0.0,31.041546407949774,2.0,29.19388323709894,1.0092325350999496,75.27697605299849,3.0369301403997984,796.6895539232908,41.10617415364942,954.2435060292877,47.15233682914917
KOZIENICKI,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,18.0,0.0,43.0,2.0,528.0,19.0,597.0,21.0
MIECHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,3.9984337665775693,0.0,10.995692858088315,0.9996084416443923,25.9898194827542,0.9996084416443923,45.98198831564205,2.998825324933177,375.8527740582915,10.995692858088315,462.81870848135367,15.993735066310277
OLKUSKI,2.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,16.0,1.0,27.0,2.0,63.0,2.0,590.0,28.0,709.0,33.0
OPATOWSKI,1.0,0.0,1.0,0.0,8.0,3.0,3.0,2.0,8.0,2.0,24.0,3.0,98.0,6.0,532.0,39.0,675.0,55.0
OPOCZYŃSKI,0.0,0.0,0.0,0.0,1.9907674649000504,0.0,6.967686127150176,0.0,8.958453592050226,0.0,41.806116762901055,1.9907674649000504,59.723023947001515,7.963069859600202,364.31044607670924,22.89382584635058,483.75649397071226,32.84766317085083
PIŃCZOWSKI,0.9999999999663066,0.0,0.0,0.0,0.9999999999663066,0.0,1.9999999999326132,0.0,2.99999999989892,0.0,22.999999999225054,0.0,22.999999999225054,1.9999999999326132,494.9999999833218,28.999999999022894,547.999999981536,30.999999998955506
RADOMSKI,0.976626004569707,0.0,0.0,0.0,4.883130022848535,0.0,23.43902410967297,3.906504018278828,30.27540614166092,2.9298780137091214,53.71443025133389,2.9298780137091214,90.82621842498276,7.813008036557656,850.6412499802149,52.73780424676418,1054.7560849352835,70.31707232901891
SANDOMIERSKI,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,23.0,0.0,51.0,2.0,604.0,20.0,687.0,22.0
STOPNICKI,3.369338429610008e-11,0.0,0.0,0.0,3.369338429610008e-11,0.0,6.738676859220015e-11,0.0,5.00000000010108,1.0,15.000000000774948,0.0,60.000000000774946,3.000000000067387,474.0000000166782,44.00000000097711,554.000000018464,48.0000000010445
