District,Powierzchnia lasów (ha)
AUGUSTOWSKI,80122.0
BIAŁOSTOCKI,70765.0
BIELSKI (BIELSK PODLASKI),147695.0
GRODZIEŃSKI,117259.40845370556
ŁOMŻYŃSKI,52583.15727265837
OSTROŁĘCKI,46936.84272734163
OSTROWSKI (OSTRÓW MAZOWIECKA),38649.0
SOKÓLSKI,41912.0
SUWALSKI,42758.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),27067.0
WOŁKOWYSKI,76811.0
WYSOKOMAZOWIECKI,15220.0
BIAŁYSTOK (MIASTO),706.0
BĘDZIŃSKI,9091.0
CZĘSTOCHOWSKI,49507.0
IŁŻECKI,44312.99425417991
JĘDRZEJOWSKI,19554.03461729618
KIELECKI,66441.0
KONECKI,76456.02460299875
KOZIENICKI,47287.0
MIECHOWSKI,10299.965382703818
OLKUSKI,35482.0
OPATOWSKI,31276.0
OPOCZYŃSKI,43345.975397001246
PIŃCZOWSKI,10360.999999650903
RADOMSKI,22056.121687202263
SANDOMIERSKI,15335.0
STOPNICKI,21053.000000349097
WŁOSZCZOWSKI,45222.0
ZAWIERCIAŃSKI,24463.0
CZĘSTOCHOWA (MIASTO),19.0
SOSNOWIEC,60.0
RADOM (MIASTO),407.71290053782025
BIALSKI (BIAŁA KRAKOWSKA),13500.312928693185
BOCHEŃSKI,21753.0
BRZESKI (BRZESKO),15673.0
CHRZANOWSKI,26590.0
DĄBROWSKI,5850.0
GORLICKI,21308.816500704615
JASIELSKI,24094.37184950267
KRAKOWSKI,7466.81364254419
KRAKÓW (MIASTO),50.0
LIMANOWSKI,27981.0
MIELECKI,19110.0
MYŚLENICKI,24964.656419968498
NOWOSĄDECKI,45158.598169097524
NOWOTARSKI,49458.890833182275
TARNOWSKI,13481.585330197859
WADOWICKI,22500.828277450513
ŻYWIECKI,42023.49789816134
DĘBICKI,21947.628150497327
BIALSKI (BIAŁA PODLASKA),31635.778926903346
BIŁGORAJSKI,63464.0
CHEŁMSKI,24768.0
GARWOLIŃSKI,40353.0
HRUBIESZOWSKI,21808.229286030168
JANOWSKI,52747.0
KRASNOSTAWSKI,25609.0
LUBARTOWSKI,19593.0
LUBELSKI,20291.0
ŁUKOWSKI,27162.0
PUŁAWSKI,30700.0
RADZYŃSKI,29264.0
SIEDLECKI,25919.221072896955
SOKOŁOWSKI,18444.0
TOMASZOWSKI,28424.770713969836
WĘGROWSKI,22908.0
WŁODAWSKI,39654.0
ZAMOJSKI,55590.0
LUBLIN (MIASTO),0.0
BÓBRECKI,21063.0
