District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki Cukrowe
AUGUSTOWSKI,27424.0,106600.0,41548.0,136115.0,904811.0,0.0
BIAŁOSTOCKI,36234.0,328602.0,45737.0,113271.0,1307966.0,0.0
BIELSKI (BIELSK PODLASKI),122777.0,389849.0,65211.0,146859.0,2020464.0,0.0
GRODZIEŃSKI,51890.0,453286.0,86270.0,139648.0,1815672.0,0.0
ŁOMŻYŃSKI,137117.5766578392,543328.601204585,46101.53685797676,215699.2793460856,2848346.5816945788,8740.0
OSTROŁĘCKI,60200.42334216079,362612.398795415,31250.46314202324,86829.72065391441,2125986.4183054212,16866.0
OSTROWSKI (OSTRÓW MAZOWIECKA),51440.0,281996.0,17614.0,51640.0,1162519.0,12118.0
SOKÓLSKI,29760.0,285985.0,47248.0,149785.0,1255309.0,0.0
SUWALSKI,41676.0,201311.0,56420.0,359334.0,1229681.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),56331.0,162678.0,28816.0,84267.0,970761.0,0.0
WOŁKOWYSKI,46507.0,344032.0,92478.0,144701.0,2248782.0,0.0
WYSOKOMAZOWIECKI,84331.0,225337.0,34326.0,94003.0,1040374.0,19473.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,8741.0,96379.0,17788.0,14308.0,698600.0,0.0
CZĘSTOCHOWSKI,29674.0,521441.0,35705.0,125944.0,2592982.0,8515.0
IŁŻECKI,77372.38739082801,448121.97675019695,164481.77186340187,253795.3325291035,2005449.0513122645,21519.06041890873
JĘDRZEJOWSKI,217382.69150459327,298352.98452387255,101653.36028675034,107978.52887473207,1764346.5609078808,53.57692979778545
KIELECKI,52053.0,250011.0,45081.0,53974.0,2116448.0,0.0
KONECKI,19157.69168283535,315044.6142489945,28137.28996752778,60570.33108880515,1897431.1598735426,0.0
KOZIENICKI,49533.0,458431.0,97509.0,142303.0,1695417.0,54926.0
MIECHOWSKI,377041.3084954067,311414.0154761274,154093.63971324966,218346.4711252679,1811436.439092119,136776.4230702022
OLKUSKI,71127.0,292150.0,66302.0,94028.0,1700152.0,0.0
OPATOWSKI,245862.0,345197.0,170814.0,292488.0,2148753.0,254654.0
OPOCZYŃSKI,37452.30831716465,538117.3857510055,58065.71003247222,146049.66891119484,2261511.840126457,0.0
PIŃCZOWSKI,243412.0,258729.0,125655.0,123245.0,1282781.0,213020.0
RADOMSKI,59691.20580484146,658533.8608361576,128920.10783796449,176722.90064283359,2469827.5709719025,1403.004690003312
SANDOMIERSKI,180423.0,206459.0,121304.0,133273.0,1712169.0,182261.0
STOPNICKI,140094.0,261104.0,86544.0,120883.0,2166809.0,38176.0
WŁOSZCZOWSKI,109366.0,240582.0,40114.0,69640.0,1210680.0,0.0
ZAWIERCIAŃSKI,17597.0,189512.0,21025.0,24251.0,954556.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),1103.4068043305417,12173.162413645568,2383.120298633663,3266.766828062919,45655.37771583318,25.93489108795577
BIALSKI (BIAŁA KRAKOWSKA),20225.927214803116,84798.79509698642,7016.998033201946,86031.20262348437,764194.4674625134,3874.472473761136
BOCHEŃSKI,93091.0,115597.0,34814.0,61614.0,578921.0,0.0
BRZESKI (BRZESKO),93797.0,122285.0,40351.0,71146.0,1227994.0,2430.0
CHRZANOWSKI,16913.0,111030.0,9346.0,34609.0,620893.0,0.0
DĄBROWSKI,74741.0,104458.0,31347.0,54271.0,685588.0,10521.0
GORLICKI,85440.30213231209,91599.28063361708,38394.81735766775,110742.69014380751,664462.2577692546,0.0
JASIELSKI,110828.2039901687,130208.70398202883,51337.78663135911,90689.14459853576,1013729.0169612637,1700.0
KRAKOWSKI,143013.8523618212,215486.0668682743,33966.85667754708,111302.86963968619,1277828.3250525012,11705.71789367384
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,43396.0,49356.0,28502.0,72383.0,526693.0,0.0
MIELECKI,86666.0,157680.0,45862.0,94597.0,1048596.0,654.0
MYŚLENICKI,53517.44294302874,81849.58035817686,22121.02562758913,107924.12422241224,728364.2724331035,4.282106326160401
NOWOSĄDECKI,85931.17592635086,109134.92620748264,83821.95792799037,185556.8994914802,1457436.5377276612,0.0
NOWOTARSKI,4863.882946592699,45701.98248211913,81178.52319625719,313621.86020422686,1654769.7736592859,0.0
TARNOWSKI,109245.52194133707,149812.79315890028,49623.224714341886,94801.41036471227,986859.2045030842,7094.0
WADOWICKI,68457.52173619063,142966.3611369851,20757.364660762476,165038.8112496628,1200043.9291004937,12205.527526238864
ŻYWIECKI,16299.372797563625,56704.21405745818,28397.23180464218,125472.13206052751,779937.2322921023,0.0
DĘBICKI,102309.7960098313,165549.29601797115,49871.21336864089,94817.85540146424,1242229.9830387363,30543.0
BIALSKI (BIAŁA PODLASKA),64516.37219782116,357819.01925057796,29460.947478597383,146179.50985569472,1839596.3842044875,10325.843218615119
BIŁGORAJSKI,38298.0,155797.0,34483.0,83210.0,659286.0,0.0
CHEŁMSKI,197583.0,270652.0,116121.0,84789.0,1343420.0,119451.0
GARWOLIŃSKI,74715.0,440458.0,137185.0,144326.0,2509100.0,7236.0
HRUBIESZOWSKI,325914.0,162722.0,145669.0,175666.0,1227044.0,352098.0
JANOWSKI,104851.0,255474.0,109572.0,154502.0,1518447.0,69322.0
KRASNOSTAWSKI,300002.0,208996.0,128507.0,140754.0,1612230.0,261985.0
LUBARTOWSKI,63548.0,345450.0,35954.0,105929.0,1704614.0,37186.0
LUBELSKI,452519.0,427335.0,197131.0,264503.0,2416389.0,560298.0
ŁUKOWSKI,70442.0,374994.0,30833.0,163315.0,2026677.0,0.0
PUŁAWSKI,133731.0,333404.0,143864.0,120597.0,2017060.0,301597.0
RADZYŃSKI,91654.0,214010.0,20514.0,119048.0,1371928.0,32642.0
SIEDLECKI,61899.627801812676,372848.9807472577,30859.05252123322,146976.49014345498,2343448.615784721,7263.156781333605
SOKOŁOWSKI,86525.0,251337.0,46570.0,92651.0,1526185.0,41778.0
TOMASZOWSKI,254640.0,210727.0,141491.0,141450.0,1128312.0,286809.0
WĘGROWSKI,45632.0,185791.0,26633.0,80085.0,1405307.0,12409.0
WŁODAWSKI,73392.0,277600.0,27541.0,88742.0,1404800.0,15885.0
ZAMOJSKI,241365.0,225898.0,146895.0,175761.0,1471950.0,207126.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,112653.0,59469.0,37190.0,67311.0,938993.0,231120.0
BRZOZOWSKI,56875.0,102200.0,39813.0,52769.0,660548.0,8730.0
DOBROMILSKI,44613.136534598954,87836.83792211003,22615.7203139806,64484.166253626434,556055.6187348464,7328.000000000001
DROHOBYCKI,42212.454985200384,95938.7341202659,24067.028012213483,64805.702607481646,871348.8854435746,258.5467334148243
GRÓDECKI,54953.0,77456.0,23744.0,58604.0,768440.0,13556.0
JAROSŁAWSKI,112453.0,175780.0,42102.0,68144.0,724731.0,284619.0
JAWOROWSKI,48891.62021100468,171265.78635346983,32428.417416840228,88575.20936159784,931227.3189264743,1149.3456359803545
KOLBUSZOWSKI,21160.0,110626.0,25857.0,41568.0,725776.0,0.0
KROŚNIEŃSKI,74856.92783887836,116931.06015495464,40094.47319169087,79927.74960651758,789179.1420078936,4035.3036933526273
LESKI,14450.0,45555.0,14864.0,147295.0,537474.0,0.0
LWOWSKI,151859.0,135825.0,43539.0,140357.0,1178592.0,39048.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,78091.0,176838.0,34631.0,60279.0,768825.0,77828.0
MOŚCISKI,77250.0,125207.0,31925.0,51584.0,749501.0,6156.0
NIŻAŃSKI,24562.0,64182.0,19664.0,26435.0,675527.0,3856.0
PRZEMYSKI,116521.0,129798.0,36217.0,59487.0,982588.0,91741.0
PRZEWORSKI,83418.0,84062.0,18148.0,40543.0,425231.0,321375.0
RAWSKI (RAWA RUSKA),116201.0,126954.0,70645.0,73992.0,1037689.0,37860.0
RUDECKI,83987.0,72838.0,46505.0,53776.0,937675.0,30254.0
RZESZOWSKI,137812.07216112164,186834.93984504536,47636.52680830913,90619.25039348242,1097855.8579921064,25674.696306647373
SAMBORSKI,74310.40848020067,133194.42795762405,44615.25167380591,77768.13113889193,1100212.495821579,5483.453266585175
SANOCKI,54109.0,82215.0,39765.0,91985.0,754620.0,12212.0
SOKALSKI,237217.3102560283,167378.99749915727,106537.35794491308,109888.78737571076,1173733.487975564,75848.6619255425
TARNOBRZESKI,29642.0,86645.0,36207.0,41346.0,727704.0,32645.0
ŻÓŁKIEWSKI,102140.0,99718.0,38439.0,66459.0,659122.0,2412.0
LUBACZOWSKI,56005.37978899531,111688.21364653016,36444.58258315977,68978.79063840216,725816.6810735257,39.65436401964548
TURCZAŃSKI,1626.0,13987.0,2904.0,173855.0,448265.0,0.0
BRZEZIŃSKI,44162.0,393714.0,12315.0,101339.0,1858278.0,6739.0
ŁASKI,43205.0,480169.0,25372.0,113003.0,1902348.0,8896.0
ŁĘCZYCKI,167069.0,300514.0,45738.0,111041.0,1785548.0,382549.0
ŁÓDZKI,16194.0,263168.0,7094.0,76747.0,1355973.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,76628.0,635461.0,42976.0,164539.0,2825317.0,0.0
RADOMSZCZAŃSKI,51024.0,590834.0,51673.0,100812.0,3143622.0,1048.0
SIERADZKI,75015.89745482866,699013.8213212901,22785.427459533697,178144.99958710102,2796935.6032917756,41951.69488767884
WIELUŃSKI,45090.0,632426.0,21824.0,183501.0,3034528.0,80925.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,40910.0,281191.0,78032.0,166260.0,2019938.0,0.0
BRASŁAWSKI,24476.0,184853.0,68916.0,101580.0,1040634.0,0.0
LIDZKI,11734.0,317889.0,132498.0,211360.0,1569940.0,0.0
NIEŚWIESKI,37458.0,250594.0,65541.0,162121.0,1752432.0,0.0
NOWOGRÓDZKI,73194.276335467,301288.1919048185,97279.26508040693,181055.1798020489,1383704.842217271,0.0
SŁONIMSKI,32630.0,333572.0,49846.0,93544.0,1175310.0,0.0
STOŁPECKI,23523.723664532998,282269.8080951815,72780.73491959307,101294.82019795112,1297717.157782729,0.0
WOŁOŻYŃSKI,12950.0,134316.0,74173.0,112130.0,990738.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),8468.0,166995.0,71212.0,87184.0,901447.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),71376.00000036618,494496.00000216434,91484.0000001694,170218.0000008503,3011482.0000107912,5.127656127113345e-08
DROHICKI,24688.0,180918.0,28608.0,73568.0,1103231.0,0.0
KOBRYŃSKI,40570.0,312985.0,42831.0,87578.0,1281388.0,984.0
KOSZYRSKI,6592.0,174824.0,25508.0,43427.0,1001275.0,0.0
ŁUNINIECKI,4073.7163594734234,128989.9593159943,13610.401722335877,27521.04143540633,965600.2224246234,0.0
PIŃSKI,17993.283640526577,353886.0406840057,34208.598277664125,108291.95856459367,1258027.7775753764,0.0
PRUŻAŃSKI,12248.0,207643.0,37247.0,60519.0,1135457.0,1595.0
STOLIŃSKI,11353.0,113925.0,13163.0,26020.0,1009775.0,0.0
IWACEWICKI,4647.0,137945.0,28943.0,42665.0,1186616.0,0.0
BRODNICKI,64115.888733511725,442887.15735482494,84000.23477518253,43434.78177194892,1269820.1340036492,151574.92588606777
CHEŁMIŃSKI,189163.1344393915,179229.42693663543,99881.71306599602,54533.95903255724,867445.439746151,741267.98785998
CHOJNICKI,28309.84156031286,327373.046490071,32941.267201462506,72233.98314088886,1243811.9809149932,5854.372168476943
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,177311.70476934148,193406.754608537,95497.7574463316,66870.59343345615,745845.8166523239,446146.6286433382
KARTUSKI,6477.489219384777,146960.66511900883,16721.369950750646,102986.5038202049,1020591.3627108507,616.1585698644737
KOŚCIERSKI,11621.121152123082,176653.1962028483,14644.863297689211,70565.73873779694,866341.6099616506,13.851205573551523
LUBAWSKI,47012.0,322020.0,95777.0,74653.0,1275549.0,35502.0
SĘPOLEŃSKI,18586.0,154520.0,43806.0,57842.0,714219.0,21517.0
STAROGARDZKI,78783.62046530434,245009.38843062843,53997.475685658785,70845.77978273209,1022813.1320291513,149456.89055973486
ŚWIECKI,109559.57030597606,403808.2544692842,96409.72922791656,77742.02400329507,1926561.8389542098,243201.69249121065
TCZEWSKI,151737.76733203512,121486.4332583443,78140.12429641197,64702.330497687304,603885.1760806029,401889.81606354984
TORUŃ (MIASTO),3342.2704948669048,4131.000566719322,1805.3654396901647,819.2536498176418,16589.360316349008,16556.139876073605
TORUŃSKI,163354.5950657416,199862.57249664524,88151.9214943138,40346.787317625116,808137.1999375001,801863.8722639465
TUCHOLSKI,27738.58996486378,182080.01602981501,42446.17034011033,36841.640017394864,694759.8993485419,44444.21894158975
WĄBRZESKI,113975.4064971468,206905.08803663802,74564.00777848587,30217.62479459493,773539.0493440266,277518.44547059404
MORSKI,14952.0,140137.0,21857.0,80877.0,885266.0,2305.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSKI,109791.537743593,378867.2178597019,107045.72474291337,72780.53738823636,1302820.7979897414,185347.8751692838
BYDGOSZCZ (MIASTO),47.4622564070137,163.7821402981346,46.27525708664419,31.462611763649353,563.2020102586434,80.12483071622772
INOWROCŁAWSKI,235856.0,286765.0,177365.0,51829.0,1061607.0,1689511.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SZUBIŃSKI,61023.0,261041.0,76118.0,38888.0,1146260.0,289679.0
WYRZYSKI,125564.0,359700.0,111906.0,73350.0,1515509.0,263718.0
LIPNOWSKI,125256.0,500602.0,117248.0,82099.0,1262622.0,227528.0
NIESZAWSKI,254494.0,563743.0,154365.0,35569.0,2016375.0,777531.0
RYPIŃSKI,97357.25412212903,414149.4615815844,84478.31720014082,62609.31913099722,854378.8939336176,161521.72835210664
WŁOCŁAWSKI,162390.0,420550.0,91660.0,59201.0,1163840.0,754391.0
CHODZIESKI,23116.0,249880.0,46744.0,62996.0,1073485.0,24835.0
CZARNKOWSKI,16082.000000000002,167423.0,18839.000000000004,34935.0,740328.0,36613.00000000001
GNIEŹNIEŃSKI,113428.7849275683,414479.6723178364,91821.4494205005,88073.00101342425,1727805.7733839296,288198.3309025941
GOSTYŃSKI,177513.21833691667,171692.32592192967,74966.14812550785,114323.14801647977,1307364.174203816,732583.5671306668
JAROCIŃSKI,157153.58538535368,325933.2407277874,65011.02107589753,155064.91891898957,1915741.9646892152,486469.1965331657
KĘPIŃSKI,53082.0,398180.0,24261.0,152336.0,1860426.0,111656.0
KOŚCIAŃSKI,155566.43968392193,313401.67558051215,83426.6157231959,108271.256818378,2349283.714011104,478172.86313643306
KROTOSZYŃSKI,141517.35811903526,162374.7769644061,43150.23671204886,138102.05021272603,1356239.3248109403,467195.5471794137
LESZCZYŃSKI,82593.74077142276,212602.1075979235,37527.79267534241,85209.84210081503,1387333.329773154,357121.23299684125
MIĘDZYCHODZKI,34310.0,187555.0,22346.0,39044.0,871692.0,88185.0
MOGILEŃSKI,269023.0,515830.0,233036.0,87334.0,2161716.0,1253218.0
NOWOTOMYSKI,127375.0,342189.0,62584.0,74389.0,1781907.0,781922.0
OBORNICKI,77965.36838557465,336839.36972083966,59772.951694719995,81628.44715634536,1629724.6991974688,215872.2801649265
OSTROWSKI (OSTRÓW WIELKOPOLSKI),75530.33491710946,274143.2855137974,29915.86395707662,112996.76465673951,1529827.1755587314,83211.52540563077
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
