District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Orthodox,% Orthodox,Evangelical,% Evangelical,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
AUGUSTOWSKI,67821.0,0.90729221,35.0,0.000468221,840.0,0.011237308,322.0,0.004307635,4266.0,0.057069471,1356.0,0.018140226,111.0,0.00148493
BIAŁOSTOCKI,105685.0,0.754472508,116.0,0.00082811,21919.0,0.156477106,983.0,0.007017519,11005.0,0.078563372,75.0,0.000535416,295.0,0.00210597
BIELSKI (BIELSK PODLASKI),91215.0,0.450644731,328.0,0.001620473,91421.0,0.451662467,330.0,0.001630354,18502.0,0.091408527,430.0,0.002124401,184.0,0.000909046
GRODZIEŃSKI,89122.0,0.418206987,217.0,0.001018277,86988.0,0.408193144,489.0,0.002294643,35693.0,0.167490204,140.0,0.000656953,456.0,0.00213979
ŁOMŻYŃSKI,145230.0,0.86360582,84.0,0.000499503,211.0,0.001254705,1048.0,0.0062319,21451.0,0.127557725,45.0,0.000267591,98.0,0.000582754
OSTROŁĘCKI,103871.0,0.922584313,44.0,0.000390809,122.0,0.001083606,159.0,0.001412241,8122.0,0.072139767,177.0,0.001572118,92.0,0.000817146
OSTROWSKI (OSTRÓW MAZOWIECKA),85540.0,0.857621239,56.0,0.000561454,104.0,0.001042701,1559.0,0.015630483,12361.0,0.123930981,14.0,0.000140364,107.0,0.001072778
SOKÓLSKI,81030.0,0.785669268,63.0,0.00061085,13266.0,0.128627527,27.0,0.000261793,8528.0,0.082687739,8.0,7.75682e-05,213.0,0.002065254
SUWALSKI,87350.0,0.79319676,173.0,0.001570956,1346.0,0.012222585,7163.0,0.065044859,8133.0,0.073853111,5817.0,0.052822273,142.0,0.001289456
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),60763.0,0.890757165,39.0,0.000571722,161.0,0.002360185,135.0,0.001979037,6981.0,0.102338195,12.0,0.000175914,124.0,0.001817782
WOŁKOWYSKI,76373.0,0.445773287,169.0,0.000986418,80452.0,0.46958156,284.0,0.001657649,13283.0,0.077530103,613.0,0.003577953,153.0,0.000893029
WYSOKOMAZOWIECKI,78584.0,0.881945614,41.0,0.000460142,335.0,0.003759694,116.0,0.001301864,9875.0,0.110826796,4.0,4.48919e-05,148.0,0.001660999
BIAŁYSTOK (MIASTO),41493.0,0.455461521,126.0,0.00138308,7502.0,0.082348163,2633.0,0.028901988,39165.0,0.429907465,123.0,0.00135015,59.0,0.000647633
BĘDZIŃSKI,198211.0,0.856906316,101.0,0.000436643,365.0,0.001577969,312.0,0.001348839,31875.0,0.137802084,107.0,0.000462583,339.0,0.001465566
CZĘSTOCHOWSKI,174127.0,0.954298335,48.0,0.000263063,82.0,0.000449399,761.0,0.00417064,6927.0,0.037963237,80.0,0.000438438,441.0,0.002416889
IŁŻECKI,148145.44867528247,0.9279618706099199,61.33841907708339,0.0003841724254573173,105.3307277344224,0.0006596073011026497,669.1450064239124,0.0041930685655541785,11436.792497846505,0.07162922830347417,98.04614805596592,0.0006138877399749313,359.0379548970177,0.0022495067170411193
JĘDRZEJOWSKI,98771.5054347796,0.9099018452743914,21.012529867379442,0.00019357106080233622,38.026234409825705,0.0003502937205776798,27.014096100801872,0.0002488631931579043,9437.847020803623,0.08695050349743554,4.005090258622898,3.6888130879979146e-05,294.11433503983744,0.0027095936784019194
KIELECKI,190243.0,0.867513007,164.0,0.000747844,381.0,0.00173737,969.0,0.004418665,26895.0,0.122641897,30.0,0.000136801,615.0,0.002804416
KONECKI,156854.03346875453,0.8765789941338309,59.29544112319839,0.0003315524990840467,151.21696457484882,0.0008444182579332677,232.92728753416762,0.0013123364748976079,21880.872432887478,0.12220582613014469,3.0230813377498738,1.692033582266364e-05,595.1650294809382,0.003326219214106977
KOZIENICKI,125935.0,0.88000587,48.0,0.000335413,107.0,0.000747692,2606.0,0.01821015,14073.0,0.098339005,1.0,6.98778e-06,337.0,0.002354881
MIECHOWSKI,146805.4945652204,0.9497424827256085,31.987470132620555,0.00020693993919766374,66.97376559017428,0.0004332792794223202,35.98590389919812,0.00023280680684209566,7268.152979196377,0.04702054050256446,12.9949097413771,8.406916912002084e-05,291.88566496016256,0.0018883233215980808
OLKUSKI,140045.0,0.922994286,61.0,0.000402033,65.0,0.000428395,130.0,0.000856791,11234.0,0.0740399,6.0,3.95442e-05,188.0,0.001239051
OPATOWSKI,158886.0,0.851721014,77.0,0.000412765,93.0,0.000498534,71.0,0.000380601,24763.0,0.132744027,2254.0,0.012082746,403.0,0.002160313
OPOCZYŃSKI,119247.96653124547,0.9136095008661691,63.70455887680161,0.0004880675009159533,46.78303542515118,0.0003584247420667322,1278.0727124658324,0.009791859525102392,8813.127567112524,0.06752112686985531,4.976918662250126,3.813026417733636e-05,466.8349705190618,0.0035766217858930224
PIŃCZOWSKI,112747.0,0.894122032,54.0,0.000428238,33.0,0.000261701,12.0,9.51641e-05,12900.0,0.102301385,4.0,3.17214e-05,348.0,0.002759758
RADOMSKI,139782.55132471753,0.92911491339008,43.66158092291661,0.00029021257454268267,42.6692722655776,0.0002836166988973502,1179.8549935760875,0.007842329434445822,7714.207502153494,0.051275249696525825,5.953851944034083,3.957446002506868e-05,520.9620451029823,0.0034627612829588802
