District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Mieszanki na ziarno: Jęczmień
AUGUSTOWSKI,26982.0,132349.0,43759.0,84431.0,876227.0,1063.0
BIAŁOSTOCKI,37341.0,375139.0,58035.0,165663.0,1613844.0,2252.0
BIELSKI (BIELSK PODLASKI),110273.0,440664.0,74730.0,223538.0,2245964.0,1491.0
GRODZIEŃSKI,30761.0,299844.0,65042.0,120363.0,1385858.0,1260.0
ŁOMŻYŃSKI,115642.0,678086.0,55811.0,264131.0,2729911.0,3473.0
OSTROŁĘCKI,43124.0,399090.0,26602.0,71860.0,1431306.0,2414.0
OSTROWSKI (OSTRÓW MAZOWIECKA),43449.0,225512.0,20108.0,52183.0,916211.0,3305.0
SOKÓLSKI,20897.0,337356.0,55671.0,163066.0,957241.0,824.0
SUWALSKI,34339.0,216135.0,50214.0,236452.0,860280.0,1286.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),43100.0,206038.0,29814.0,87273.0,978889.0,2927.0
WOŁKOWYSKI,38189.0,366192.0,77466.0,160033.0,1951466.0,1172.0
WYSOKOMAZOWIECKI,71255.0,250980.0,34872.0,75556.0,881500.0,5443.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,5482.0,98139.0,15262.0,16298.0,798663.0,660.0
CZĘSTOCHOWSKI,22113.0,584995.0,35766.0,115455.0,2404803.0,2464.0
IŁŻECKI,31486.427308886614,359793.0105034133,158693.90342948775,227090.89537186347,1915256.3628601981,3355.3517944972564
JĘDRZEJOWSKI,107639.57586639952,333802.09185090224,90278.83586999151,128850.46167801194,1945967.0266933192,2518.708329065294
KIELECKI,28070.0,280889.0,55124.0,72266.0,2293289.0,809.0
KONECKI,15663.523842168252,290533.72178769636,32754.386967497583,74195.45344073496,2422733.348950056,88.51759587308078
KOZIENICKI,38551.0,452182.0,109897.0,169500.0,1902437.0,1533.0
MIECHOWSKI,118903.42413360046,314240.90814909776,145096.1641300085,202857.53832198805,1776884.9733066806,1808.2916709347057
OLKUSKI,30844.0,260209.0,73644.0,119455.0,1985623.0,1898.0
OPATOWSKI,77317.0,311857.0,167512.0,300491.0,2328730.0,2132.0
OPOCZYŃSKI,21675.47615783175,494584.27821230364,46011.61303250241,141763.54655926503,2181555.651049944,758.4824041269192
PIŃCZOWSKI,99245.0,263433.0,125980.0,126203.0,1362355.0,4262.0
RADOMSKI,51016.57269111338,701075.9894965867,130939.09657051224,210412.10462813653,2948972.6371398014,2109.6482055027436
SANDOMIERSKI,61176.0,237091.0,132499.0,176993.0,1690595.0,1955.0
STOPNICKI,71950.0,343334.0,103848.0,130430.0,2351327.0,2429.0
WŁOSZCZOWSKI,72652.0,303562.0,44210.0,82732.0,1686684.0,3308.0
ZAWIERCIAŃSKI,13342.0,200327.0,24498.0,38366.0,1327348.0,1519.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),12409.0,99914.0,7791.0,103559.0,736991.0,3356.0
BOCHEŃSKI,51288.0,123586.0,38081.0,82590.0,629715.0,876.0
BRZESKI (BRZESKO),51756.0,169221.0,53765.0,100725.0,1266889.0,926.0
CHRZANOWSKI,9490.0,93781.0,9115.0,41437.0,634723.0,335.0
DĄBROWSKI,35910.0,93197.0,29946.0,52853.0,505965.0,462.0
GORLICKI,22461.0,73356.0,35933.0,95155.0,596626.0,4509.0
