District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
AUGUSTOWSKI,610.0,68.0,41.0,4.0,3.0,138.0,92.0,56.0,86.0,13.0,14.0,13.0,10.0,21.0,10.0,2.0,9.0,10.0,0.0,2.0,3.0,5.0,7.0,2.0,0.0,2.0,1.0,7.0,4.0,0.0,6.0,1.0,1.0,0.0,7.0,8.0,5.0,2.0,0.0,2.0,0.0,3.0,2.0
BIAŁOSTOCKI,871.0,65.0,29.0,1.0,12.0,218.0,149.0,110.0,87.0,23.0,24.0,34.0,19.0,14.0,4.0,6.0,7.0,11.0,0.0,6.0,2.0,16.0,5.0,5.0,0.0,0.0,0.0,10.0,9.0,0.0,5.0,2.0,1.0,1.0,32.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
BIELSKI (BIELSK PODLASKI),1613.0,161.0,92.0,4.0,38.0,494.0,135.0,175.0,114.0,34.0,23.0,59.0,39.0,66.0,42.0,28.0,12.0,21.0,5.0,9.0,8.0,32.0,23.0,16.0,1.0,2.0,1.0,14.0,13.0,0.0,19.0,6.0,0.0,3.0,10.0,21.0,7.0,2.0,0.0,6.0,4.0,8.0,2.0
GRODZIEŃSKI,2146.0,182.0,113.0,3.0,12.0,556.0,280.0,140.0,219.0,36.0,24.0,80.0,12.0,104.0,28.0,27.0,4.0,39.0,7.0,29.0,11.0,39.0,32.0,38.0,3.0,8.0,5.0,16.0,35.0,16.0,41.0,8.0,7.0,4.0,23.0,37.0,9.0,3.0,0.0,22.0,13.0,9.0,19.0
ŁOMŻYŃSKI,1632.7866087975726,116.90773500047476,79.39711387966231,3.404248448324974,17.134749482774993,401.0282153459244,135.60272465597458,213.95735405238713,132.15599172439985,34.53899793109996,12.13474948277499,73.6169937932999,19.404248448324974,89.80849689664994,55.64537060358742,62.10637267248746,14.702124224162487,17.404248448324974,8.567374741387496,25.702124224162485,13.404248448324974,30.510621120812434,16.134749482774993,19.134749482774993,0.0,10.567374741387496,3.5673747413874954,11.269498965549982,10.13474948277499,0.0,21.702124224162485,3.1347494827749913,1.5673747413874957,4.0,19.702124224162485,23.26949896554998,7.567374741387495,4.0,0.0,6.134749482774991,13.13474948277499,0.5673747413874957,6.567374741387495
OSTROŁĘCKI,1157.2133912024274,66.09226499952526,42.602886120337686,4.595751551675026,11.86525051722501,336.9717846540756,96.39727534402542,177.04264594761287,105.84400827560015,14.461002068900035,6.865250517225009,28.383006206700102,24.595751551675026,53.19150310335005,40.35462939641258,34.89362732751254,9.297875775837513,14.595751551675026,1.4326252586125043,17.297875775837515,4.595751551675026,27.489378879187566,14.86525051722501,4.865250517225009,1.0,5.432625258612505,1.4326252586125043,7.730501034450017,3.8652505172250087,0.0,15.297875775837513,4.865250517225009,2.4326252586125046,2.0,5.297875775837513,7.730501034450017,2.4326252586125046,2.0,0.0,2.8652505172250087,1.8652505172250087,11.432625258612504,1.4326252586125043
OSTROWSKI (OSTRÓW MAZOWIECKA),917.0,30.0,12.0,1.0,12.0,278.0,103.0,132.0,64.0,14.0,11.0,32.0,14.0,51.0,11.0,19.0,10.0,6.0,3.0,17.0,9.0,21.0,11.0,12.0,0.0,4.0,1.0,9.0,3.0,0.0,10.0,2.0,2.0,3.0,3.0,9.0,1.0,1.0,1.0,3.0,0.0,17.0,1.0
SOKÓLSKI,709.0,47.0,32.0,0.0,6.0,134.0,151.0,54.0,86.0,21.0,19.0,18.0,21.0,19.0,11.0,12.0,7.0,16.0,0.0,9.0,2.0,12.0,6.0,7.0,0.0,1.0,1.0,7.0,7.0,0.0,9.0,0.0,1.0,0.0,6.0,17.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
SUWALSKI,964.0,79.0,36.0,5.0,15.0,207.0,137.0,69.0,121.0,22.0,24.0,26.0,16.0,54.0,26.0,23.0,2.0,17.0,3.0,6.0,2.0,21.0,11.0,14.0,1.0,5.0,2.0,5.0,6.0,0.0,10.0,4.0,0.0,5.0,4.0,12.0,2.0,2.0,0.0,5.0,10.0,11.0,4.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),734.0,71.0,59.0,1.0,6.0,148.0,118.0,114.0,47.0,18.0,7.0,22.0,18.0,15.0,20.0,12.0,9.0,10.0,2.0,10.0,7.0,9.0,5.0,7.0,0.0,2.0,1.0,3.0,3.0,0.0,9.0,5.0,0.0,1.0,14.0,11.0,2.0,1.0,0.0,0.0,8.0,5.0,2.0
