District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,2904.0,15995.0,3770.0,11557.0,8956.0
BIAŁOSTOCKI,4433.0,35607.0,6098.0,15433.0,17081.0
BIELSKI (BIELSK PODLASKI),13260.0,58099.0,5451.0,21089.0,28355.0
GRODZIEŃSKI,7341.0,54109.0,10453.0,23629.0,23043.0
ŁOMŻYŃSKI,11128.0,57303.0,4451.0,16092.0,27263.0
OSTROŁĘCKI,4128.0,37176.0,1625.0,4921.0,14455.0
OSTROWSKI (OSTRÓW MAZOWIECKA),5423.0,26747.0,2210.0,6324.0,10602.0
SOKÓLSKI,2458.0,37055.0,4902.0,19798.0,13397.0
SUWALSKI,3783.0,27963.0,5435.0,25322.0,11193.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),4373.0,22217.0,3074.0,7156.0,10444.0
WOŁKOWYSKI,6793.0,67294.0,11364.0,29339.0,23817.0
WYSOKOMAZOWIECKI,7674.0,24566.0,3348.0,8674.0,10057.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,532.0,10068.0,1120.0,1713.0,6690.0
CZĘSTOCHOWSKI,2170.0,50237.0,2571.0,7861.0,21409.0
IŁŻECKI,5326.0,35985.0,13396.0,18351.0,16853.0
JĘDRZEJOWSKI,13381.0,24474.0,7669.0,8352.0,14448.0
KIELECKI,5477.0,30771.0,5517.0,8490.0,20583.0
KONECKI,1627.0,30150.0,2288.0,5427.0,20649.0
KOZIENICKI,4097.0,38455.0,8509.0,12773.0,15379.0
MIECHOWSKI,18896.0,22096.0,9709.0,14894.0,13118.0
OLKUSKI,4791.0,26875.0,5909.0,9019.0,17791.0
OPATOWSKI,13746.0,26140.0,11253.0,20503.0,16129.0
OPOCZYŃSKI,3218.0,46936.0,4282.0,11086.0,19501.0
PIŃCZOWSKI,14286.0,18834.0,8259.0,8318.0,10093.0
RADOMSKI,5870.0,57648.0,8980.0,17240.0,22914.0
SANDOMIERSKI,10808.0,17363.0,8360.0,10458.0,11854.0
STOPNICKI,13015.0,31883.0,8251.0,12105.0,18035.0
WŁOSZCZOWSKI,8684.0,23550.0,2460.0,5270.0,12846.0
ZAWIERCIAŃSKI,1782.0,20515.0,2203.0,3307.0,11252.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),1097.0,8130.0,765.0,7263.0,7492.0
BOCHEŃSKI,8052.0,10972.0,3398.0,6879.0,7687.0
BRZESKI (BRZESKO),8498.0,13731.0,4259.0,7325.0,9870.0
CHRZANOWSKI,1366.0,11989.0,860.0,3951.0,8907.0
DĄBROWSKI,9095.0,12061.0,3483.0,5545.0,6467.0
GORLICKI,5985.0,9087.0,4686.0,12775.0,8492.0
JASIELSKI,8489.0,12543.0,4116.0,10372.0,9414.0
KRAKOWSKI,10140.0,16573.0,3066.0,9895.0,11281.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,5872.0,6283.0,3960.0,9433.0,7225.0
MIELECKI,7070.0,14185.0,2980.0,7840.0,10796.0
MYŚLENICKI,6165.0,9479.0,3230.0,11481.0,9730.0
NOWOSĄDECKI,7349.0,11194.0,8224.0,18606.0,12286.0
NOWOTARSKI,296.0,6541.0,8944.0,29254.0,14160.0
TARNOWSKI,8269.0,13339.0,2805.0,8513.0,8910.0
WADOWICKI,5839.0,12771.0,1387.0,13400.0,12891.0
ŻYWIECKI,1195.0,6066.0,2162.0,12823.0,10474.0
DĘBICKI,9714.0,20739.0,4368.0,8502.0,13336.0
BIALSKI (BIAŁA PODLASKA),7147.0,38259.0,3448.0,15774.0,20520.0
BIŁGORAJSKI,4835.0,20967.0,4700.0,11023.0,9773.0
CHEŁMSKI,17284.0,30165.0,10364.0,9773.0,16893.0
GARWOLIŃSKI,5269.0,38993.0,8177.0,13283.0,19453.0
HRUBIESZOWSKI,24774.0,18150.0,10220.0,13462.0,10895.0
JANOWSKI,10045.0,27627.0,10355.0,17419.0,15372.0
KRASNOSTAWSKI,22429.0,21555.0,8961.0,11868.0,12545.0
LUBARTOWSKI,5450.0,32736.0,3224.0,8291.0,14007.0
LUBELSKI,26831.0,32802.0,14105.0,18681.0,18785.0
ŁUKOWSKI,4751.0,42691.0,2980.0,13893.0,18928.0
PUŁAWSKI,8661.0,27912.0,10824.0,9736.0,14822.0
RADZYŃSKI,8816.0,24607.0,1668.0,13332.0,14785.0
SIEDLECKI,9011.0,40403.0,2285.0,16619.0,20920.0
SOKOŁOWSKI,8246.0,23175.0,2896.0,8286.0,14162.0
TOMASZOWSKI,16749.0,16913.0,9498.0,10615.0,10556.0
WĘGROWSKI,5066.0,22073.0,2344.0,7900.0,13708.0
WŁODAWSKI,7264.0,36145.0,3228.0,12471.0,14373.0
ZAMOJSKI,17940.0,18052.0,8485.0,11973.0,11640.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0
BÓBRECKI,10622.0,7196.0,3281.0,6480.0,8806.0
BRZOZOWSKI,6559.0,9997.0,3900.0,6006.0,6103.0
DOBROMILSKI,6319.0,10216.0,2176.0,9288.0,7717.0
DROHOBYCKI,4540.0,10201.0,2822.0,9836.0,9876.0
GRÓDECKI,5787.0,9868.0,2846.0,7171.0,6979.0
JAROSŁAWSKI,11361.0,23133.0,4798.0,9854.0,10893.0
JAWOROWSKI,3569.0,14995.0,3578.0,7967.0,8652.0
KOLBUSZOWSKI,2796.0,16065.0,3152.0,5064.0,8826.0
KROŚNIEŃSKI,7817.0,12278.0,4158.0,7384.0,8101.0
LESKI,3235.0,9054.0,2563.0,24787.0,10595.0
LWOWSKI,13867.0,13335.0,3521.0,11345.0,11465.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,7879.0,17637.0,4274.0,8595.0,7743.0
MOŚCISKI,7955.0,13086.0,2828.0,5706.0,7844.0
NIŻAŃSKI,3573.0,11131.0,2397.0,3891.0,8082.0
PRZEMYSKI,13199.0,15032.0,3455.0,6841.0,9888.0
PRZEWORSKI,5899.0,7699.0,1071.0,3617.0,3733.0
RAWSKI (RAWA RUSKA),12783.0,18185.0,6875.0,9287.0,10945.0
RUDECKI,6237.0,6638.0,2428.0,4990.0,7601.0
RZESZOWSKI,14463.0,22557.0,5896.0,10258.0,10918.0
SAMBORSKI,8940.0,15196.0,4643.0,9770.0,10923.0
SANOCKI,8022.0,11169.0,6224.0,14161.0,9636.0
SOKALSKI,20098.0,12205.0,6686.0,8982.0,10665.0
TARNOBRZESKI,3328.0,10294.0,3433.0,4357.0,8118.0
ŻÓŁKIEWSKI,9385.0,11801.0,3576.0,6374.0,8243.0
LUBACZOWSKI,5819.0,13360.0,2788.0,9586.0,8331.0
TURCZAŃSKI,533.0,7002.0,991.0,35463.0,9947.0
BRZEZIŃSKI,2779.0,33833.0,1017.0,8635.0,13285.0
ŁASKI,2959.0,39650.0,1273.0,7479.0,15678.0
ŁĘCZYCKI,10138.0,35159.0,2790.0,8130.0,14953.0
ŁÓDZKI,1292.0,26341.0,636.0,6074.0,12062.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,4511.0,56839.0,2732.0,11346.0,21869.0
RADOMSZCZAŃSKI,3796.0,53749.0,3954.0,9032.0,24161.0
SIERADZKI,4580.88902105652,50187.37163286982,1289.322975651663,10427.09761913247,19165.871776739965
WIELUŃSKI,2525.0,55271.0,1487.0,10628.0,22371.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,3695.0,41248.0,8128.0,17330.0,17240.0
BRASŁAWSKI,4423.0,39411.0,6830.0,20033.0,13046.0
LIDZKI,1011.0,53075.0,11481.0,22640.0,16948.0
NIEŚWIESKI,4435.0,29335.0,7600.0,16473.0,17333.0
NOWOGRÓDZKI,6019.0,34695.0,8816.0,19495.0,15131.0
SŁONIMSKI,3342.0,39721.0,5494.0,14512.0,15682.0
STOŁPECKI,2967.0,28810.0,6329.0,12194.0,12282.0
WOŁOŻYŃSKI,1314.0,24462.0,7898.0,13137.0,11669.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),1544.0,24648.0,6616.0,9598.0,8483.0
BRZESKI (BRZEŚĆ N.BUG.),9751.0,55933.0,9323.0,21311.0,30004.0
DROHICKI,2435.0,22795.0,3329.0,9969.0,12539.0
KOBRYŃSKI,5059.0,35537.0,4517.0,9939.0,15638.0
KOSZYRSKI,697.0,26234.0,3145.0,6274.0,12788.0
ŁUNINIECKI,571.3657030153033,18720.75457426949,1597.6938646875558,4734.378997506418,11439.110641919495
PIŃSKI,1452.6342969846967,43027.245425730514,3878.3061353124444,14146.62100249358,18915.889358080505
PRUŻAŃSKI,3234.0,33950.0,6189.0,13661.0,14019.0
STOLIŃSKI,1339.0,25593.0,2204.0,4953.0,11623.0
IWACEWICKI,626.0,22801.0,3237.0,8448.0,11122.0
BRODNICKI,3023.0,19899.0,4690.0,2553.0,8869.0
CHEŁMIŃSKI,7735.0,11171.0,5793.0,2595.0,6180.0
CHOJNICKI,864.0,29658.0,2276.0,5649.0,11031.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,7418.0,11397.0,6061.0,4080.0,5242.0
KARTUSKI,331.0,28389.0,1239.0,9107.0,13234.0
KOŚCIERSKI,1020.0,21076.0,1099.0,5062.0,7943.0
LUBAWSKI,2173.0,18519.0,5349.0,3753.0,8060.0
SĘPOLEŃSKI,932.0,16138.0,3113.0,4009.0,5847.0
STAROGARDZKI,2140.0,18759.0,2592.0,2690.0,8163.0
ŚWIECKI,3684.0,27833.0,5097.0,3697.0,14547.0
TCZEWSKI,8233.0,8873.0,5196.0,3353.0,5772.0
TORUŃ (MIASTO),0.0,0.0,0.0,0.0,0.0
TORUŃSKI,7745.0,13898.0,4294.0,2273.0,7159.0
TUCHOLSKI,1358.0,18062.0,3057.0,2411.0,6407.0
WĄBRZESKI,6352.0,14259.0,4832.0,2637.0,6963.0
MORSKI,541.0,19815.0,1382.0,7051.0,8650.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0
BYDGOSKI,4219.0,22797.0,6130.0,4594.0,9965.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0,0.0,0.0
INOWROCŁAWSKI,8966.0,18106.0,7835.0,2331.0,7982.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0
SZUBIŃSKI,2712.0,21998.0,4492.0,2725.0,8924.0
WYRZYSKI,5149.0,26754.0,7632.0,4491.0,12152.0
LIPNOWSKI,5477.0,37878.0,6836.0,4881.0,12788.0
NIESZAWSKI,11995.0,38604.0,9644.0,3155.0,13238.0
RYPIŃSKI,4206.032564396149,31492.384768043892,5999.302262394506,4083.5171690508064,11679.471680462033
WŁOCŁAWSKI,8385.0,29825.0,7856.0,4222.0,11087.0
CHODZIESKI,712.0,20158.0,2717.0,3268.0,8240.0
CZARNKOWSKI,832.0,16876.0,1633.0,3009.0,7598.0
GNIEŹNIEŃSKI,4390.0,33115.0,6099.0,5454.0,12931.0
GOSTYŃSKI,6971.0,12824.0,4480.0,5365.0,7811.0
JAROCIŃSKI,6832.0,28942.0,4303.0,8270.0,13541.0
KĘPIŃSKI,2482.0,32690.0,1746.0,8994.0,13836.0
KOŚCIAŃSKI,6417.0,23919.0,4905.0,5376.0,13014.0
KROTOSZYŃSKI,9100.0,17245.0,3954.0,9491.0,9222.0
LESZCZYŃSKI,3484.0,19386.0,2615.0,4867.0,8833.0
MIĘDZYCHODZKI,1121.0,16293.0,1363.0,2623.0,6560.0
MOGILEŃSKI,8978.0,32061.0,12332.0,4975.0,12973.0
NOWOTOMYSKI,4798.0,30799.0,4236.0,5378.0,15524.0
OBORNICKI,3306.0,21789.0,3582.0,4110.0,9457.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),3852.0,25975.0,2399.0,6972.0,12863.0
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0
RAWICKI,3510.0,11807.0,2227.0,3543.0,5952.0
SZAMOTULSKI,5306.0,21637.0,4776.0,3738.0,11078.0
ŚREDZKI,4907.0,21878.0,5329.0,4469.0,9793.0
ŚREMSKI,3599.0,24256.0,3766.0,4406.0,9298.0
WĄGROWIECKI,3038.0,28337.0,6615.0,5393.0,12425.0
WOLSZTYŃSKI,1165.0,19986.0,1225.0,2939.0,7920.0
WRZESIŃSKI,3848.0,17262.0,4488.0,3769.0,7602.0
ŻNIŃSKI,4015.0,18718.0,5972.0,3304.0,8370.0
POZNAŃSKI,3890.0,33971.0,6562.0,5537.0,16855.0
GNIEZNO (MIASTO),0.0,0.0,0.0,0.0,0.0
KALISKI,9003.35280220017,36875.33215230819,2259.7968808879973,9209.003190949637,15429.430825490133
KOLSKI,6323.0,36856.0,3283.0,5096.0,14657.0
KONIŃSKI,7922.0,70348.0,5581.0,9625.0,25651.0
TURECKI,5214.758176743309,37649.296214821996,1459.88014346034,6896.899189917891,12705.697397769905
DOLIŃSKI,824.0,5287.0,465.0,6269.0,6526.0
HORODEŃSKI,16114.0,12398.0,8171.0,4363.0,8368.0
KAŁUSKI,3959.0,7453.0,1123.0,7919.0,9459.0
KOŁOMYJSKI,11552.0,14412.0,3446.0,8171.0,11722.0
KOSOWSKI (KOSÓW HUCULSKI),698.0,1177.0,629.0,675.0,3908.0
NADWÓRNIAŃSKI,1545.0,8291.0,512.0,6120.0,12142.0
ROHATYŃSKI,15394.0,11587.0,5434.0,8817.0,12186.0
STANISŁAWOWSKI,8526.0,13292.0,1441.0,9985.0,14136.0
STRYJSKI,3018.0,9711.0,1371.0,15266.0,9677.0
ŚNIATYŃSKI,8776.0,7102.0,3124.0,2515.0,4330.0
TŁUMACKI,10711.0,11765.0,2828.0,7557.0,9774.0
ŻYDACZOWSKI,6627.0,8035.0,1637.0,4961.0,9181.0
BIELSKI (BIELSKO),806.0,3241.0,460.0,4350.0,3402.0
BIELSKO (MIASTO),0.0,0.0,0.0,0.0,0.0
CIESZYŃSKI,1632.0,3227.0,911.0,6204.0,4483.0
TARNOGÓRSKI,193.0,2175.0,255.0,746.0,1785.0
KATOWICE (MIASTO),0.0,0.0,0.0,0.0,0.0
KATOWICKI,246.0,2778.0,290.0,1265.0,2105.0
LUBLINIECKI,1254.0,7918.0,854.0,3507.0,4655.0
PSZCZYŃSKI,1985.0,15281.0,1213.0,8277.0,11038.0
RYBNICKI,2979.0,18093.0,1174.0,7500.0,11438.0
ŚWIĘTOCHŁOWICKI,147.0,1329.0,165.0,572.0,1232.0
CHORZÓW,0.0,0.0,0.0,0.0,0.0
BORSZCZOWSKI,16610.0,14010.0,6085.0,1962.0,7965.0
BRODZKI,8464.0,11585.0,5534.0,8297.0,8332.0
BRZEŻAŃSKI,12227.0,14401.0,8421.0,10875.0,11777.0
BUCZACKI,17491.0,19126.0,7385.0,6703.0,11035.0
CZORTKOWSKI,12710.0,9545.0,5819.0,1382.0,7187.0
KAMIONECKI,9845.0,8675.0,2951.0,5706.0,7349.0
PODHAJECKI,16190.0,12873.0,7330.0,8382.0,10630.0
PRZEMYŚLAŃSKI,12229.0,8802.0,4435.0,8394.0,9033.0
RADZIECHOWSKI,10674.0,9853.0,5183.0,7491.0,8332.0
SKAŁACKI,16473.0,9032.0,10690.0,3191.0,8327.0
TARNOPOLSKI,19449.0,16880.0,11605.0,11204.0,12435.0
TREMBOWELSKI,13555.0,11685.0,7090.0,3591.0,7974.0
ZALESZCZYCKI,11002.0,8141.0,5067.0,1616.0,6939.0
ZBARASKI,14797.0,8895.0,7824.0,8832.0,5686.0
ZBOROWSKI,10270.0,12387.0,8442.0,10877.0,9098.0
ZŁOCZOWSKI,11715.0,10960.0,7144.0,9554.0,9769.0
KOPYCZYNIECKI,14093.0,12386.0,7264.0,1962.0,8923.0
BŁOŃSKI,6170.0,27090.0,2111.0,8471.0,12313.0
CIECHANOWSKI,10523.0,29413.0,4123.0,5507.0,9428.0
GOSTYNIŃSKI,5554.0,29252.0,1475.0,5996.0,11799.0
GRÓJECKI,7903.0,45934.0,2752.0,16632.0,19818.0
KUTNOWSKI,11987.0,22177.0,3643.0,7124.0,9146.0
ŁOWICKI,7338.0,36049.0,2313.0,10358.0,12632.0
MAKOWSKI (MAKÓW MAZOWIECKI),5522.0,25312.0,1485.0,3958.0,7851.0
MIŃSKI,2572.0,28880.0,2687.0,9075.0,14739.0
MŁAWSKI,2097.0,45482.0,1823.0,3667.0,15890.0
PŁOCKI,10623.0,42245.0,6635.0,7178.0,15250.0
PŁOŃSKI,7571.0,40303.0,4256.0,5828.0,12778.0
PRZASNYCKI,6506.0,27477.0,1823.0,2558.0,9094.0
PUŁTUSKI,7075.0,40025.0,3019.0,6891.0,15193.0
RADZYMIŃSKI,1716.0,22558.0,1363.0,4319.0,10563.0
RAWSKI (RAWA MAZOWIECKA),2734.0,39206.0,3196.0,8040.0,16018.0
SIERPECKI,2866.9674356038513,36852.61523195611,2432.6977376054933,4175.482830949194,13550.528319537967
SKIERNIEWICKI,2039.0,24568.0,1935.0,7448.0,8310.0
SOCHACZEWSKI,6136.0,23598.0,1721.0,6550.0,10425.0
WARSZAWSKI,3664.0,23058.0,1907.0,7638.0,18466.0
DZIAŁDOWSKI,821.0,17796.0,3349.0,2570.0,8504.0
DUBIEŃSKI,41871.0,41999.0,22276.0,31681.0,19411.0
HOROCHOWSKI,32201.0,18848.0,12538.0,13368.0,11459.0
KOWELSKI,23256.0,62568.0,10383.0,12330.0,26232.0
KRZEMIENIECKI,19545.0,49162.0,20664.0,36750.0,17525.0
LUBOMELSKI,4086.0,21450.0,3665.0,3085.0,8694.0
ŁUCKI,43291.0,51944.0,19351.0,25442.0,23573.0
RÓWIEŃSKI,32277.0,37422.0,16371.0,26049.0,16398.0
WŁODZIMIERSKI,28679.0,25173.0,9790.0,16408.0,14006.0
KOSTOPOLSKI,6183.0,30983.0,4963.0,13758.0,14620.0
ZDOŁBUNOWSKI,15180.0,12855.0,9531.0,11810.0,7886.0
SARNEŃSKI,1269.0,43166.0,5534.0,8902.0,15748.0
OSZMIAŃSKI,639.0,31821.0,8039.0,20586.0,9793.0
ŚWIĘCIAŃSKI,4928.0,37231.0,6530.0,16678.0,15497.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,5226.0,39569.0,7496.0,23377.0,13567.0
WILEJSKI,893.0,35112.0,8720.0,15405.0,14900.0
WILEŃSKO-TROCKI,3413.0,71142.0,12282.0,27441.0,19867.0
POSTAWSKI,4192.0,26630.0,3846.0,11034.0,10021.0
MOŁODECZAŃSKI,1506.0,21078.0,5042.0,13718.0,8261.0
