District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,34115.0,187490.0,38261.0,141176.0,1164502.0
BIAŁOSTOCKI,49946.0,408016.0,66351.0,179899.0,2093099.0
BIELSKI (BIELSK PODLASKI),111235.0,593164.0,45772.0,201301.0,3123823.0
GRODZIEŃSKI,87581.0,621356.0,95557.0,201370.0,2279189.0
ŁOMŻYŃSKI,110027.0,606632.0,45253.0,202454.0,3035397.0
OSTROŁĘCKI,49484.0,406475.0,18463.0,84993.0,1786507.0
OSTROWSKI (OSTRÓW MAZOWIECKA),54491.0,284395.0,24176.0,79717.0,1315647.0
SOKÓLSKI,32823.0,371923.0,38394.0,156331.0,1389465.0
SUWALSKI,37204.0,304300.0,54641.0,278775.0,1111484.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),48514.0,242986.0,40057.0,94934.0,1216095.0
WOŁKOWYSKI,46674.0,665874.0,81536.0,211033.0,2510054.0
WYSOKOMAZOWIECKI,86470.0,300980.0,41230.0,106938.0,1583566.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,6768.0,124093.0,11700.0,27551.0,538754.0
CZĘSTOCHOWSKI,28426.0,631033.0,31678.0,123980.0,2426550.0
IŁŻECKI,51402.0,379023.0,100729.0,206829.0,1727852.0
JĘDRZEJOWSKI,168809.0,289241.0,99586.0,119915.0,1650060.0
KIELECKI,35165.0,256119.0,35810.0,89956.0,2038098.0
KONECKI,13591.0,283537.0,20275.0,63855.0,2244654.0
KOZIENICKI,51985.0,421734.0,92563.0,156110.0,1714069.0
MIECHOWSKI,285762.0,310779.0,115632.0,246484.0,1743963.0
OLKUSKI,43732.0,258170.0,45504.0,109372.0,1690786.0
OPATOWSKI,169828.0,342257.0,132565.0,273369.0,2310901.0
OPOCZYŃSKI,37381.0,595806.0,50173.0,171163.0,2582714.0
PIŃCZOWSKI,189750.0,234843.0,98545.0,130660.0,1234005.0
RADOMSKI,60062.0,612194.0,102376.0,227071.0,3251905.0
SANDOMIERSKI,156451.0,250256.0,102265.0,165424.0,1683517.0
STOPNICKI,147993.0,360870.0,90227.0,173539.0,1921827.0
WŁOSZCZOWSKI,107656.0,286133.0,30254.0,74654.0,1780634.0
ZAWIERCIAŃSKI,17089.0,234120.0,24490.0,44794.0,1278934.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),16056.0,127174.0,10566.0,115826.0,908202.0
BOCHEŃSKI,98511.0,117425.0,30745.0,80097.0,862151.0
BRZESKI (BRZESKO),84790.0,154870.0,54073.0,112058.0,1035660.0
CHRZANOWSKI,13673.0,132159.0,8967.0,47265.0,652323.0
DĄBROWSKI,78886.0,110288.0,30209.0,61125.0,637738.0
