District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
AUGUSTOWSKI,12799.0,22282.0,14284.0,20382.0
BIAŁOSTOCKI,31955.0,52589.0,40448.0,26883.0
BIELSKI (BIELSK PODLASKI),45823.0,72110.0,39543.0,78405.0
GRODZIEŃSKI,36936.16259920106,52778.996212987404,38604.24736174562,41880.84243102958
ŁOMŻYŃSKI,32939.488339038704,58992.6726063824,31669.00138212496,18292.19433840758
OSTROŁĘCKI,25291.511660961296,46374.3273936176,21408.998617875037,15006.80566159242
OSTROWSKI (OSTRÓW MAZOWIECKA),14814.0,31257.0,15957.0,5834.0
SOKÓLSKI,28335.0,41382.0,35389.0,45010.0
SUWALSKI,22355.0,36583.0,33742.0,23455.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16412.0,25705.0,17688.0,10808.0
WOŁKOWYSKI,30316.0,52434.0,39896.0,54077.0
WYSOKOMAZOWIECKI,18097.0,36511.0,17335.0,6487.0
BIAŁYSTOK (MIASTO),893.0,989.0,1550.0,165.0
BĘDZIŃSKI,4910.0,10159.0,1676.0,1818.0
CZĘSTOCHOWSKI,14878.0,42283.0,12828.0,2674.0
IŁŻECKI,18947.226721289484,47315.92732136749,24240.86563614263,2682.078685497485
JĘDRZEJOWSKI,16606.879368830112,33640.20624882046,8561.1114027741,2892.813266704597
KIELECKI,15505.0,47580.0,9497.0,1772.0
KONECKI,11178.383075183605,39033.09561041392,9061.731033644091,2545.8776147266167
KOZIENICKI,18564.0,40914.0,25135.0,2073.0
MIECHOWSKI,22668.120631169884,43925.79375117953,13048.888597225898,2076.186733295403
OLKUSKI,12344.0,34390.0,7589.0,3359.0
OPATOWSKI,20127.0,51571.0,24331.0,2070.0
OPOCZYŃSKI,15607.616924816395,36676.90438958608,14173.268966355909,11186.122385273384
PIŃCZOWSKI,20832.999999298067,42917.99999855395,11633.999999608011,1151.9999999611853
RADOMSKI,24089.457028716395,51055.07764089057,24216.418409310456,3393.775365879732
SANDOMIERSKI,16650.0,37347.0,18931.0,1977.0
STOPNICKI,23052.000000701933,54620.00000144605,15289.000000391989,948.0000000388147
WŁOSZCZOWSKI,15476.0,30972.0,9843.0,1632.0
ZAWIERCIAŃSKI,6284.0,23564.0,2381.0,1354.0
CZĘSTOCHOWA (MIASTO),1183.0,1228.0,1112.0,272.0
SOSNOWIEC,1186.0,789.0,357.0,1020.0
RADOM (MIASTO),445.299610550207,943.7658209978582,447.6465232791264,62.73478256150042
BIALSKI (BIAŁA KRAKOWSKA),4152.5994158122885,27840.921602437884,10985.560592835727,1881.0480516504488
BOCHEŃSKI,8573.0,38454.0,13680.0,2081.0
BRZESKI (BRZESKO),9130.0,37731.0,11794.0,1007.0
CHRZANOWSKI,4362.0,19109.0,5041.0,3430.0
DĄBROWSKI,10435.0,33639.0,13075.0,304.0
GORLICKI,8765.103477405924,47476.32718615811,10835.119604597408,2932.457392804084
JASIELSKI,12008.272754847267,47758.82988408776,13242.833439220532,2004.0287281023973
KRAKOWSKI,11032.87372533711,41176.384838827566,12049.969912037555,1752.4387739196209
KRAKÓW (MIASTO),2022.0,1663.0,946.0,553.0
LIMANOWSKI,4691.0,41273.0,7455.0,3897.0
MIELECKI,11577.0,36124.0,12677.0,152.0
MYŚLENICKI,7338.037455348351,42833.41424687287,10279.117379040496,2817.9909101980575
NOWOSĄDECKI,9810.017987664132,61151.07835186797,16696.433726535986,7276.901203936766
