District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,15342.0,28767.0,29354.0,16431.0,2.0
BIAŁOSTOCKI,30427.0,57598.0,48444.0,32714.0,27.0
BIELSKI (BIELSK PODLASKI),47086.0,82061.0,78691.0,101607.0,78.0
GRODZIEŃSKI,37939.0,59641.0,43211.0,53880.0,91.0
ŁOMŻYŃSKI,32840.16192498821,63619.8394764925,48575.833573365366,18375.28741072892,68.97162318971247
OSTROŁĘCKI,25886.838075011787,54471.160523507504,36736.166426634634,13089.71258927108,13.02837681028753
OSTROWSKI (OSTRÓW MAZOWIECKA),14844.0,34527.0,29574.0,5515.0,15.0
SOKÓLSKI,27965.0,43400.0,35490.0,48367.0,9.0
SUWALSKI,23058.0,38619.0,43797.0,24563.0,90.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16161.0,27539.0,21100.0,9549.0,12.0
WOŁKOWYSKI,31241.0,60324.0,44202.0,67468.0,52.0
WYSOKOMAZOWIECKI,19234.0,41788.0,31338.0,3878.0,5.0
BIAŁYSTOK (MIASTO),1019.0,1326.0,2624.0,18.0,101.0
BĘDZIŃSKI,5268.0,12282.0,2492.0,247.0,3011.0
CZĘSTOCHOWSKI,16084.0,47651.0,24977.0,3257.0,705.0
IŁŻECKI,19507.77667901519,50369.79025177531,34703.68282780992,1976.4014018202358,273.4731133085602
JĘDRZEJOWSKI,17545.50625375744,39261.56812882149,18121.167987378416,2675.4957128781994,334.4870985943758
KIELECKI,16515.0,51803.0,14675.0,2068.0,305.0
KONECKI,11963.328253880489,43234.01942115961,15913.767913769128,2831.2486378530652,243.53548703579708
KOZIENICKI,19540.0,45044.0,39002.0,1584.0,98.0
MIECHOWSKI,24268.49374624256,49955.43187117851,25957.83201262158,1265.5042871218006,1243.512901405624
OLKUSKI,13169.0,38620.0,12584.0,2584.0,2007.0
OPATOWSKI,21108.0,56354.0,37605.0,1527.0,237.0
OPOCZYŃSKI,16242.671746119511,40972.98057884039,24531.23208623087,13206.751362146935,115.46451296420292
PIŃCZOWSKI,21006.0,44988.0,21866.0,1075.0,460.0
RADOMSKI,24794.88372068527,58777.689519915904,42263.073729438205,3855.3318292152285,491.4424506070096
SANDOMIERSKI,16841.0,41361.0,28470.0,1917.0,89.0
STOPNICKI,23578.0,62338.0,24787.0,466.0,133.0
WŁOSZCZOWSKI,15612.0,32773.0,15627.0,1556.0,112.0
ZAWIERCIAŃSKI,6859.0,26129.0,3587.0,1431.0,730.0
CZĘSTOCHOWA (MIASTO),1142.0,1007.0,1535.0,34.0,165.0
SOSNOWIEC,1176.0,1018.0,525.0,9.0,1302.0
RADOM (MIASTO),458.3396002995415,1086.5202283087876,781.2434427518822,71.26676896453584,9.08443608443019
BIALSKI (BIAŁA KRAKOWSKA),4295.868284968177,28889.449533739768,16403.172824372035,648.9673677246786,1840.3745769351722
BOCHEŃSKI,9142.0,41389.0,20662.0,276.0,558.0
BRZESKI (BRZESKO),9435.0,42476.0,18200.0,236.0,581.0
CHRZANOWSKI,4445.0,20519.0,6720.0,224.0,3517.0
DĄBROWSKI,10424.0,35076.0,17141.0,53.0,212.0
GORLICKI,9214.440626182864,52862.43609896158,17842.332979557974,2194.2088092070435,994.8786561145417
JASIELSKI,12762.933180827515,52357.76080678655,21723.865071628003,1886.020012861509,1420.2808262374783
KRAKOWSKI,12179.876648124113,46367.28496617852,17528.186535738838,492.2745630391648,1948.9874278550074
KRAKÓW (MIASTO),1918.0,1878.0,1184.0,16.0,466.0
LIMANOWSKI,4886.0,43566.0,11206.0,5211.0,1480.0
MIELECKI,11680.0,38927.0,17200.0,55.0,98.0
MYŚLENICKI,6480.182571014172,43023.311375522986,13571.822565776918,1157.4773025526238,1790.1728173698166
NOWOSĄDECKI,10591.963016178424,68014.57499619212,25896.597470744462,7362.958645324055,1496.0191579127859
NOWOTARSKI,13658.167146798934,68730.30220051711,18301.89200382543,29952.803345026667,957.6702201479131
TARNOWSKI,10519.596357638711,43387.988904846294,16400.069549697564,602.8325454689016,569.1021859726724
WADOWICKI,8017.780882324892,55758.09462918017,24566.09322888054,879.5756916717722,2019.8377039104978
ŻYWIECKI,5267.124466769712,49711.557294861435,12821.832841406238,4029.901729985094,1683.9572537815925
DĘBICKI,15664.066819172484,52465.23919321344,17843.134928371997,227.97998713849097,524.7191737625216
BIALSKI (BIAŁA PODLASKA),22824.714929335365,41391.3041976036,44792.32258791549,23890.69110554856,73.75891797688226
BIŁGORAJSKI,19284.0,43300.0,22760.0,1422.0,29.0
CHEŁMSKI,26907.0,45882.0,44506.0,993.0,80.0
GARWOLIŃSKI,21536.0,51817.0,57379.0,2240.0,167.0
HRUBIESZOWSKI,30119.255705516105,38395.1550809836,41361.4102000908,2288.423298506905,43.201491783796136
JANOWSKI,23575.0,55899.0,45867.0,2243.0,63.0
KRASNOSTAWSKI,25738.0,46484.0,42037.0,1588.0,41.0
LUBARTOWSKI,16700.0,33683.0,47208.0,776.0,33.0
LUBELSKI,26535.0,61262.0,69880.0,4000.0,68.0
