District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce (sztuki),Kozy (sztuki)
AUGUSTOWSKI,15810.0,24581.0,25162.0,13871.0,0.0
BIAŁOSTOCKI,30568.031638948385,41149.08377494455,34936.30164869394,16700.179184177305,0.0
BIELSKI (BIELSK PODLASKI),44642.0,60895.0,48427.0,49255.0,0.0
GRODZIEŃSKI,36056.44645278146,47571.19584730993,34317.865251624324,32491.908181990984,0.0
ŁOMŻYŃSKI,32997.609303777244,48189.61646848259,33475.741762622245,15726.312043722171,0.0
OSTROŁĘCKI,24846.390696222756,39101.38353151741,18087.25823737775,12816.687956277829,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),15574.0,30751.0,21949.0,5300.0,0.0
SOKÓLSKI,25279.0,33266.0,25818.0,28784.0,0.0
SUWALSKI,21753.0,28877.0,28905.0,14655.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),15927.0,19588.0,12624.0,7764.0,0.0
WOŁKOWYSKI,29812.0,48173.0,36994.0,41138.0,0.0
WYSOKOMAZOWIECKI,18397.0,30342.0,16134.0,4332.0,0.0
BIAŁYSTOK (MIASTO),438.9683610516145,590.9162250554517,501.69835130606367,239.82081582269652,0.0
BĘDZIŃSKI,5781.936705068951,10688.333708040886,6529.988827417366,246.5384814256054,0.0
CZĘSTOCHOWSKI,15575.910265034856,40070.867180518806,18371.461456336656,2582.0089133474585,0.0
IŁŻECKI,19500.050085985764,46106.5064243983,29919.17900296256,2867.929818615037,0.0
JĘDRZEJOWSKI,17251.816719493218,34240.58049852798,17421.85270282171,2927.5125498874904,0.0
KIELECKI,16467.0,46484.0,14981.0,2066.0,0.0
KONECKI,11072.308640995321,35598.781729228205,12459.712551902103,2382.29078317618,0.0
KOZIENICKI,18542.0,36975.0,28056.0,2103.0,0.0
MIECHOWSKI,22508.183280506782,39775.41950147202,20047.14729717829,1308.4874501125096,0.0
OLKUSKI,12494.0,33511.0,12261.0,1964.0,0.0
OPATOWSKI,20767.0,47733.0,30335.0,1627.0,0.0
OPOCZYŃSKI,14944.691359004679,31434.218270771795,17619.287448097897,8687.70921682382,0.0
PIŃCZOWSKI,20248.999999317744,39483.99999866965,19915.999999328964,712.9999999759766,0.0
RADOMSKI,24451.785276411756,53356.00850765681,42560.384653143265,4755.192016249904,0.0
SANDOMIERSKI,17927.0,40510.0,32011.0,1495.0,0.0
STOPNICKI,22793.000000682256,48146.00000133035,19075.000000671036,464.0000000240234,0.0
WŁOSZCZOWSKI,15683.0,30900.0,15294.0,1383.0,0.0
ZAWIERCIAŃSKI,6605.0,23476.0,5102.0,763.0,0.0
CZĘSTOCHOWA (MIASTO),398.0897349651435,1024.1328194811929,469.5385436633448,65.99108665254164,0.0
SOSNOWIEC,386.0632949310489,713.6662919591148,436.01117258263406,16.461518574394596,0.0
RADOM (MIASTO),451.99733841504633,986.2991009158136,786.7393062583099,87.90090828545195,0.0
BIALSKI (BIAŁA KRAKOWSKA),4279.272890527565,27414.84352216322,19286.168832258885,572.7939942751569,0.0
BOCHEŃSKI,9264.0,37829.0,21477.0,184.0,0.0
BRZESKI (BRZESKO),9675.0,37625.0,19290.0,387.0,0.0
CHRZANOWSKI,4442.0,18618.0,8807.0,342.0,0.0
DĄBROWSKI,10367.0,31532.0,16946.0,98.0,0.0
GORLICKI,9045.38206445618,46641.40575018693,14780.354311932719,2513.684528919237,0.0
JASIELSKI,12468.479662499865,44965.5939256322,19270.077144040064,1487.5526145335052,0.0
KRAKOWSKI,11483.702472732073,40887.78295937848,18886.3351982589,409.1949457331203,0.0
KRAKÓW (MIASTO),2137.0,1836.0,2040.0,15.0,0.0
LIMANOWSKI,5014.0,38717.0,9348.0,2397.0,0.0
MIELECKI,11961.0,36055.0,19852.0,75.0,0.0
MYŚLENICKI,7524.904075027647,40895.39860226949,14034.667432856888,901.917884338482,0.0
NOWOSĄDECKI,10735.011812910181,59976.3970662251,21120.74075738722,7750.324921462156,0.0
NOWOTARSKI,13585.148397704805,59786.303546579285,17665.912964160932,24059.03589467329,0.0
TARNOWSKI,10535.606122633639,38906.19718358797,17545.904930680063,500.99054961860674,0.0
WADOWICKI,8324.373445124922,52593.55635233502,28661.254751839082,572.3668248926874,0.0
ŻYWIECKI,5846.5987188829895,46533.11501727451,16611.66082062531,2793.690456087265,0.0
DĘBICKI,15884.520337500135,49101.4060743678,22244.922855959936,268.4473854664948,0.0
BIALSKI (BIAŁA PODLASKA),22695.379317296705,36741.615730867976,30447.99911802947,15435.38976280533,0.0
BIŁGORAJSKI,18975.0,38835.0,24973.0,1359.0,0.0
CHEŁMSKI,26649.0,40671.0,33780.0,1073.0,0.0
GARWOLIŃSKI,21116.0,47759.0,41669.0,3123.0,0.0
HRUBIESZOWSKI,29187.960878130234,33542.834618996894,33459.9054120219,2009.489803569075,0.0
JANOWSKI,23961.0,53427.0,39605.0,1926.0,0.0
KRASNOSTAWSKI,25550.0,42288.0,36845.0,1399.0,0.0
LUBARTOWSKI,16622.0,31166.0,31208.0,1305.0,0.0
LUBELSKI,29117.664591833647,63148.319852289394,70226.92452030412,5144.317618557222,0.0
ŁUKOWSKI,19492.0,36193.0,28036.0,3300.0,0.0
PUŁAWSKI,21260.0,44146.0,40110.0,1748.0,0.0
RADZYŃSKI,20056.0,30834.0,29381.0,7856.0,0.0
SIEDLECKI,25151.620682570225,42897.384268908056,37438.000881794906,11998.61023710991,0.0
SOKOŁOWSKI,15454.0,28685.0,21582.0,4791.0,0.0
TOMASZOWSKI,23162.255220078525,34345.10064459756,31013.105819368197,1371.5281275809295,0.0
WĘGROWSKI,14815.0,32336.0,20517.0,1696.0,0.0
WŁODAWSKI,23020.0,41635.0,27179.0,3383.0,0.0
ZAMOJSKI,26260.783901791245,46030.06473640555,40049.9887686099,935.9820688499954,0.0
LUBLIN (MIASTO),462.33540816635445,1002.6801477106087,1115.0754796958777,81.68238144277784,0.0
BÓBRECKI,14111.0,28009.0,21067.0,268.0,0.0
BRZOZOWSKI,8449.0,31436.0,9848.0,328.0,0.0
DOBROMILSKI,11881.671584823942,33986.55638062317,8871.403532632497,1399.6921975722273,0.0
DROHOBYCKI,19605.306826586795,39837.84088077463,15000.54587507703,2597.9267742375414,0.0
GRÓDECKI,12863.000018036186,23724.000030315205,12791.000016852813,942.0000027598363,0.0
JAROSŁAWSKI,23581.0,46055.0,25342.0,437.0,0.0
JAWOROWSKI,17032.386200180044,28628.124862830067,15915.407046787319,2606.339516038333,0.0
KOLBUSZOWSKI,9501.0,32138.0,8294.0,34.0,0.0
KROŚNIEŃSKI,10707.379639522327,45367.81122461999,17428.70485801757,1436.7742016965724,0.0
LESKI,14567.0,44834.0,13330.0,6214.0,0.0
LWOWSKI,22643.0,46184.0,23381.0,218.0,0.0
LWÓW (MIASTO),1618.0,1456.0,651.0,45.0,0.0
ŁAŃCUCKI,13183.0,35817.0,16825.0,456.0,0.0
MOŚCISKI,15952.0,27797.0,11622.0,579.0,0.0
NIŻAŃSKI,9039.0,24806.0,12988.0,323.0,0.0
PRZEMYSKI,17650.0,39424.0,16571.0,504.0,0.0
PRZEWORSKI,8081.0,23369.0,12319.0,230.0,0.0
RAWSKI (RAWA RUSKA),19726.0,32308.0,28318.0,5134.0,0.0
RUDECKI,14205.0,22990.0,14134.0,52.0,0.0
RZESZOWSKI,18484.620360477675,67755.18877538001,30722.29514198243,583.2257983034277,0.0
SAMBORSKI,22954.021588589265,44391.60273860219,16256.050592290472,2300.381028190231,0.0
SANOCKI,15064.0,38966.0,11666.0,2656.0,0.0
SOKALSKI,24930.348945258756,28226.21885914564,41231.114353194185,16114.244172592038,0.0
TARNOBRZESKI,12359.0,29918.0,20670.0,202.0,0.0
ŻÓŁKIEWSKI,18133.999999884338,28998.99999981504,24550.99999984341,1119.9999999928566,0.0
LUBACZOWSKI,16776.613781783766,29898.875106854724,24315.592936359866,4208.66048120183,0.0
TURCZAŃSKI,12323.0,38435.0,9521.0,9417.0,0.0
BRZEZIŃSKI,12322.0,29672.0,20018.0,2003.0,0.0
ŁASKI,15186.0,32371.0,11651.0,1922.0,0.0
ŁĘCZYCKI,18738.0,40997.0,26174.0,921.0,0.0
ŁÓDZKI,11229.0,28160.0,15417.0,1564.0,0.0
ŁÓDŹ (MIASTO),4778.0,2469.0,1873.0,50.0,0.0
PIOTRKOWSKI,22911.000001698012,49330.00000355354,30466.000001797056,6261.00000047558,0.0
