District,Area
AUGUSTOWSKI,583358.2396307249
BARANOWICKI,910704.2775998955
BIALSKI (BIAŁA KRAKOWSKA),149602.87728664302
BIALSKI (BIAŁA PODLASKA),559800.6291454611
BIAŁOSTOCKI,857773.1338555474
BIAŁYSTOK (MIASTO),12254.589014329822
BIELSKI (BIELSK PODLASKI),1355238.2831700123
BIELSKI (BIELSKO),82324.57228315106
BIELSKO (MIASTO),1156.2509375661539
BIŁGORAJSKI,426653.58532249735
BOCHEŃSKI,212301.99153703602
BORSZCZOWSKI,230052.4324221906
BRASŁAWSKI,1307746.684899835
BRODNICKI,257706.41266866878
BRODZKI,265611.48171936657
BRZESKI (BRZESKO),206762.90326997676
BRZESKI (BRZEŚĆ N.BUG.),1226983.6757639209
BRZEZIŃSKI,287115.9198526074
BRZEŻAŃSKI,262160.71390899573
BRZOZOWSKI,163627.039584674
BUCZACKI,278798.8390859414
BYDGOSKI,376892.9868519901
BYDGOSZCZ (MIASTO),18561.143678416873
BÓBRECKI,212438.57074817875
BĘDZIŃSKI,113299.90661107672
BŁOŃSKI,284410.1221942951
CHEŁMIŃSKI,203773.33288554414
CHEŁMSKI,500718.2440741248
CHODZIESKI,247597.3113100439
CHOJNICKI,535819.5509911109
CHORZÓW,6076.7391133618285
CHRZANOWSKI,175065.06218405996
CIECHANOWSKI,331079.8539204404
CIESZYŃSKI,157038.35142232344
CZARNKOWSKI,250559.02950509376
CZORTKOWSKI,166564.18482405494
CZĘSTOCHOWA (MIASTO),11827.179905992703
CZĘSTOCHOWSKI,463760.0515426904
DOBROMILSKI,236460.09243582102
DOLIŃSKI,550601.5086941989
DROHICKI,623586.2128123757
DROHOBYCKI,354282.8528996914
DUBIEŃSKI,805983.9748412812
DZIAŁDOWSKI,230214.0541418345
DZIŚNIEŃSKI,1209363.0666487892
DĄBROWSKI,159204.78293797697
DĘBICKI,276804.91545958316
GARWOLIŃSKI,511048.1528011151
GDYNIA (MIASTO),20063.588663411723
GNIEZNO (MIASTO),4150.477096341812
GNIEŹNIEŃSKI,308006.8700180495
GORLICKI,258323.32896311636
GOSTYNIŃSKI,310358.3689192081
GOSTYŃSKI,185164.0505666952
GRODZIEŃSKI,1268017.6984958528
