Region,District
Białostockie,augustowski
Białostockie,białostocki
Białostockie,białowieski
Białostockie,bielski
Białostockie,grodzieński
Białostockie,kolneński
Białostockie,ostrowski
Białostockie,ostrołęcki
Białostockie,sejneński
Białostockie,sokólski
Białostockie,suwalski
Białostockie,szczuczyński (woj. białostockie)
Białostockie,wołkowyski
Białostockie,wysokomazowiecki
Białostockie,łomżyński
Czechosłowacja,bardiowski
Czechosłowacja,czadecki
Czechosłowacja,czeskocieszyński
Czechosłowacja,frydecki
Czechosłowacja,kieżmarski
Czechosłowacja,namiestowski
Czechosłowacja,sniński
Czechosłowacja,starolubowelski
Czechosłowacja,starowiejski
Czechosłowacja,trzciański
Kieleckie,będziński
Kieleckie,częstochowski
Kieleckie,iłżecki
Kieleckie,jędrzejowski
Kieleckie,kielecki
Kieleckie,konecki
Kieleckie,kozienicki
Kieleckie,miechowski
Kieleckie,olkuski
Kieleckie,opatowski
Kieleckie,opoczyński
Kieleckie,pińczowski
Kieleckie,radomski
Kieleckie,sandomierski
Kieleckie,stopnicki
Kieleckie,włoszczowski
Krakowskie,Kraków
Krakowskie,bialski
Krakowskie,bocheński
Krakowskie,brzeski
Krakowskie,chrzanowski
Krakowskie,dąbrowski
Krakowskie,gorlicki
Krakowskie,grybowski
Krakowskie,jasielski
Krakowskie,krakowski
Krakowskie,limanowski
Krakowskie,mielecki
Krakowskie,myślenicki
Krakowskie,nowosądecki
Krakowskie,nowotarski
Krakowskie,oświęcimski
Krakowskie,pilzneński
Krakowskie,podgórski
Krakowskie,ropczycki
Krakowskie,spisko-orawski
Krakowskie,tarnowski
Krakowskie,wadowicki
Krakowskie,wielicki
Krakowskie,żywiecki
Litwa,Wilno
Litwa,brasławski
Litwa,ostrogski
Litwa,oszmiański
Litwa,rówieński
Litwa,trocki
Litwa,wileński
Litwa,włodzimierski
Litwa,święciański
Lubelskie,Lublin
Lubelskie,bialski
Lubelskie,biłgorajski
Lubelskie,chełmski
Lubelskie,garwoliński
Lubelskie,hrubieszowski
Lubelskie,janowski
Lubelskie,konstantynowski
Lubelskie,krasnostawski
Lubelskie,lubartowski
Lubelskie,lubelski
Lubelskie,puławski
Lubelskie,radzyński
Lubelskie,siedlecki
Lubelskie,sokołowski
Lubelskie,tomaszowski
Lubelskie,węgrowski
Lubelskie,włodawski
Lubelskie,zamojski
Lubelskie,łukowski
Lwowskie,Lwów
Lwowskie,brzozowski
Lwowskie,bóbrecki
Lwowskie,cieszanowski
Lwowskie,dobromilski
Lwowskie,drohobycki
Lwowskie,gródecki
Lwowskie,jarosławski
Lwowskie,jaworowski
Lwowskie,kolbuszowski
Lwowskie,krośnieński
Lwowskie,liski
Lwowskie,lwowski
Lwowskie,mościski
Lwowskie,niżański
Lwowskie,przemyski
Lwowskie,przeworski
Lwowskie,rawski
Lwowskie,rudecki
Lwowskie,rzeszowski
Lwowskie,samborski
Lwowskie,sanocki
Lwowskie,sokalski
Lwowskie,starosamborski
Lwowskie,strzyżowski
Lwowskie,tarnobrzeski
Lwowskie,łańcucki
Lwowskie,żółkiewski
Niemcy,Bytom miasto
Niemcy,Bytom wieś
Niemcy,Katowice
Niemcy,Królewska Huta
Niemcy,katowicki
Niemcy,lubliniecki
Niemcy,pszczyński
Niemcy,raciborski
Niemcy,rybnicki
Niemcy,tarnogórski
Niemcy,zabrski
Niemcy,zabrski
Nowogródzkie,baranowicki
Nowogródzkie,duniłowicki
Nowogródzkie,dziśnieński
Nowogródzkie,lidzki
Nowogródzkie,nieświeski
Nowogródzkie,nowogródzki
Nowogródzkie,stołpecki
Nowogródzkie,słonimski
Nowogródzkie,wilejski
Nowogródzkie,wołożyński
Poleskie,brzeski
Poleskie,drohicki
Poleskie,kobryński
Poleskie,kosowski
Poleskie,koszyrski
Poleskie,piński
Poleskie,prużański
Poleskie,sarneński
Poleskie,łuniniecki
Pomorskie,Grudziądz
Pomorskie,Toruń
Pomorskie,brodnicki
Pomorskie,chełmiński
Pomorskie,chojnicki
Pomorskie,działdowski
Pomorskie,gniewski
Pomorskie,grudziądzki
Pomorskie,kartuski
Pomorskie,kościerski
Pomorskie,lubawski
Pomorskie,pucki
Pomorskie,starogardzki
Pomorskie,sępoleński
Pomorskie,tczewski
Pomorskie,toruński
Pomorskie,tucholski
Pomorskie,wejherowski
Pomorskie,wąbrzeski
Pomorskie,świecki
Poznańskie,Bydgoszcz
Poznańskie,Poznań
Poznańskie,bydgoski
Poznańskie,chodzieski
Poznańskie,czarnkowski
Poznańskie,gnieźnieński
Poznańskie,gostyński
Poznańskie,grodziski
Poznańskie,inowrocławski
Poznańskie,jarociński
Poznańskie,kościański
Poznańskie,koźmiński
Poznańskie,krotoszyński
Poznańskie,kępiński
Poznańskie,leszczyński
Poznańskie,międzychodzki
Poznańskie,mogileński
Poznańskie,nowotomyski
Poznańskie,obornicki
Poznańskie,odolanowski
Poznańskie,ostrowski
Poznańskie,ostrzeszowski
Poznańskie,pleszewski
Poznańskie,poznański wschodni
Poznańskie,poznański zachodni
Poznańskie,rawicki
Poznańskie,strzelneński
Poznańskie,szamotulski
Poznańskie,szubiński
Poznańskie,witkowski
Poznańskie,wolsztyński
Poznańskie,wrzesiński
Poznańskie,wyrzyski
Poznańskie,wągrowiecki
Poznańskie,śmigielski
Poznańskie,średzki
Poznańskie,śremski
Poznańskie,żniński
Stanisławowskie,bohorodczański
Stanisławowskie,doliński
Stanisławowskie,horodeński
Stanisławowskie,kałuski
Stanisławowskie,kosowski
Stanisławowskie,kołomyjski
Stanisławowskie,nadwórniański
Stanisławowskie,peczeniżyński
Stanisławowskie,rohatyński
Stanisławowskie,skolski
Stanisławowskie,stanisławowski
